name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
特来电充电站(镇康县)	汽车服务;充电站;充电站	11100	镇康县政府停车场	13759371239	云南省	临沧市	镇康县	98.825115	23.763737	98.82471947512822	23.766564957152376	98.825115 23.763737	汽车服务	充电站	充电站
耿马县勐相湿地公园汽车充电站	汽车服务;充电站;充电站	11100	建设路与鑫源路交叉口东南320米	[]	云南省	临沧市	耿马傣族佤族自治县	99.403398	23.52194	99.40226842824497	23.5244520087894	99.403398 23.52194	汽车服务	充电站	充电站
星星充电汽车充电站(临沧万事有限责任公司)	汽车服务;充电站;充电站	11100	建设路下段(原城乡饭店)	4008280768	云南省	临沧市	耿马傣族佤族自治县	99.40621	23.533681	99.40507897221218	23.53619349997885	99.40621 23.533681	汽车服务	充电站	充电站
云南电网云南省临沧市耿马县供电局电动汽车充电站	汽车服务;充电站;充电站	11100	耿马镇震新路17号正北方向83米	[]	云南省	临沧市	耿马傣族佤族自治县	99.398793	23.531313	99.39766600223784	23.533825353379548	99.398793 23.531313	汽车服务	充电站	充电站
临沧众享新能源汽车充电站	汽车服务;充电站;充电站	11100	汀旗路805号	[]	云南省	临沧市	临翔区	100.082989	23.900044	100.08174004239063	23.90264074628331	100.082989 23.900044	汽车服务	充电站	充电站
润福充电站	汽车服务;充电站;充电站	11100	旗山路118号	15769968009	云南省	临沧市	临翔区	100.093671	23.88838	100.0924177693036	23.89096752103137	100.093671 23.88838	汽车服务	充电站	充电站
汽车充电站(嘉辉)	汽车服务;充电站;充电站	11100	东片区中路与祥临公路交叉口西300米	[]	云南省	临沧市	临翔区	100.101688	23.908895	100.1004344684423	23.91149041706387	100.101688 23.908895	汽车服务	充电站	充电站
中星新能源汽车充电站1号点	汽车服务;充电站;充电站	11100	旗山路华旭农贸市场停车场	[]	云南省	临沧市	临翔区	100.083203	23.887532	100.08195420177178	23.89012372016549	100.083203 23.887532	汽车服务	充电站	充电站
中星新能源汽车充电站2号点	汽车服务;充电站;充电站	11100	临沧工业园区管委会新客运站	[]	云南省	临沧市	临翔区	100.099053	23.908409	100.09779907757468	23.91100396618929	100.099053 23.908409	汽车服务	充电站	充电站
科创园电动汽车快充站星星充电	汽车服务;充电站;充电站	11100	科技创新园	4008280768	云南省	临沧市	临翔区	100.104677	23.919941	100.10342404651982	23.922541500884822	100.104677 23.919941	汽车服务	充电站	充电站
汽车充电站(润福充电站凯哥时代广场)	汽车服务;充电站;充电站	11100	沧江路与沧江北路交叉口西南约80米	[]	云南省	临沧市	临翔区	100.091128	23.886608	100.08987539307527	23.88919548243234	100.091128 23.886608	汽车服务	充电站	充电站
星星充电汽车充电站(云南金航科技有限公司-2)	汽车服务;充电站;充电站	11100	世纪路与沧江东路交叉口西南180米	4008280768	云南省	临沧市	临翔区	100.089	23.8842	100.08774817924149	23.88678731840541	100.089 23.8842	汽车服务	充电站	充电站
小鹏汽车汽车充电站(临沧恒基沃尔玛广场小鹏超充站)	汽车服务;充电站;充电站	11100	凤翔街道旗山路215号恒基沃尔玛广场	4008193388	云南省	临沧市	临翔区	100.09139	23.888107	100.09013728212692	23.89069498182523	100.09139 23.888107	汽车服务	充电站	充电站
星星充电汽车充电站(临沧交通运输集团南部枢纽)	汽车服务;充电站;充电站	11100	凤翔街道祥临公路中国石油临沧城南加油站	4008280768	云南省	临沧市	临翔区	100.091247	23.853661	100.08999516392883	23.85623606444032	100.091247 23.853661	汽车服务	充电站	充电站
马台服务区电动汽车充电站	汽车服务;充电站;充电站	11100		[]	云南省	临沧市	临翔区	100.291346	23.82283	100.29026163462008	23.8255462856012	100.291346 23.82283	汽车服务	充电站	充电站
