name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
九河停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ５６１１大丽高速与九河停车区交叉口东约80米	[]	云南省	丽江市	玉龙纳西族自治县	99.97087	26.656037	99.96984116814612	26.659695510451822	99.97087 26.656037	汽车服务	充电站	充电站
九河停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	九河停车区	[]	云南省	丽江市	玉龙纳西族自治县	99.969041	26.657881	99.96801747373924	26.66154445904063	99.969041 26.657881	汽车服务	充电站	充电站
特斯拉汽车充电站	汽车服务;充电站;充电站	11100	香格里大道滇西明珠花园920栋	[]	云南省	丽江市	古城区	100.218483	26.904259	100.21734019458896	26.907787525423267	100.218483 26.904259	汽车服务	充电站	充电站
特来电充电站(丽江成龙汽修)	汽车服务;充电站;充电站	11100	玉雪大道369号成龙汽修院内停车场	[]	云南省	丽江市	古城区	100.228235	26.846787	100.2271039578027	26.850335722884385	100.228235 26.846787	汽车服务	充电站	充电站
特来电充电站(香格里大道金泉大酒店)	汽车服务;充电站;充电站	11100	香格里拉大道中段890号	4001300001	云南省	丽江市	古城区	100.222341	26.881228	100.22120327830012	26.884765232433143	100.222341 26.881228	汽车服务	充电站	充电站
特来电充电站(丽江康仲路心怡酒店)	汽车服务;充电站;充电站	11100	康仲路36祥和丽城康仲路38号	[]	云南省	丽江市	古城区	100.232205	26.859445	100.23107678905404	26.8629944039293	100.232205 26.859445	汽车服务	充电站	充电站
特来电充电站(丽江香格里大道丰瑞酒店)	汽车服务;充电站;充电站	11100	香格里大道1008香格里大道1008号丰瑞酒店停车场	4001300001	云南省	丽江市	古城区	100.22306	26.872976	100.22192326605376	26.87651551233888	100.22306 26.872976	汽车服务	充电站	充电站
特来电充电站(丽江雪山艺术小镇)	汽车服务;充电站;充电站	11100	古城区东阳路雪山艺术小镇	4001300001	云南省	丽江市	古城区	100.214305	26.919183	100.21315635600448	26.92270342149937	100.214305 26.919183	汽车服务	充电站	充电站
星星充电汽车充电站(栖息地客栈充电)	汽车服务;充电站;充电站	11100	束河古镇北门栖息地客栈	4008280768;13636549127	云南省	丽江市	古城区	100.208944	26.925452	100.20778735927745	26.928964015009623	100.208944 26.925452	汽车服务	充电站	充电站
特斯拉超级充电站(金茂凯悦臻选酒店)	汽车服务;充电站;充电站	11100	香江路丽江金茂凯悦臻选酒店停车场B1层019车位附近	[]	云南省	丽江市	古城区	100.220287	26.912246	100.21914616263258	26.91577478224012	100.220287 26.912246	汽车服务	充电站	充电站
云快充汽车充电站(丽江含腾新能源充电站)	汽车服务;充电站;充电站	11100	束河街道束河路(丽江公安局交通警察支队车辆管理所内)	[]	云南省	丽江市	古城区	100.197793	26.897547	100.19661816796348	26.901048101820763	100.197793 26.897547	汽车服务	充电站	充电站
星星充电汽车充电站(丽江市人防办)	汽车服务;充电站;充电站	11100	丽江市人防办	4008280768	云南省	丽江市	古城区	100.226	26.8771	100.2248661448207	26.88064142531988	100.226 26.8771	汽车服务	充电站	充电站
千法新能源之丽江金林豪生大酒店充电站	汽车服务;充电站;充电站	11100	集资房小区西北侧约140米	[]	云南省	丽江市	古城区	100.229109	26.904886	100.22797723654114	26.90842437494279	100.229109 26.904886	汽车服务	充电站	充电站
星星充电汽车充电站(云南省丽江客运)	汽车服务;充电站;充电站	11100	城区康仲路25号丽江客运站内	4008280768	云南省	丽江市	古城区	100.235619	26.858953	100.23449300257082	26.862504507756263	100.235619 26.858953	汽车服务	充电站	充电站
依威能源充电站(依威能源站丽江金茂君悦酒店)	汽车服务;充电站;充电站	11100	束河古镇香江路8号	[]	云南省	丽江市	古城区	100.219982	26.912046	100.21884080880425	26.915574502164628	100.219982 26.912046	汽车服务	充电站	充电站
特来电充电站(丽江市庆云路星光夜市快速)	汽车服务;充电站;充电站	11100	庆云路星光夜市停车场	17687119626	云南省	丽江市	古城区	100.230782	26.849441	100.2296529844438	26.852991178216698	100.230782 26.849441	汽车服务	充电站	充电站
星星充电汽车充电站(美丽充丽江三股水风景区快充站)	汽车服务;充电站;充电站	11100	三股水旅游风景区	4008280768	云南省	丽江市	玉龙纳西族自治县	100.044266	26.901745	100.0430033451045	26.90517192494353	100.044266 26.901745	汽车服务	充电站	充电站
特来电充电站(特来电站庆云路瑞旭主题酒店)	汽车服务;充电站;充电站	11100	南口路与庆云路十字路口	[]	云南省	丽江市	古城区	100.230944	26.847875	100.22981514842697	26.851425556260235	100.230944 26.847875	汽车服务	充电站	充电站
小鹏汽车汽车充电站(丽江丽歌丽呈酒店小鹏超充站)	汽车服务;充电站;充电站	11100	西安街道花马街n8号丽歌丽呈酒店	4008193388	云南省	丽江市	古城区	100.22953	26.888506	100.2283990002106	26.892048047756404	100.22953 26.888506	汽车服务	充电站	充电站
小鹏汽车汽车充电站(丽江丽歌丽呈酒店小鹏目的地站)	汽车服务;充电站;充电站	11100	西安街道花马街n8号丽歌丽呈酒店	4008193388	云南省	丽江市	古城区	100.229411	26.888625	100.22827989916256	26.89216693497079	100.229411 26.888625	汽车服务	充电站	充电站
小鹏汽车汽车充电站(丽江金林豪生大酒店小鹏目的地站)	汽车服务;充电站;充电站	11100	西安街道丽江金林豪生大酒店	4008193388	云南省	丽江市	古城区	100.22897	26.905035	100.22783811587416	26.908573237495062	100.22897 26.905035	汽车服务	充电站	充电站
