name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
星星充电汽车充电站(腾冲市热海景区)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.446402	24.945527	98.44593922977408	24.948380321731896	98.446402 24.945527	汽车服务	充电站	充电站
星星充电站(文庙泮池)	汽车服务;充电站;充电站	11100	竹子巷腾越镇中心学校东北侧约200米	[]	云南省	保山市	腾冲市	98.500696	25.027683	98.5003726665998	25.030669729572804	98.500696 25.027683	汽车服务	充电站	充电站
星星充电汽车充电站(保山市腾冲机场)	汽车服务;充电站;充电站	11100	保山市纪委	4008280768	云南省	保山市	腾冲市	98.48178	24.93647	98.4814027202939	24.939411582371555	98.48178 24.93647	汽车服务	充电站	充电站
星星充电汽车充电站(腾冲市和顺古镇)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.459642	25.014962	98.45920563251724	25.017835270505447	98.459642 25.014962	汽车服务	充电站	充电站
特来电充电站(腾冲市和顺1号停车场)	汽车服务;充电站;充电站	11100	５５６国道与翡翠路交叉口西南约160米	18608752218	云南省	保山市	腾冲市	98.465349	25.018168	98.4649262917274	25.021054883650137	98.465349 25.018168	汽车服务	充电站	充电站
星星充电汽车充电站(保山交运腾冲石头山快充站)	汽车服务;充电站;充电站	11100	石头山瑞兴路	4008280768	云南省	保山市	腾冲市	98.416262	25.036084	98.41576228335715	25.038887605236145	98.416262 25.036084	汽车服务	充电站	充电站
星星充电汽车充电站(保山交运腾冲诚信检测站快充站)	汽车服务;充电站;充电站	11100	石头山通达汽车修理有限公司腾冲诚信机动车检测有限公司	4008280768	云南省	保山市	腾冲市	98.417241	25.036535	98.41674176137494	25.039339191431274	98.417241 25.036535	汽车服务	充电站	充电站
星星充电汽车充电站(腾冲市政府)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.490375	25.020146	98.49002124030662	25.02310258779002	98.490375 25.020146	汽车服务	充电站	充电站
星星充电站(滇西抗战纪念馆)	汽车服务;充电站;充电站	11100	市滇西抗战纪念馆对面	4008280768	云南省	保山市	腾冲市	98.482589	25.026592	98.48221254641018	25.02952496812654	98.482589 25.026592	汽车服务	充电站	充电站
腾冲服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	保腾高速公路	[]	云南省	保山市	腾冲市	98.520915	24.964253	98.52065090299088	24.96730707777621	98.520915 24.964253	汽车服务	充电站	充电站
腾冲服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	S10保腾高速与腾冲服务区交叉口东南520米	[]	云南省	保山市	腾冲市	98.523381	24.965742	98.52312356019095	24.968802832638563	98.523381 24.965742	汽车服务	充电站	充电站
星星充电站(腾冲政务中心)	汽车服务;充电站;充电站	11100	腾冲市市政务中心旁	4008280768	云南省	保山市	腾冲市	98.484802	25.045468	98.48443158878533	25.04840529496326	98.484802 25.045468	汽车服务	充电站	充电站
星星充电汽车充电站(保能电力腾冲分公司)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.492746	25.011513	98.49239936526476	25.01447767790901	98.492746 25.011513	汽车服务	充电站	充电站
星星充电汽车充电站(腾冲建国酒店)	汽车服务;充电站;充电站	11100	建国酒店停车场	4008280768	云南省	保山市	腾冲市	98.506802	25.033883	98.50649659685538	25.03688740270951	98.506802 25.033883	汽车服务	充电站	充电站
星星充电汽车充电站(保山交运腾冲旅游客运站快充站)	汽车服务;充电站;充电站	11100	徐霞客环岛旁	4008280768	云南省	保山市	腾冲市	98.486753	25.001784	98.48638895159203	25.00473202672597	98.486753 25.001784	汽车服务	充电站	充电站
星星充电汽车充电站(腾冲文庙泮池)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.51027	25.038035	98.5099746560635	25.041049293397325	98.51027 25.038035	汽车服务	充电站	充电站
小鹏汽车汽车充电站(保山腾冲空港酒店小鹏目的地站)	汽车服务;充电站;充电站	11100	腾越街道宝峰路腾冲空港观光酒店	4008193388	云南省	保山市	腾冲市	98.480507	25.030364	98.48012457220952	25.03329055290396	98.480507 25.030364	汽车服务	充电站	充电站
星星充电汽车充电站(腾冲市永兴财富中心)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	腾冲市	98.495619	25.016242	98.49528079007732	25.01921474763456	98.495619 25.016242	汽车服务	充电站	充电站
星星充电汽车充电站(保山交运腾冲西部客运站快充站)	汽车服务;充电站;充电站	11100	腾冲西部客运站	4008280768	云南省	保山市	腾冲市	98.479302	25.053623	98.4789157979872	25.056543570917	98.479302 25.053623	汽车服务	充电站	充电站
星星充电站(腾冲全仁古街地下)	汽车服务;充电站;充电站	11100	步行街与东方路交叉口西约140米	4008280768	云南省	保山市	腾冲市	98.498752	25.021003	98.49842300697058	25.023984633049835	98.498752 25.021003	汽车服务	充电站	充电站
龙陵停车区电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	保山市	龙陵县	98.67588	24.590293	98.67557162722797	24.59339202990793	98.67588 24.590293	汽车服务	充电站	充电站
潞江坝服务区云南交投新能源电动汽车快速充电站	汽车服务;充电站;充电站	11100		[]	云南省	保山市	隆阳区	98.87897	24.923809	98.8786064411432	24.9269772081516	98.87897 24.923809	汽车服务	充电站	充电站
特斯拉超级充电站(云南省保山潞江坝服务区-大理方向)	汽车服务;充电站;充电站	11100	杭瑞高速潞江坝服务区昆明方向	[]	云南省	保山市	隆阳区	98.87897	24.923735	98.87860644237692	24.926903217280056	98.87897 24.923735	汽车服务	充电站	充电站
潞江坝服务区云南交投新能源电动汽车快速充电站(建设中)	汽车服务;充电站;充电站	11100	杭瑞高速潞江坝服务区瑞丽方向	[]	云南省	保山市	隆阳区	98.877546	24.924139	98.8771820864472	24.92730581665636	98.877546 24.924139	汽车服务	充电站	充电站
蒲缥停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	保山市	隆阳区	99.018437	24.983964	99.01770480936392	24.98689443154331	99.018437 24.983964	汽车服务	充电站	充电站
龙江大桥停车区电动汽车充电站	汽车服务;充电站;充电站	11100		[]	云南省	保山市	腾冲市	98.667112	24.840141	98.66682314466708	24.84324985876136	98.667112 24.840141	汽车服务	充电站	充电站
龙江大桥停车区电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	保山市	腾冲市	98.665238	24.840203	98.66495413508292	24.843315407359302	98.665238 24.840203	汽车服务	充电站	充电站
星星充电汽车充电站(腾龙石化)	汽车服务;充电站;充电站	11100	团田乡曼弄村(团田乡政府斜对面)	4008280768	云南省	保山市	腾冲市	98.64715	24.68219	98.64691462916494	24.685344688170712	98.64715 24.68219	汽车服务	充电站	充电站
星星充电汽车充电站(施甸县善洲林场)	汽车服务;充电站;充电站	11100	旧城乡善洲路善洲林场旁	4008280768	云南省	保山市	施甸县	99.189876	24.496398	99.189005721197	24.499334308897325	99.189876 24.496398	汽车服务	充电站	充电站
星星充电站(金甸湖岸)	汽车服务;充电站;充电站	11100	摩苍路旁	[]	云南省	保山市	施甸县	99.191376	24.728694	99.190502579079	24.731645271440417	99.191376 24.728694	汽车服务	充电站	充电站
星星充电汽车充电站(金甸湖岸)	汽车服务;充电站;充电站	11100	保山电力股份有限公司	4008280768	云南省	保山市	施甸县	99.179799	24.732372	99.17891148865544	24.735302086266348	99.179799 24.732372	汽车服务	充电站	充电站
