name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
汽车充电站(云龙县政府公共)	汽车服务;充电站;充电站	11100	诺邓镇云龙县人民政府	[]	云南省	大理白族自治州	云龙县	99.370212	25.885237	99.36906927766276	25.888282844669856	99.370212 25.885237	汽车服务	充电站	充电站
永平服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	杭瑞高速永平服务区瑞丽方向	[]	云南省	大理白族自治州	永平县	99.533288	25.414831	99.5323611554412	25.417908995915905	99.533288 25.414831	汽车服务	充电站	充电站
永平服务区国家电网电动汽车充电站(暂停营业)	汽车服务;充电站;充电站	11100	杭瑞高速永平服务区昆明方向	[]	云南省	大理白族自治州	永平县	99.529926	25.415641	99.52899077002336	25.41871039483344	99.529926 25.415641	汽车服务	充电站	充电站
跃进服务区电动汽车充电站	汽车服务;充电站;充电站	11100	215国道与011乡道交叉口西420米	[]	云南省	大理白族自治州	漾濞彝族自治县	99.944693	25.482132	99.94375744052152	25.485272737349675	99.944693 25.482132	汽车服务	充电站	充电站
跃进服务区云南交投新能源产业发展有限公司电动汽车充电站	汽车服务;充电站;充电站	11100	杭瑞高速公路	[]	云南省	大理白族自治州	漾濞彝族自治县	99.949571	25.480012	99.94862514811066	25.483142569299744	99.949571 25.480012	汽车服务	充电站	充电站
10路电动汽车充电站	汽车服务;充电站;充电站	11100	大理公交10路车终点站停车场内	[]	云南省	大理白族自治州	大理市	100.208623	25.58743	100.20749930010818	25.59043087141533	100.208623 25.58743	汽车服务	充电站	充电站
特来电充电站(大理希尔顿酒店)	汽车服务;充电站;充电站	11100	大理苍山景区大理实力希尔顿酒店	4001300001	云南省	大理白族自治州	大理市	100.181963	25.644179	100.18078875565796	25.647161683646736	100.181963 25.644179	汽车服务	充电站	充电站
修理厂电动汽车充电站	汽车服务;充电站;充电站	11100	人民南路57号公交修理厂停车场内	[]	云南省	大理白族自治州	大理市	100.22322	25.572477	100.22211570903568	25.57548891401713	100.22322 25.572477	汽车服务	充电站	充电站
洱海宾馆电动汽车充电站	汽车服务;充电站;充电站	11100	人民北路212号	[]	云南省	大理白族自治州	大理市	100.218374	25.591103	100.21726372739056	25.594117711528376	100.218374 25.591103	汽车服务	充电站	充电站
特来电充电站(文悦格林酒店)	汽车服务;充电站;充电站	11100	大理市中等职业学校旁文悦格林东方酒店停车场	4001300001	云南省	大理白族自治州	大理市	100.209085	25.625253	100.20796108102942	25.62827151390149	100.209085 25.625253	汽车服务	充电站	充电站
大理公交支4路汽车充电站	汽车服务;充电站;充电站	11100	阳南立交桥大兴苑园丁小区南侧	[]	云南省	大理白族自治州	大理市	100.213731	25.615631	100.21261407074503	25.61865115153925	100.213731 25.615631	汽车服务	充电站	充电站
特来电充电站(古城古曼酒店)	汽车服务;充电站;充电站	11100	文献路175号鹤谐苑9幢古曼酒店	[]	云南省	大理白族自治州	大理市	100.173191	25.687524	100.1719973361996	25.69051257749217	100.173191 25.687524	汽车服务	充电站	充电站
华纺1958创意商业园停车场充电站	汽车服务;充电站;充电站	11100	苍宝巷华纺1958创意商业园停车场	[]	云南省	大理白族自治州	大理市	100.229562	25.588883	100.2284632349506	25.59190721492877	100.229562 25.588883	汽车服务	充电站	充电站
特斯拉汽车充电站(大理海湾国际酒店站)	汽车服务;充电站;充电站	11100	下关泰安桥南	[]	云南省	大理白族自治州	大理市	100.226236	25.595537	100.2251341564088	25.5985614217865	100.226236 25.595537	汽车服务	充电站	充电站
特来电充电站(特来电站瑞福园饭店)	汽车服务;充电站;充电站	11100	弘圣路(大理大学东侧)	[]	云南省	大理白族自治州	大理市	100.159022	25.671851	100.1577991032666	25.67480473751757	100.159022 25.671851	汽车服务	充电站	充电站
特斯拉超级充电站(大理实力希尔顿酒店)	汽车服务;充电站;充电站	11100	七里桥大理实力希尔顿酒店地下停车场B4层	[]	云南省	大理白族自治州	大理市	100.182422	25.643334	100.18124872158133	25.64631711718051	100.182422 25.643334	汽车服务	充电站	充电站
昆自新能源大理聚友居客栈汽车充电站	汽车服务;充电站;充电站	11100	玉局路7号	[]	云南省	大理白族自治州	大理市	100.161727	25.680864	100.1605094407876	25.68382746278457	100.161727 25.680864	汽车服务	充电站	充电站
