name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
云快充充电站(瑞丽综合客运枢纽)	汽车服务;充电站;充电站	11100	瑞章路瑞丽综合客运枢纽停车场内	[]	云南省	德宏傣族景颇族自治州	瑞丽市	97.88111	24.020775	97.88097777155848	24.02379579171273	97.88111 24.020775	汽车服务	充电站	充电站
汽车充电站(瑞丽客运站)	汽车服务;充电站;充电站	11100	瑞丽客运站	17611069175	云南省	德宏傣族景颇族自治州	瑞丽市	97.88	24.02	97.87986648657592	24.023019491904897	97.88 24.02	汽车服务	充电站	充电站
特斯拉目的地充电站(瑞丽市和合珠宝温泉酒店)	汽车服务;充电站;充电站	11100	瑞宏路70号	[]	云南省	德宏傣族景颇族自治州	瑞丽市	97.87336	24.009713	97.87321789353206	24.01272135593284	97.87336 24.009713	汽车服务	充电站	充电站
梁河杨氏烧烤总店麓川路258号	汽车服务;充电站;充电站	11100	梁河杨氏烧烤总店麓川路258	[]	云南省	德宏傣族景颇族自治州	瑞丽市	97.852586	23.999329	97.85240754143908	24.002303537110222	97.852586 23.999329	汽车服务	充电站	充电站
云快充汽车充电站(瑞丽综合客运枢纽充电站)	汽车服务;充电站;充电站	11100	瑞章路瑞丽综合客运枢纽停车场内	4008288517	云南省	德宏傣族景颇族自治州	瑞丽市	97.87913	24.020891	97.87899542503156	24.02391009432073	97.87913 24.020891	汽车服务	充电站	充电站
云快充汽车充电站(瑞丽综合客运枢纽充电站)	汽车服务;充电站;充电站	11100	新建路与瑞京路交叉口西280米	[]	云南省	德宏傣族景颇族自治州	瑞丽市	97.855477	24.017836	97.85530404615054	24.020823278691697	97.855477 24.017836	汽车服务	充电站	充电站
瑞丽市姐告科亿新能源充电站(暂停营业)	汽车服务;充电站;充电站	11100	滨江路荣里香莎别墅南侧约280米	[]	云南省	德宏傣族景颇族自治州	瑞丽市	97.883711	23.984525	97.88358210891802	23.987532187328824	97.883711 23.984525	汽车服务	充电站	充电站
特斯拉充电站(德宏芒市华江翡华金科温泉度假酒店新国标)	汽车服务;充电站;充电站	11100	史迪威码头旅游度假区1号	[]	云南省	德宏傣族景颇族自治州	芒市	98.109029	24.159693	98.1085485186841	24.1624131574187	98.109029 24.159693	汽车服务	充电站	充电站
两轮充电站	汽车服务;充电站;充电站	11100	华康小区99号	13987149703	云南省	德宏傣族景颇族自治州	盈江县	97.947122	24.707453	97.9469554570832	24.710614064935648	97.947122 24.707453	汽车服务	充电站	充电站
岗勐星星充电站	汽车服务;充电站;充电站	11100	平原镇556国道	4008280768	云南省	德宏傣族景颇族自治州	盈江县	97.986152	24.688623	97.98588585090675	24.69168530474491	97.986152 24.688623	汽车服务	充电站	充电站
