name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
平远街服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	G80广昆高速附近	[]	云南省	文山壮族苗族自治州	砚山县	103.773569	23.763858	103.77158012779611	23.76657104369412	103.773569 23.763858	汽车服务	充电站	充电站
平远街服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	G80广昆高速附近	[]	云南省	文山壮族苗族自治州	砚山县	103.775466	23.76495	103.7734785405651	23.76766504326916	103.775466 23.76495	汽车服务	充电站	充电站
麻栗坡县公交车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	文山壮族苗族自治州	麻栗坡县	104.720986	23.142559	104.71860742790028	23.14531682274204	104.720986 23.142559	汽车服务	充电站	充电站
云快充汽车充电站(马关雷驰充电站)	汽车服务;充电站;充电站	11100	骏城路尚水澜山西北侧约140米	[]	云南省	文山壮族苗族自治州	马关县	104.38582	23.03421	104.38348951226612	23.03681879251139	104.38582 23.03421	汽车服务	充电站	充电站
特来电充电站(文山旭宝行宝马4S)	汽车服务;充电站;充电站	11100	新平街道新平坝社区城南片区国际汽车城4SB-02	18887699966	云南省	文山壮族苗族自治州	文山市	104.279223	23.321155	104.2771083620304	23.32382653688781	104.279223 23.321155	汽车服务	充电站	充电站
电动汽车便民充电站	汽车服务;充电站;充电站	11100	东文街文东苑小区东南侧	[]	云南省	文山壮族苗族自治州	文山市	104.254195	23.375042	104.25210459981729	23.37771772852892	104.254195 23.375042	汽车服务	充电站	充电站
滇约充电新能源汽车充电站(文山站)	汽车服务;充电站;充电站	11100	卧龙街道城区东效湾子寨	4000871666	云南省	文山壮族苗族自治州	文山市	104.251579	23.391097	104.24948929432058	23.3937702736602	104.251579 23.391097	汽车服务	充电站	充电站
小鹏汽车汽车充电站(文山龙誉国际购物广场小鹏超充站)	汽车服务;充电站;充电站	11100	开化街道西正街龙誉国际	4008193388	云南省	文山壮族苗族自治州	文山市	104.250984	23.370506	104.2488952484502	23.37318289976222	104.250984 23.370506	汽车服务	充电站	充电站
南方电网充电站(文山电力本部停车场站)	汽车服务;充电站;充电站	11100	卧龙街道龙海路金玉名园D区	[]	云南省	文山壮族苗族自治州	文山市	104.23266	23.384271	104.23057100400749	23.38693992052413	104.23266 23.384271	汽车服务	充电站	充电站
星星充电汽车充电站(文山砚山县路安汽车服务有限公司)	汽车服务;充电站;充电站	11100	江那镇通广路鸿丰汽配(羊街小学西北)	4008280768	云南省	文山壮族苗族自治州	砚山县	104.355101	23.607029	104.35280501614108	23.609552778491004	104.355101 23.607029	汽车服务	充电站	充电站
路安充电站(砚山县路安经贸有限公司)	汽车服务;充电站;充电站	11100	听湖翡翠二期	[]	云南省	文山壮族苗族自治州	砚山县	104.348463	23.630368	104.34618148208874	23.6329059008738	104.348463 23.630368	汽车服务	充电站	充电站
砚山停车区交投新能源充电站	汽车服务;充电站;充电站	11100	砚山停车区与G80广昆高速交叉口北80米	[]	云南省	文山壮族苗族自治州	砚山县	104.344733	23.664058	104.34245919024144	23.66660789917681	104.344733 23.664058	汽车服务	充电站	充电站
砚山停车区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ８０广昆高速与砚山停车区交叉口东南约40米	[]	云南省	文山壮族苗族自治州	砚山县	104.345077	23.663085	104.34280239369704	23.66563410652944	104.345077 23.663085	汽车服务	充电站	充电站
晨威丘北充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	文山壮族苗族自治州	丘北县	104.190184	24.05148	104.18802561364694	24.05422935739885	104.190184 24.05148	汽车服务	充电站	充电站
雄飞汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	文山壮族苗族自治州	丘北县	104.190077	24.05153	104.18791843683634	24.054279190043857	104.190077 24.05153	汽车服务	充电站	充电站
炭房服务区电动汽车充电站	汽车服务;充电站;充电站	11100	G80广昆高速与炭房服务区交叉口西540米	[]	云南省	文山壮族苗族自治州	砚山县	104.153782	23.71563	104.1515721055991	23.71818933855716	104.153782 23.71563	汽车服务	充电站	充电站
普者黑彩汕塔本味餐饮汽车充电站	汽车服务;充电站;充电站	11100	七零新村彩汕塔客栈	13331169051	云南省	文山壮族苗族自治州	丘北县	104.144782	24.095222	104.14254416585408	24.09790758192205	104.144782 24.095222	汽车服务	充电站	充电站
炭房服务区电动汽车充电站	汽车服务;充电站;充电站	11100	G80广昆高速与炭房服务区交叉口西北340米	[]	云南省	文山壮族苗族自治州	砚山县	104.156059	23.716887	104.15385288658776	23.71945069424416	104.156059 23.716887	汽车服务	充电站	充电站
恩雄汽车充电站	汽车服务;充电站;充电站	11100	208省道与珠西公路交叉口东南320米	[]	云南省	文山壮族苗族自治州	广南县	105.034278	24.047175	105.0313975138904	24.04987903321728	105.034278 24.047175	汽车服务	充电站	充电站
第一小学充电站	汽车服务;充电站;充电站	11100	北街64号	13577617222	云南省	文山壮族苗族自治州	广南县	105.067049	24.048529	105.06405930521788	24.051167442828408	105.067049 24.048529	汽车服务	充电站	充电站
万福充电站(广南苗里小区站)	汽车服务;充电站;充电站	11100	苗里小区锦绣	[]	云南省	文山壮族苗族自治州	广南县	105.066145	24.056645	105.0631573621491	24.059288210743983	105.066145 24.056645	汽车服务	充电站	充电站
珠街服务区电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ８０广昆高速与珠街服务区交叉口西约140米	[]	云南省	文山壮族苗族自治州	广南县	104.954739	23.73562	104.9522044147844	23.73843172793192	104.954739 23.73562	汽车服务	充电站	充电站
昆自新能源汽车充电站(广南高铁站)	汽车服务;充电站;充电站	11100	南秀路72号广南高铁站停车场A区12号至22号车位	18987554651	云南省	文山壮族苗族自治州	广南县	105.053025	24.035444	105.05007731451552	24.03810032301869	105.053025 24.035444	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	11100	底圩乡新商贸街王陆建材城	[]	云南省	文山壮族苗族自治州	广南县	104.882767	24.277754	104.88035056415548	24.28082757879317	104.882767 24.277754	汽车服务	充电站	充电站
昆自新能源汽车充电站(富宁天成体育馆)	汽车服务;充电站;充电站	11100	环城东路17号天成体育馆	18987554651	云南省	文山壮族苗族自治州	富宁县	105.637238	23.622177	105.63411508485068	23.624990545508165	105.637238 23.622177	汽车服务	充电站	充电站
昆自新能源汽车充电站(富宁高铁站)	汽车服务;充电站;充电站	11100	富阿段富宁高铁站停车场A区	18987554651	云南省	文山壮族苗族自治州	富宁县	105.583404	23.673543	105.58033586833228	23.676391014170715	105.583404 23.673543	汽车服务	充电站	充电站
