name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
云快充汽车充电站(中云智储晋宁康龙检测站充电站)	汽车服务;充电站;充电站	11100	昆阳东南绕城线1号康龙检测站内	4008288517	云南省	昆明市	晋宁区	102.589938	24.629917	102.588727844364	24.63308298538648	102.589938 24.629917	汽车服务	充电站	充电站
星星充电汽车充电站(云南省昆明市晋宁区北部枢纽站桩群)	汽车服务;充电站;充电站	11100	昆阳镇昆阳公交枢纽站	4008280768	云南省	昆明市	晋宁区	102.610718	24.65153	102.60949857235732	24.654694233945584	102.610718 24.65153	汽车服务	充电站	充电站
星星充电汽车充电站(云南省昆明市晋宁区昆阳汽车客运站桩群)	汽车服务;充电站;充电站	11100	昆阳汽车客运站内	4008280768	云南省	昆明市	晋宁区	102.61013	24.651824	102.6089110942451	24.65498855267214	102.61013 24.651824	汽车服务	充电站	充电站
余家海服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ８５１１昆磨高速与余家海服务区交叉口东北约240米	15887813219	云南省	昆明市	晋宁区	102.653507	24.66074	102.65221374594498	24.663850609359685	102.653507 24.66074	汽车服务	充电站	充电站
余家海服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	11100	G8511昆磨高速与余家海服务区交叉口东北540米	15887813219	云南省	昆明市	晋宁区	102.655946	24.662361	102.65464699314822	24.66546724266138	102.655946 24.662361	汽车服务	充电站	充电站
滇威充电站	汽车服务;充电站;充电站	11100	海口街道	18087115663	云南省	昆明市	西山区	102.543184	24.80642	102.5419109845413	24.80951587507568	102.543184 24.80642	汽车服务	充电站	充电站
云快充汽车充电站(海口工业园区新能源汽车充电站)	汽车服务;充电站;充电站	11100	海口工业园区(云南滇威新能源科技集团有限公司)	4008288517	云南省	昆明市	西山区	102.542784	24.808779	102.54151000477356	24.81187374251553	102.542784 24.808779	汽车服务	充电站	充电站
汽车充电站(君来顺海口工业园区快充)	汽车服务;充电站;充电站	11100	昆明绕城高速与昆孟线交叉路口处	15368008892	云南省	昆明市	西山区	102.544715	24.810783	102.54344531053044	24.813881918028944	102.544715 24.810783	汽车服务	充电站	充电站
邦驰充电晋宁汽车充电站(工业园区)	汽车服务;充电站;充电站	11100	工业园区青山片区	18208785163	云南省	昆明市	晋宁区	102.57652	24.710798	102.57530178922256	24.713955082568248	102.57652 24.710798	汽车服务	充电站	充电站
云南丽昆汽车充电站(晋宁二街)	汽车服务;充电站;充电站	11100	晋宁区二街工业园区倚阳路金龙洗涤有限公司院内	18183870027	云南省	昆明市	晋宁区	102.502111	24.687852	102.50072512828147	24.69084160703781	102.502111 24.687852	汽车服务	充电站	充电站
云安农林天下充电站	汽车服务;充电站;充电站	11100	金方街道浸普路8号	4008280768	云南省	昆明市	安宁市	102.519965	24.88456	102.51862836829513	24.88758717076968	102.519965 24.88456	汽车服务	充电站	充电站
晋宁服务区云南能投电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ５６０１昆明绕城高速与晋宁服务区交叉口北约260米	[]	云南省	昆明市	晋宁区	102.577754	24.677886	102.57653760157312	24.68104492723186	102.577754 24.677886	汽车服务	充电站	充电站
晋宁服务区云能充电动汽车充电车辆专用车位	汽车服务;充电站;充电站	11100		[]	云南省	昆明市	晋宁区	102.580337	24.678923	102.57912225205008	24.68208408743893	102.580337 24.678923	汽车服务	充电站	充电站
特来电充电站(安宁太平册峨苑)	汽车服务;充电站;充电站	11100	太平新城街道办册峨村	4001300001	云南省	昆明市	安宁市	102.599512	24.861577	102.59829418119674	24.86473216987564	102.599512 24.861577	汽车服务	充电站	充电站
天朗能源龙宝寺新能源汽车充电站	汽车服务;充电站;充电站	11100	百花东路5附近	[]	云南省	昆明市	安宁市	102.497509	24.922293	102.49610193505497	24.92524886194057	102.497509 24.922293	汽车服务	充电站	充电站
