name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
新能源汽车充电站	汽车服务;充电站;充电站	11100	迤博路巧家县第三中学西侧约30米	[]	云南省	昭通市	巧家县	102.940308	26.902855	102.93881605187076	26.906526864776243	102.940308 26.902855	汽车服务	充电站	充电站
特来电充电站(昭通巧家客运站)	汽车服务;充电站;充电站	11100	巧天段妇幼保健院南侧	15808705508	云南省	昭通市	巧家县	102.93729	26.901417	102.93580562394474	26.905094087115803	102.93729 26.901417	汽车服务	充电站	充电站
星星充电汽车充电站(巧家白鹤滩客运站)	汽车服务;充电站;充电站	11100	白鹤滩镇农村客运站	4008280768	云南省	昭通市	巧家县	102.922954	26.913133	102.92149905990472	26.916825664569327	102.922954 26.913133	汽车服务	充电站	充电站
云快充汽车充电站(巧家新能源充电站)	汽车服务;充电站;充电站	11100	巧三中北侧迤慱路	4008288517	云南省	昭通市	巧家县	102.938238	26.901966	102.93675128775824	26.90564146649622	102.938238 26.901966	汽车服务	充电站	充电站
特来电充电站(云南昭通巧家客运站二期)	汽车服务;充电站;充电站	11100	巧家县客运站内	18087843001	云南省	昭通市	巧家县	102.937203	26.901357	102.93571883654168	26.90503423599837	102.937203 26.901357	汽车服务	充电站	充电站
巧家县中盛汽车销售有限公司新能源充电站	汽车服务;充电站;充电站	11100	大沙坝建材市场	13887066271	云南省	昭通市	巧家县	102.946994	26.892544	102.94548424133554	26.896205820293133	102.946994 26.892544	汽车服务	充电站	充电站
星星充电汽车充电站(格巧高速金塘服务区右幅电动汽车)	汽车服务;充电站;充电站	11100	金塘服务区与S23昆巧高速交叉口南380米	4008280768	云南省	昭通市	巧家县	103.007315	26.739249	103.00558649105932	26.74276906888264	103.007315 26.739249	汽车服务	充电站	充电站
星星充电汽车充电站(格巧高速金塘服务区左幅电动汽车)	汽车服务;充电站;充电站	11100	金塘服务区与S23昆巧高速交叉口南480米	4008280768	云南省	昭通市	巧家县	103.007967	26.73827	103.00623587955413	26.741788168560166	103.007967 26.73827	汽车服务	充电站	充电站
星星充电站	汽车服务;充电站;充电站	11100	世纪大道与银都大道交叉口南280米	[]	云南省	昭通市	鲁甸县	103.551064	27.182323	103.54916174803527	27.18590105423196	103.551064 27.182323	汽车服务	充电站	充电站
星星充电汽车充电站(鲁甸客运站)	汽车服务;充电站;充电站	11100	世纪大道280号客运站内	4008280768	云南省	昭通市	鲁甸县	103.555465	27.186631	103.55357034589689	27.190216411073816	103.555465 27.186631	汽车服务	充电站	充电站
