name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
电动汽车直流充电站	汽车服务;充电站;充电站	11100	环城路牡帕密帕葫芦广场南门旁	[]	云南省	普洱市	澜沧拉祜族自治县	99.930343	22.547366	99.92949492151791	22.55049766212924	99.930343 22.547366	汽车服务	充电站	充电站
云南交投糯扎渡服务区下行充电站	汽车服务;充电站;充电站	11100	S52(思澜高速)	[]	云南省	普洱市	澜沧拉祜族自治县	100.341121	22.52807	100.33996725888198	22.530913705001403	100.341121 22.52807	汽车服务	充电站	充电站
云南交投糯扎渡服务区上行充电站(建设中)	汽车服务;充电站;充电站	11100	S52(思澜高速)	[]	云南省	普洱市	澜沧拉祜族自治县	100.343233	22.52553	100.34207494618266	22.52836992676244	100.343233 22.52553	汽车服务	充电站	充电站
电动汽车充电站	汽车服务;充电站;充电站	11100	永平路川渝大厦	[]	云南省	普洱市	思茅区	100.96756	22.802688	100.96638003214652	22.80568461699957	100.96756 22.802688	汽车服务	充电站	充电站
普顺智能充电站(普洱市工信局)	汽车服务;充电站;充电站	11100	民航路18号	15912955671	云南省	普洱市	思茅区	100.968226	22.779565	100.9670443320564	22.782567549163897	100.968226 22.779565	汽车服务	充电站	充电站
充电站(星马新能源总部)	汽车服务;充电站;充电站	11100	高家寨11号	18087977809;13887996551	云南省	普洱市	思茅区	100.982376	22.757557	100.98114442818546	22.76052716115177	100.982376 22.757557	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	11100	茶城大道恒润大酒店东南侧约40米	[]	云南省	普洱市	思茅区	100.978993	22.799532	100.9777728312895	22.802498408492053	100.978993 22.799532	汽车服务	充电站	充电站
普顺智能汽车充电站	汽车服务;充电站;充电站	11100	永平路普洱市人民政府东南侧约40米	[]	云南省	普洱市	思茅区	100.967091	22.82414	100.96591209741726	22.82713035117711	100.967091 22.82414	汽车服务	充电站	充电站
星星充电汽车充电站(泰然居小区)	汽车服务;充电站;充电站	11100	振兴大道7号总站交通医院对面	4008280768	云南省	普洱市	思茅区	100.971868	22.787579	100.97067358108002	22.79056922694943	100.971868 22.787579	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	11100	高家寨与旅游环线交叉口	[]	云南省	普洱市	思茅区	100.980159	22.757032	100.97893560849228	22.760008720940995	100.980159 22.757032	汽车服务	充电站	充电站
