name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
星星充电汽车充电站(云南省曲靖市陆良百货协会)	汽车服务;充电站;充电站	11100	紫溪东街陆良百货批发市场	4008280768	云南省	曲靖市	陆良县	103.64933	25.011124	103.64746741089417	25.014202235206223	103.64933 25.011124	汽车服务	充电站	充电站
陆良货拉拉充电站	汽车服务;充电站;充电站	11100	紫溪东街水沐江南东北侧约60米	[]	云南省	曲靖市	陆良县	103.649934	25.010864	103.64807010652156	25.01394123113738	103.649934 25.010864	汽车服务	充电站	充电站
星星充电汽车充电站(陆良县中枢街道环卫停车场充电桩群)	汽车服务;充电站;充电站	11100	老久坝综合执法局	4008280768	云南省	曲靖市	陆良县	103.656124	25.025667	103.65424580606933	25.0287314932732	103.656124 25.025667	汽车服务	充电站	充电站
特来电充电站(陆良致宸新能源汽车)	汽车服务;充电站;充电站	11100	中枢街道中国信合	13887416116	云南省	曲靖市	陆良县	103.623744	24.988902	103.62192944495236	24.992019039383617	103.623744 24.988902	汽车服务	充电站	充电站
星星充电汽车充电站(美丽充陆良西桥汽车城快充站)	汽车服务;充电站;充电站	11100	326国道西桥汽车城陆良瑞达汽车修理厂	4008280768	云南省	曲靖市	陆良县	103.639233	25.001053	103.63739156572184	25.00414872453068	103.639233 25.001053	汽车服务	充电站	充电站
松山服务区下行充电站	汽车服务;充电站;充电站	11100	248国道与117乡道交叉口南500米	[]	云南省	曲靖市	陆良县	103.723292	25.100532	103.72127180160396	25.10347746042037	103.723292 25.100532	汽车服务	充电站	充电站
松山服务区(上行)充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	曲靖市	陆良县	103.72071	25.10071	103.71869329255132	25.10365807407513	103.72071 25.10071	汽车服务	充电站	充电站
特斯拉汽车充电站(云南曲靖母鸡山服务区-昆明方向)	汽车服务;充电站;充电站	11100	汕昆高速母鸡山服务区-上行	[]	云南省	曲靖市	陆良县	103.578882	24.944846	103.57709050855952	24.947974705618	103.578882 24.944846	汽车服务	充电站	充电站
母鸡山服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	曲靖市	陆良县	103.580356	24.943783	103.5785653368686	24.94691304255985	103.580356 24.943783	汽车服务	充电站	充电站
特斯拉汽车充电站(云南曲靖母鸡山服务区-贵州方向)	汽车服务;充电站;充电站	11100	汕昆高速母鸡山服务区-下行	[]	云南省	曲靖市	陆良县	103.580003	24.943703	103.57821215906256	24.946832774385705	103.580003 24.943703	汽车服务	充电站	充电站
母鸡山服务区云南交投新能源电动汽车快速充电站	汽车服务;充电站;充电站	11100	母鸡山服务区内	[]	云南省	曲靖市	陆良县	103.578586	24.945233	103.5767943238633	24.94836140301018	103.578586 24.945233	汽车服务	充电站	充电站
雄壁服务区云南交投充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	曲靖市	师宗县	103.836825	24.877851	103.83489560363688	24.880919640596915	103.836825 24.877851	汽车服务	充电站	充电站
汽车充电站(师宗丹凤酒店)	汽车服务;充电站;充电站	11100	靖发汽车修理厂里面	17611069175	云南省	曲靖市	师宗县	104.001834	24.83154	103.99975023499556	24.83449617748246	104.001834 24.83154	汽车服务	充电站	充电站
度度充充电站(师宗客运站)	汽车服务;充电站;充电站	11100	丹凤镇丹凤路师宗客运站	[]	云南省	曲靖市	师宗县	104.006602	24.829096	104.0045017084227	24.832038009112544	104.006602 24.829096	汽车服务	充电站	充电站
星星充电汽车充电站(师宗凤凰谷风景区游客中心站)	汽车服务;充电站;充电站	11100	凤凰谷游客中心	4008280768	云南省	曲靖市	师宗县	104.253832	24.625687	104.25169771006114	24.62865545199538	104.253832 24.625687	汽车服务	充电站	充电站
千法新能源之曲靖市罗平县久隆汽车充电站	汽车服务;充电站;充电站	11100	昆明市腊山街道云贵路676号	[]	云南省	曲靖市	罗平县	104.324104	24.899299	104.32183638498051	24.90216359891585	104.324104 24.899299	汽车服务	充电站	充电站
