name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
南华停车区电动汽车充电站	汽车服务;充电站;充电站	11100	南华停车区与Ｇ５６杭瑞高速交叉口西约60米	[]	云南省	楚雄彝族自治州	南华县	101.277298	25.179864	101.2757786507626	25.18279826405255	101.277298 25.179864	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	11100	鹿城镇威楚大道26号	4000871666	云南省	楚雄彝族自治州	楚雄市	101.549844	25.045575	101.54843064363756	25.048665480779828	101.549844 25.045575	汽车服务	充电站	充电站
比亚迪汽车充电站(威楚大道)	汽车服务;充电站;充电站	11100	鹿城镇威楚大道26号	[]	云南省	楚雄彝族自治州	楚雄市	101.549958	25.045576	101.5485448968032	25.04866671411826	101.549958 25.045576	汽车服务	充电站	充电站
楚雄众享新能源汽车充电站	汽车服务;充电站;充电站	11100	元双路义乌商贸城W栋1楼	13698796537	云南省	楚雄彝族自治州	楚雄市	101.505924	25.051683	101.50438565745054	25.054656826653662	101.505924 25.051683	汽车服务	充电站	充电站
星星充电汽车充电站(美丽充楚雄庄甸)	汽车服务;充电站;充电站	11100	东瓜镇耀巍市政工程公司中国石油金叶加油站	4008280768	云南省	楚雄彝族自治州	楚雄市	101.573495	25.050087	101.57212239437663	25.053214456423824	101.573495 25.050087	汽车服务	充电站	充电站
程家坝服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ５６杭瑞高速与程家坝服务区交叉口南约140米	[]	云南省	楚雄彝族自治州	楚雄市	101.574768	25.054204	101.57339676758215	25.0573323553464	101.574768 25.054204	汽车服务	充电站	充电站
程家坝服务区电动汽车充电站	汽车服务;充电站;充电站	11100	鹿城镇程家坝滇中汽车城物流酒店后七幢八号	[]	云南省	楚雄彝族自治州	楚雄市	101.573039	25.056338	101.57166567093944	25.059464277337074	101.573039 25.056338	汽车服务	充电站	充电站
特来电充电站(楚雄车魔方站)	汽车服务;充电站;充电站	11100	沪瑞线	4001300001	云南省	楚雄彝族自治州	楚雄市	101.49711	25.059968	101.49554308836323	25.06291438071589	101.49711 25.059968	汽车服务	充电站	充电站
达连坝停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	楚雄彝族自治州	楚雄市	101.468941	25.082726	101.46728798293331	25.08558920815485	101.468941 25.082726	汽车服务	充电站	充电站
小鹏汽车汽车充电站(楚雄滇菌王JP希丽酒店小鹏超充站)	汽车服务;充电站;充电站	11100	东瓜镇东盛东路滇菌王丨JP希丽酒店	4008193388	云南省	楚雄彝族自治州	楚雄市	101.52294	25.0641	101.52145456838284	25.06712219098748	101.52294 25.0641	汽车服务	充电站	充电站
达连坝停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	[]	[]	云南省	楚雄彝族自治州	楚雄市	101.465644	25.083096	101.46398208692344	25.08595065804648	101.465644 25.083096	汽车服务	充电站	充电站
楚雄服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	楚雄服务区与Ｇ５６杭瑞高速交叉口东北约260米	[]	云南省	楚雄彝族自治州	楚雄市	101.596819	25.06608	101.59546086913548	25.069218904532725	101.596819 25.06608	汽车服务	充电站	充电站
楚雄服务区云南交投充电站(暂停营业)	汽车服务;充电站;充电站	11100	楚雄服务区与G56杭瑞高速交叉口西240米	[]	云南省	楚雄彝族自治州	楚雄市	101.59214	25.064872	101.59078100423513	25.068010350504924	101.59214 25.064872	汽车服务	充电站	充电站
大姚服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100		[]	云南省	楚雄彝族自治州	大姚县	101.294456	25.650721	101.292892870288	25.653736845700266	101.294456 25.650721	汽车服务	充电站	充电站
大姚服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	S45永金高速与大姚服务区交叉口西南300米	[]	云南省	楚雄彝族自治州	大姚县	101.295624	25.650966	101.29405849917973	25.65398021498529	101.295624 25.650966	汽车服务	充电站	充电站
