name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
特来电充电站(玉溪新平戛洒客运站电动汽车)	汽车服务;充电站;充电站	11100	戛洒大道17号	18087843001	云南省	玉溪市	新平彝族傣族自治县	101.574551	24.057049	101.57320657205278	24.06005385839147	101.574551 24.057049	汽车服务	充电站	充电站
中国南方电网元江电动汽车充电站	汽车服务;充电站;充电站	11100	联络线元江客运站停车场内部停车场	[]	云南省	玉溪市	元江哈尼族彝族傣族自治县	101.993212	23.604246	101.9917997750563	23.60694973583753	101.993212 23.604246	汽车服务	充电站	充电站
扬武服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	扬武服务区与Ｇ８５１１昆磨高速交叉口西约20米	[]	云南省	玉溪市	新平彝族傣族自治县	102.141815	23.90242	102.14025560142686	23.90503445386819	102.141815 23.90242	汽车服务	充电站	充电站
扬武服务区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ８５１１昆磨高速与扬武服务区交叉口东南约180米	[]	云南省	玉溪市	新平彝族傣族自治县	102.142797	23.900929	102.14123957044976	23.90354439334057	102.142797 23.900929	汽车服务	充电站	充电站
山绿玖新能源汽车充电站	汽车服务;充电站;充电站	11100	新平大道2号城东客运站旁	[]	云南省	玉溪市	新平彝族傣族自治县	102.004767	24.064003	102.0033077453176	24.06682008209067	102.004767 24.064003	汽车服务	充电站	充电站
汽车充电站(仙福钢铁集团有限公司生活区公共)	汽车服务;充电站;充电站	11100	新平互通与323国道交叉口西北220米	[]	云南省	玉溪市	新平彝族傣族自治县	102.177085	24.004486	102.1756006700554	24.00720596666575	102.177085 24.004486	汽车服务	充电站	充电站
汽车充电站(玉溪仙福钢铁厂)	汽车服务;充电站;充电站	11100	仙福钢铁(集团)有限公司	[]	云南省	玉溪市	新平彝族傣族自治县	102.188049	24.020485	102.18658890985296	24.02323208901619	102.188049 24.020485	汽车服务	充电站	充电站
山绿玖新能源汽车充电站	汽车服务;充电站;充电站	11100	新平大道11号	[]	云南省	玉溪市	新平彝族傣族自治县	102.005095	24.064392	102.0036347607398	24.06720825910488	102.005095 24.064392	汽车服务	充电站	充电站
撮科停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	Ｇ５６１５天猴高速入口与撮科停车区交叉口东约100米	[]	云南省	玉溪市	元江哈尼族彝族傣族自治县	102.177224	23.77383	102.17574650524224	23.77646297904949	102.177224 23.77383	汽车服务	充电站	充电站
撮科停车区云南交投电动汽车充电站(建设中)	汽车服务;充电站;充电站	11100	撮科服务区内	[]	云南省	玉溪市	元江哈尼族彝族傣族自治县	102.175021	23.774969	102.17353841038435	23.77759816176296	102.175021 23.774969	汽车服务	充电站	充电站
