name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
湾田停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100	湾田停车区	[]	云南省	红河哈尼族彝族自治州	蒙自市	103.298335	23.121944	103.2965029084042	23.124662293925724	103.298335 23.121944	汽车服务	充电站	充电站
湾田停车区云南交投电动汽车充电站	汽车服务;充电站;充电站	11100		[]	云南省	红河哈尼族彝族自治州	蒙自市	103.298268	23.123203	103.29643602323776	23.125920900272323	103.298268 23.123203	汽车服务	充电站	充电站
星星充电汽车充电站(美丽充个旧绿水河宾馆快充站)	汽车服务;充电站;充电站	11100	蔓耗镇冷清公路清水河热带雨林度假区内	[]	云南省	红河哈尼族彝族自治州	个旧市	103.375508	23.006374	103.37349460654202	23.00900996142984	103.375508 23.006374	汽车服务	充电站	充电站
汽车充电站(元阳哈尼小镇)	汽车服务;充电站;充电站	11100	Y071(箐口梯田景区)	[]	云南省	红河哈尼族彝族自治州	元阳县	102.742728	23.109031	102.74129998721448	23.11180026383585	102.742728 23.109031	汽车服务	充电站	充电站
河口友联公交电车充电站	汽车服务;充电站;充电站	11100	G8011(开河高速)	[]	云南省	红河哈尼族彝族自治州	河口瑶族自治县	103.96237	22.525622	103.9604924562297	22.5286686746206	103.96237 22.525622	汽车服务	充电站	充电站
万马爱充汽车充电站(金运汽车客运北站)	汽车服务;充电站;充电站	11100	河东南路与东安巷交叉口东南约140米	4000850006	云南省	红河哈尼族彝族自治州	金平苗族瑶族傣族自治县	103.235	22.7883	103.23325802538224	22.791188987326613	103.235 22.7883	汽车服务	充电站	充电站
山高新能源哈尼小镇电动汽车充电站	汽车服务;充电站;充电站	11100	哈尼小镇	[]	云南省	红河哈尼族彝族自治州	元阳县	102.746673	23.109012	102.74524217759333	23.11178045168201	102.746673 23.109012	汽车服务	充电站	充电站
星星充电汽车充电站(屏边县住建局)	汽车服务;充电站;充电站	11100	屏边苗族自治县住房和城乡建设局	4008280768	云南省	红河哈尼族彝族自治州	屏边苗族自治县	103.68734	22.98685	103.68545659929411	22.989728455832363	103.68734 22.98685	汽车服务	充电站	充电站
汽车充电站(金平县民族团结广场地下停车场)	汽车服务;充电站;充电站	11100	河东南路与金沙路交叉口东南约220米	[]	云南省	红河哈尼族彝族自治州	金平苗族瑶族傣族自治县	103.234227	22.786819	103.2324850928893	22.78970803729608	103.234227 22.786819	汽车服务	充电站	充电站
星星充电汽车充电站(红河县汽车客运站充电桩群)	汽车服务;充电站;充电站	11100	迤萨镇216省道	4008280768	云南省	红河哈尼族彝族自治州	红河县	102.382615	23.37541	102.38107535142952	23.37792139779719	102.382615 23.37541	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	11100	建水大道550附近	[]	云南省	红河哈尼族彝族自治州	建水县	102.830972	23.634378	102.8295884756266	23.63715882285188	102.830972 23.634378	汽车服务	充电站	充电站
汽车充电站(元阳县财富中心)	汽车服务;充电站;充电站	11100	南沙镇滨河路财富中心停车场	[]	云南省	红河哈尼族彝族自治州	元阳县	102.836646	23.223221	102.83528216298056	23.226056785935057	102.836646 23.223221	汽车服务	充电站	充电站
特来电充电站(建水县政府)	汽车服务;充电站;充电站	11100	建水县政府停车场	0873-7666633	云南省	红河哈尼族彝族自治州	建水县	102.827216	23.63619	102.82582687693494	23.638963976165066	102.827216 23.63619	汽车服务	充电站	充电站
特来电充电站(建水文庙景区)	汽车服务;充电站;充电站	11100	建水文庙景区(临安路268号)	0873-7666633	云南省	红河哈尼族彝族自治州	建水县	102.822399	23.614452	102.82100337483512	23.617213946633143	102.822399 23.614452	汽车服务	充电站	充电站
特来电充电站(建水团山景区)	汽车服务;充电站;充电站	11100	西庄镇团山民居停车场内	0873-7666633	云南省	红河哈尼族彝族自治州	建水县	102.740591	23.643914	102.73914973207002	23.64659881416684	102.740591 23.643914	汽车服务	充电站	充电站
山高新能源充电站(元阳财富中心站)	汽车服务;充电站;充电站	11100	滨河路与槟榔路交叉口东南约80米	[]	云南省	红河哈尼族彝族自治州	元阳县	102.837165	23.222841	102.83580191759314	23.22567787996976	102.837165 23.222841	汽车服务	充电站	充电站
特来电充电站(建水古城小火车站)	汽车服务;充电站;充电站	11100	迎晖路256号-7临安火车站停车场	0873-7651888;4001300001	云南省	红河哈尼族彝族自治州	建水县	102.831671	23.622629	102.83028883285866	23.625409515987634	102.831671 23.622629	汽车服务	充电站	充电站
鸿榆·新天地地下车库出行1+1电动汽车充电站	汽车服务;充电站;充电站	11100	鸿榆·新天地地下车库A区	[]	云南省	红河哈尼族彝族自治州	建水县	102.829566	23.622865	102.82818072423092	23.62564156445948	102.829566 23.622865	汽车服务	充电站	充电站
特来电充电站(云南建水福源酒店)	汽车服务;充电站;充电站	11100	仁和路与建水大道交叉口北约60米	4001300001	云南省	红河哈尼族彝族自治州	建水县	102.826418	23.632433	102.82502780171502	23.63520491759722	102.826418 23.632433	汽车服务	充电站	充电站
小鹏汽车汽车充电站(红河建水翰林院酒店小鹏目的地站)	汽车服务;充电站;充电站	11100	临安镇北正街129号建水古城	4008193388	云南省	红河哈尼族彝族自治州	建水县	102.826067	23.614416	102.82467678744813	23.61718486806756	102.826067 23.614416	汽车服务	充电站	充电站
山高新能源充电站(通建高速黄龙寺服务区建水至石屏)	汽车服务;充电站;充电站	11100	[]	[]	云南省	红河哈尼族彝族自治州	建水县	102.781043	23.646442	102.7795982353161	23.64914299198075	102.781043 23.646442	汽车服务	充电站	充电站
汽车充电站(山高新能源通建高速黄龙寺服务区石屏-建水)	汽车服务;充电站;充电站	11100	通建高速黄龙寺服务区(石屏-建水)	[]	云南省	红河哈尼族彝族自治州	建水县	102.781364	23.645181	102.77991948566024	23.6478821453035	102.781364 23.645181	汽车服务	充电站	充电站
星星充电汽车充电站(美丽充建水零公里驾驶员城)	汽车服务;充电站;充电站	11100	２４５国道与Ｓ２７呈元高速入口交叉口西南约160米	4008280768	云南省	红河哈尼族彝族自治州	建水县	102.839829	23.63983	102.8384581374425	23.642628207311542	102.839829 23.63983	汽车服务	充电站	充电站
特来电充电站(建水站公交车出租车网约车专用停车场)	汽车服务;充电站;充电站	11100	建水县火车站停车场	[]	云南省	红河哈尼族彝族自治州	建水县	102.873483	23.657221	102.87214775322244	23.660073967465696	102.873483 23.657221	汽车服务	充电站	充电站
星星充电汽车充电站(建水零公里驾驶员汽车城)	汽车服务;充电站;充电站	11100	２４５国道与Ｓ２７呈元高速入口交叉口西约180米	[]	云南省	红河哈尼族彝族自治州	建水县	102.839205	23.640191	102.83783324568404	23.642988112185705	102.839205 23.640191	汽车服务	充电站	充电站
黄龙寺服务区中国南方电网云桥新能源电动汽车充电站	汽车服务;充电站;充电站	11100	G5615天猴高速附近	[]	云南省	红河哈尼族彝族自治州	建水县	102.77998	23.645648	102.77853457151096	23.64834771384957	102.77998 23.645648	汽车服务	充电站	充电站
石屏腾达新能源充电站	汽车服务;充电站;充电站	11100	汇源路与祥和街交叉口南约160米	[]	云南省	红河哈尼族彝族自治州	石屏县	102.483524	23.70717	102.4821078654418	23.70981806201435	102.483524 23.70717	汽车服务	充电站	充电站
石屏服务区汽车充电站	汽车服务;充电站;充电站	11100	３２３国道与郑营段交叉口东北约140米	[]	云南省	红河哈尼族彝族自治州	石屏县	102.42499	23.744915	102.4234430794588	23.747448596712573	102.42499 23.744915	汽车服务	充电站	充电站
