name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
度普E站汽车充电站(东莞市碧桂园狮子洋)	汽车服务;充电站;充电站	011100	沙田临港路108号	4000337771	广东省	东莞市	东莞市	113.61215	22.832184	113.6070948211731	22.83516671192244	113.61215 22.832184	汽车服务	充电站	充电站
依威能源汽车充电站(碧海云天住宅区)	汽车服务;充电站;充电站	011100	沙田镇轮渡路4号	4001800910	广东省	东莞市	东莞市	113.617177	22.819682	113.6121209446227	22.82266579870735	113.617177 22.819682	汽车服务	充电站	充电站
中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	五围路与天培路交叉口西南约60米	[]	广东省	东莞市	东莞市	113.633498	22.822378	113.62842983675132	22.825343146700988	113.633498 22.822378	汽车服务	充电站	充电站
骏隆汽车充电站	汽车服务;充电站;充电站	011100	虎门南北路六号蔚蓝城市工厂站	13925566609	广东省	东莞市	东莞市	113.645232	22.809903	113.64015107400772	22.812855131623447	113.645232 22.809903	汽车服务	充电站	充电站
汽车充电站(虎门骏隆)	汽车服务;充电站;充电站	011100	南北大道1号骏隆大厦	17611069175	广东省	东莞市	东莞市	113.645852	22.810944	113.64077019853872	22.813894743368284	113.645852 22.810944	汽车服务	充电站	充电站
星星充电汽车充电站(杨记充电桩)	汽车服务;充电站;充电站	011100	沙田镇稔洲路12号101	4008280768	广东省	东莞市	东莞市	113.643128	22.834402	113.63804816217984	22.83734853628633	113.643128 22.834402	汽车服务	充电站	充电站
拓杰汽车充电站(沙田轮渡路站)	汽车服务;充电站;充电站	011100	沙田镇环保路和轮渡路交叉口东北侧	[]	广东省	东莞市	东莞市	113.645996	22.835085	113.64091244002806	22.83802664210588	113.645996 22.835085	汽车服务	充电站	充电站
天天充电汽车充电站(卡酷尚工业园)	汽车服务;充电站;充电站	011100	虎门镇白沙大路北5号	18688659293	广东省	东莞市	东莞市	113.644365	22.829302	113.63928392922703	22.832248460968845	113.644365 22.829302	汽车服务	充电站	充电站
华风汽车充电站(虎门威远蔚蓝站)	汽车服务;充电站;充电站	011100	南北大道骏隆大厦西南侧约90米	[]	广东省	东莞市	东莞市	113.645256	22.809921	113.64017504171596	22.81287308602486	113.645256 22.809921	汽车服务	充电站	充电站
全市快充虎门汽车充电站	汽车服务;充电站;充电站	011100	虎门大道西58号	18128506791	广东省	东莞市	东莞市	113.651586	22.804744	113.64649678388272	22.807687218468	113.651586 22.804744	汽车服务	充电站	充电站
