name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
广东电网充电站(神湾港)	汽车服务;充电站;充电站	011100	神湾镇海港村神港路1号	[]	广东省	中山市	中山市	113.332301	22.302553	113.32691750646038	22.30530085963578	113.332301 22.302553	汽车服务	充电站	充电站
电动汽车充电站	汽车服务;充电站;充电站	011100	大排中路海港幼儿园东南侧约130米	[]	广东省	中山市	中山市	113.337441	22.311655	113.33204654434424	22.31439530582139	113.337441 22.311655	汽车服务	充电站	充电站
广东电网充电站(神湾中心广场)	汽车服务;充电站;充电站	011100	神湾镇宥南村园宁路中心广场西侧	[]	广东省	中山市	中山市	113.350884	22.321781	113.3454632209594	22.32449937648192	113.350884 22.321781	汽车服务	充电站	充电站
广东电网充电站(中山市神湾供电分局营业厅)	汽车服务;充电站;充电站	011100	神湾镇宥华道1号	[]	广东省	中山市	中山市	113.358411	22.322808	113.35297727158984	22.325514319902062	113.358411 22.322808	汽车服务	充电站	充电站
广东电网充电站(中山市神湾供电分局营业厅)	汽车服务;充电站;充电站	011100	宥华道与瑞泰大街交叉口东约20米	[]	广东省	中山市	中山市	113.357949	22.322666	113.35251603205135	22.32537300794112	113.357949 22.322666	汽车服务	充电站	充电站
神湾行政服务中心泰坦电动汽车充电站	汽车服务;充电站;充电站	011100	神湾大道中209之1号	[]	广东省	中山市	中山市	113.363771	22.310793	113.35832978381102	22.313488639670883	113.363771 22.310793	汽车服务	充电站	充电站
坚信充电站(小琅环公园)	汽车服务;充电站;充电站	011100	小琅环路小琅环公园南门停车场	[]	广东省	中山市	中山市	113.42045	22.36018	113.41498737031858	22.36286377110044	113.42045 22.36018	汽车服务	充电站	充电站
中山三乡白石迈达工业中心充电站	汽车服务;充电站;充电站	011100	迈达工业中心	4000610999	广东省	中山市	中山市	113.360794	22.362325	113.35535386759244	22.365035393046888	113.360794 22.362325	汽车服务	充电站	充电站
蔚景云充电站(淼滟源汽车美容站)	汽车服务;充电站;充电站	011100	三乡镇谷都大道959号	4008935718	广东省	中山市	中山市	113.417331	22.330677	113.41186740448346	22.333352789702243	113.417331 22.330677	汽车服务	充电站	充电站
小桔充电汽车充电站(中山坦洲镇坦神北路充电站)	汽车服务;充电站;充电站	011100	坦洲镇坦神北路大鑫元物流公司	18128788172	广东省	中山市	中山市	113.417321	22.284442	113.41186046899855	22.287106839218865	113.417321 22.284442	汽车服务	充电站	充电站
粤盛电气充电站(板芙新联小学)	汽车服务;充电站;充电站	011100	板芙镇河西路	[]	广东省	中山市	中山市	113.286661	22.410639	113.28135532438336	22.41348418499993	113.286661 22.410639	汽车服务	充电站	充电站
广东电网充电站(青岗社区)	汽车服务;充电站;充电站	011100	大涌镇青岗社区仁和大街	[]	广东省	中山市	中山市	113.271716	22.488026	113.26642302899845	22.490891335982656	113.271716 22.488026	汽车服务	充电站	充电站
顺易充汽车充电站(中山市大涌镇青岗市场公共)	汽车服务;充电站;充电站	011100	涌横路与环镇路交叉口西北260米	[]	广东省	中山市	中山市	113.274075	22.493472	113.2687793655742	22.49633534677108	113.274075 22.493472	汽车服务	充电站	充电站
南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	景帝路幸福年华	[]	广东省	中山市	中山市	113.255723	22.521761	113.25043799744692	22.52463408645962	113.255723 22.521761	汽车服务	充电站	充电站
大涌碧桂园世纪城充电站	汽车服务;充电站;充电站	011100	环镇路228号	[]	广东省	中山市	中山市	113.279597	22.480433	113.27429606670918	22.48329084645305	113.279597 22.480433	汽车服务	充电站	充电站
平实新能源汽车充电站(大涌碧桂园世纪城)	汽车服务;充电站;充电站	011100	大涌镇兴华路碧桂园世纪城小区	18676268333	广东省	中山市	中山市	113.279645	22.480469	113.27434400637544	22.483326795687777	113.279645 22.480469	汽车服务	充电站	充电站
蔚景汽车充电站	汽车服务;充电站;充电站	011100	华泰路与汇源街交叉口西北约20米	[]	广东省	中山市	中山市	113.285424	22.469702	113.28011619654248	22.47255285023772	113.285424 22.469702	汽车服务	充电站	充电站
万城万充中横大道充电站	汽车服务;充电站;充电站	011100	横栏镇中横大道12号停车场	15900080811	广东省	中山市	中山市	113.246737	22.529943	113.24145280429582	22.532816203862254	113.246737 22.529943	汽车服务	充电站	充电站
顺易充汽车充电站(中山市横栏医院公共)	汽车服务;充电站;充电站	011100	顺兴北路与横西二三街交叉口西南约120米	[]	广东省	中山市	中山市	113.254276	22.532187	113.24899074714178	22.535059889227345	113.254276 22.532187	汽车服务	充电站	充电站
广东电网充电站(安堂社区)	汽车服务;充电站;充电站	011100	大涌镇长堤街	[]	广东省	中山市	中山市	113.28645	22.464152	113.28114111904507	22.4670013693694	113.28645 22.464152	汽车服务	充电站	充电站
广东电网充电站(中山市大涌供电分局营业厅)	汽车服务;充电站;充电站	011100	大涌镇华泰路5号	[]	广东省	中山市	中山市	113.285608	22.469583	113.28029994813426	22.47243361700037	113.285608 22.469583	汽车服务	充电站	充电站
小桔长征云沙溪站(官方出租车司机驿站)	汽车服务;充电站;充电站	011100	康乐中路中国石油中山永顺加油站西侧约80米	[]	广东省	中山市	中山市	113.30068	22.514169	113.2953449314252	22.516997816405407	113.30068 22.514169	汽车服务	充电站	充电站
小桔充电汽车充电站(长征云充沙溪充电站)	汽车服务;充电站;充电站	011100	康乐中路	4000610999	广东省	中山市	中山市	113.300729	22.514334	113.2953938334369	22.51716273199178	113.300729 22.514334	汽车服务	充电站	充电站
沙溪服务区南方电网电动汽车充电站(建设中)	汽车服务;充电站;充电站	011100	[]	[]	广东省	中山市	中山市	113.289245	22.532591	113.28392754134462	22.53543613931462	113.289245 22.532591	汽车服务	充电站	充电站
鹏辉能源汽车充电站(锦兴办公楼)	汽车服务;充电站;充电站	011100	大涌镇大业东路	4008935718	广东省	中山市	中山市	113.297186	22.456966	113.2918607738256	22.45979984943118	113.297186 22.456966	汽车服务	充电站	充电站
广东电网充电站(中山市大涌供电分局大涌镇市场监督管理局)	汽车服务;充电站;充电站	011100	大涌镇励志路50号大涌镇工商局停车场	[]	广东省	中山市	中山市	113.3002	22.466548	113.2948689163599	22.46937747297018	113.3002 22.466548	汽车服务	充电站	充电站
万城万充欧曼家具汽车充电站	汽车服务;充电站;充电站	011100	板芙镇欧曼家具地面停车场	15900080811	广东省	中山市	中山市	113.334644	22.397521	113.3292494945769	22.40028200825577	113.334644 22.397521	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	深湾二街	[]	广东省	中山市	中山市	113.345205	22.379935	113.3397908779057	22.382674059160543	113.345205 22.379935	汽车服务	充电站	充电站
美团充电	汽车服务;充电站;充电站	011100	X580中山詹园内游客服务中心(城南六路)	[]	广东省	中山市	中山市	113.331843	22.434284	113.32645174647416	22.43705405773894	113.331843 22.434284	汽车服务	充电站	充电站
美团充电	汽车服务;充电站;充电站	011100	新和七巷与北溪路交叉口东南约220米	[]	广东省	中山市	中山市	113.330864	22.434969	113.32547469698308	22.43774097528108	113.330864 22.434969	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	板芙文化广场	[]	广东省	中山市	中山市	113.321103	22.415194	113.3157349628681	22.417982792028987	113.321103 22.415194	汽车服务	充电站	充电站
广东电网充电站(板芙二桥)	汽车服务;充电站;充电站	011100	板芙镇迎宾大道板芙二桥附近	[]	广东省	中山市	中山市	113.323297	22.393225	113.31792593542626	22.396007067310617	113.323297 22.393225	汽车服务	充电站	充电站
广东电网充电站(五桂山大尖山停车场)	汽车服务;充电站;充电站	011100	五桂山镇大尖山森林公园停车场	[]	广东省	中山市	中山市	113.380195	22.443394	113.37472541271978	22.44609044802284	113.380195 22.443394	汽车服务	充电站	充电站
广东电网充电站(里溪市场)	汽车服务;充电站;充电站	011100	板芙镇里溪大道	[]	广东省	中山市	中山市	113.328778	22.37962	113.32339661503266	22.38238971583896	113.328778 22.37962	汽车服务	充电站	充电站
万城万充汽车充电站(祥畔华庭)	汽车服务;充电站;充电站	011100	板芙大道38号祥畔华庭地下停车场	4008083392	广东省	中山市	中山市	113.31835	22.415321	113.31298753878212	22.418114983870307	113.31835 22.415321	汽车服务	充电站	充电站
万城万充汽车充电站(宏烨金钟农贸市场)	汽车服务;充电站;充电站	011100	板芙镇工业大道18号金钟农贸市场(正对市场大门进场右转)	13902823951	广东省	中山市	中山市	113.316731	22.380749	113.3113740752025	22.38354168747916	113.316731 22.380749	汽车服务	充电站	充电站
中山碧桂园星钻充电站	汽车服务;充电站;充电站	011100	南源路56号中山碧桂园星钻停车位	[]	广东省	中山市	中山市	113.354315	22.46645	113.34887858326692	22.46918130621985	113.354315 22.46645	汽车服务	充电站	充电站
特斯拉超级充电站(中山城南特斯拉中心)	汽车服务;充电站;充电站	011100	城南四路一号之三	[]	广东省	中山市	中山市	113.348564	22.466475	113.34313784801084	22.46921605214149	113.348564 22.466475	汽车服务	充电站	充电站
小蓝慢充汽车充电站	汽车服务;充电站;充电站	011100	恒发街小桔汽车充电站内	[]	广东省	中山市	中山市	113.349088	22.483049	113.34365978247072	22.485789527121	113.349088 22.483049	汽车服务	充电站	充电站
小桔汽车充电站(南区恒发站)	汽车服务;充电站;充电站	011100	恒发街道	13790723306	广东省	中山市	中山市	113.34905	22.483158	113.3436218449025	22.48589859443391	113.34905 22.483158	汽车服务	充电站	充电站
坚信充电站(南区碧桂园柏坦尼雅)	汽车服务;充电站;充电站	011100	南区街道城南五路碧桂园柏坦尼雅菱电电梯旁	[]	广东省	中山市	中山市	113.343659	22.452233	113.33824304108155	22.454982160849745	113.343659 22.452233	汽车服务	充电站	充电站
万城万充汽车充电站(博贸大厦)	汽车服务;充电站;充电站	011100	城南二路18号博贸大厦地面停车场	4008083392	广东省	中山市	中山市	113.353255	22.486243	113.34781910468072	22.488976476258667	113.353255 22.486243	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	积水潭医院北侧	[]	广东省	中山市	中山市	113.35495	22.450581	113.34951355003078	22.45331055378345	113.35495 22.450581	汽车服务	充电站	充电站
万城万充大信新都汇星汇店充电站	汽车服务;充电站;充电站	011100	永安一路18号星汇大信地面停车场	4008083392	广东省	中山市	中山市	113.361028	22.482342	113.35557951945624	22.485063165778865	113.361028 22.482342	汽车服务	充电站	充电站
坚信充电站(南区路易酒店)	汽车服务;充电站;充电站	011100	街道城南二路16号	[]	广东省	中山市	中山市	113.353655	22.486913	113.34821836294984	22.489645818319325	113.353655 22.486913	汽车服务	充电站	充电站
依威能源汽车充电站(中山碧桂园凤凰城)	汽车服务;充电站;充电站	011100	南区街道圣都路1号	4001800910	广东省	中山市	中山市	113.324708	22.450609	113.3193302622184	22.453393752008783	113.324708 22.450609	汽车服务	充电站	充电站
顺易充充电站(庞氏新能源站南区办事处)	汽车服务;充电站;充电站	011100	街道城南一路1-9号	[]	广东省	中山市	中山市	113.355518	22.486564	113.35007818800554	22.489293770316696	113.355518 22.486564	汽车服务	充电站	充电站
小桔充电汽车充电站(世纪南区农商行快充充电站)	汽车服务;充电站;充电站	011100	中山农商银行(南区支行营业部)	4000610999	广东省	中山市	中山市	113.35612	22.487704	113.35067909624524	22.49043280941228	113.35612 22.487704	汽车服务	充电站	充电站
广东电网充电站(中山市南区供电分局营业厅)	汽车服务;充电站;充电站	011100	街道康南路10号	13129295775	广东省	中山市	中山市	113.359284	22.487598	113.35383791482964	22.49032184974397	113.359284 22.487598	汽车服务	充电站	充电站
中山沙溪龙瑞国际服装城	汽车服务;充电站;充电站	011100	柑桂街与沙溪南路交叉口东南60米	[]	广东省	中山市	中山市	113.341455	22.513946	113.33603921649096	22.51669994060994	113.341455 22.513946	汽车服务	充电站	充电站
龙瑞服装城充电站	汽车服务;充电站;充电站	011100	沙溪镇沙溪南路39号龙瑞服装城西门停车场	[]	广东省	中山市	中山市	113.341301	22.514065	113.3358855097981	22.51681922046636	113.341301 22.514065	汽车服务	充电站	充电站
中山绿箭新能源时代倾城充电站	汽车服务;充电站;充电站	011100	沙溪大道6号时代倾城	[]	广东省	中山市	中山市	113.343328	22.509128	113.33790889845656	22.511878639892792	113.343328 22.509128	汽车服务	充电站	充电站
中山通安客运站充电站	汽车服务;充电站;充电站	011100	富华大道45号	[]	广东省	中山市	中山市	113.344619	22.519306	113.33919674206628	22.52205400444352	113.344619 22.519306	汽车服务	充电站	充电站
平实科技沙溪希岸酒店充电站	汽车服务;充电站;充电站	011100	沙溪镇富华道云汉路5号	13025513888	广东省	中山市	中山市	113.340346	22.520874	113.33493193153132	22.523629753404155	113.340346 22.520874	汽车服务	充电站	充电站
平实科技沙溪希岸酒店充电站	汽车服务;充电站;充电站	011100	富华道与沙溪南路交叉路口东北侧(沙溪镇车站西南侧)	[]	广东省	中山市	中山市	113.340413	22.520932	113.33499879580008	22.52368762725054	113.340413 22.520932	汽车服务	充电站	充电站
广东电网充电站(上堡龙井街)	汽车服务;充电站;充电站	011100	上堡龙井街与隆兴中路交叉口东南约140米	[]	广东省	中山市	中山市	113.324642	22.514485	113.3192601713199	22.517270704953788	113.324642 22.514485	汽车服务	充电站	充电站
万城万充汽车充电站(金保达)	汽车服务;充电站;充电站	011100	新濠路66号金保达商务写字楼地面停车场	4008083392	广东省	中山市	中山市	113.335191	22.499171	113.32978865781229	22.501936916632253	113.335191 22.499171	汽车服务	充电站	充电站
万城万充世纪优活充电站	汽车服务;充电站;充电站	011100	翠景南路18号世纪优活广场停车场(地下车库出口侧)	15900080811	广东省	中山市	中山市	113.351218	22.506312	113.34578437255568	22.50904879090725	113.351218 22.506312	汽车服务	充电站	充电站
恒宏(广州)汽车充电站(云汉国际轻纺城)	汽车服务;充电站;充电站	011100	云汉商贸服装批发市场	[]	广东省	中山市	中山市	113.341973	22.526808	113.33655534985958	22.52956050647289	113.341973 22.526808	汽车服务	充电站	充电站
中国南方电网乐群汽车充电站	汽车服务;充电站;充电站	011100	站前路乐群小学北侧约180米	[]	广东省	中山市	中山市	113.318666	22.521387	113.313295896578	22.52418377190993	113.318666 22.521387	汽车服务	充电站	充电站
广东电网充电站(沙溪镇社保局)	汽车服务;充电站;充电站	011100	沙溪镇隆兴南路沙溪社保局旁	[]	广东省	中山市	中山市	113.321328	22.505031	113.3159535709701	22.507823217398503	113.321328 22.505031	汽车服务	充电站	充电站
依威能源汽车充电站(中海翠林兰溪T9)	汽车服务;充电站;充电站	011100	沙溪镇石门上街52号	4001800910	广东省	中山市	中山市	113.341919	22.499936	113.33650324228108	22.502689363981474	113.341919 22.499936	汽车服务	充电站	充电站
万城万充阳光半岛充电站	汽车服务;充电站;充电站	011100	阳光半岛小区南门停车场(麦当劳旁)	15900080811	广东省	中山市	中山市	113.323342	22.528451	113.31796190727653	22.531238633444588	113.323342 22.528451	汽车服务	充电站	充电站
依威能源汽车充电站(中海翠林兰溪C9)	汽车服务;充电站;充电站	011100	沙溪镇石门上街52号	4001800910	广东省	中山市	中山市	113.340883	22.497917	113.33546940228766	22.500672287739	113.340883 22.497917	汽车服务	充电站	充电站
汽车充电站(阳光半岛)	汽车服务;充电站;充电站	011100	阳光半岛小区南门停车场(麦当劳旁)	4008083392	广东省	中山市	中山市	113.323211	22.528482	113.3178311731826	22.531269880830006	113.323211 22.528482	汽车服务	充电站	充电站
特斯拉充电站(中山市西区天悦城超级充电站)	汽车服务;充电站;充电站	011100	西区富华道32号天悦城购物中心空中停车场7层	[]	广东省	中山市	中山市	113.349931	22.522082	113.34449864430309	22.52482053019468	113.349931 22.522082	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	隆都南路奕豪园东侧约130米	[]	广东省	中山市	中山市	113.315659	22.503941	113.31029610184436	22.5067438464004	113.315659 22.503941	汽车服务	充电站	充电站
坚信充电站(富业广场)	汽车服务;充电站;充电站	011100	富华道16号	[]	广东省	中山市	中山市	113.359218	22.522679	113.35376967957352	22.525402345395538	113.359218 22.522679	汽车服务	充电站	充电站
小桔充电站(长征云充升华)	汽车服务;充电站;充电站	011100	升华路与翠秀街交叉口南约120米	[]	广东省	中山市	中山市	113.357327	22.514085	113.35188232722253	22.51681158498847	113.357327 22.514085	汽车服务	充电站	充电站
万城万充凯旋时代公寓充电站	汽车服务;充电站;充电站	011100	中山一路115号凯旋时代公寓	15900080811	广东省	中山市	中山市	113.361166	22.519326	113.35571483754735	22.522046534780834	113.361166 22.519326	汽车服务	充电站	充电站
万城万充汽车充电站(沙溪汇龙商务大厦)	汽车服务;充电站;充电站	011100	龙阳路8号	4008083392	广东省	中山市	中山市	113.321732	22.527251	113.3163552762122	22.530041744171186	113.321732 22.527251	汽车服务	充电站	充电站
小桔充电汽车充电站(长征云充升华充电站)	汽车服务;充电站;充电站	011100	升华路升华花园(地上)	4000610999	广东省	中山市	中山市	113.356806	22.513996	113.35136219632082	22.51672341175016	113.356806 22.513996	汽车服务	充电站	充电站
依威能源汽车充电站(中海翠林兰溪别墅区)	汽车服务;充电站;充电站	011100	沙溪镇龙井街22号	4001800910	广东省	中山市	中山市	113.341047	22.493322	113.33563338603206	22.496077006218886	113.341047 22.493322	汽车服务	充电站	充电站
坚信充电站(中山国际酒店)	汽车服务;充电站;充电站	011100	西区街道中山一路142号	[]	广东省	中山市	中山市	113.363513	22.520823	113.35805818720084	22.523540064503543	113.363513 22.520823	汽车服务	充电站	充电站
广东电网充电站(中山市西区供电分局营业厅)	汽车服务;充电站;充电站	011100	西区街道岐沙路3号	[]	广东省	中山市	中山市	113.356007	22.520946	113.35056406957835	22.523674453045604	113.356007 22.520946	汽车服务	充电站	充电站
粤盛充电站(欧雅豪庭南江路)	汽车服务;充电站;充电站	011100	石歧街道南江路48号	[]	广东省	中山市	中山市	113.364098	22.507991	113.35864318498218	22.51070761609405	113.364098 22.507991	汽车服务	充电站	充电站
万城万充大信新都汇新悦店充电站	汽车服务;充电站;充电站	011100	南江路20号大信新都汇新悦店地面停车场	4008083392	广东省	中山市	中山市	113.364547	22.508384	113.35909150617864	22.51109997800654	113.364547 22.508384	汽车服务	充电站	充电站
小桔充电站(长征云充富业广场)	汽车服务;充电站;充电站	011100	富华道16号富业广场大旺食街	[]	广东省	中山市	中山市	113.358575	22.523664	113.35312764854996	22.52638829498815	113.358575 22.523664	汽车服务	充电站	充电站
坚信新能源充电站(南区比亚迪)	汽车服务;充电站;充电站	011100	悦来南路56号	18676168801	广东省	中山市	中山市	113.362575	22.496197	113.35712323118877	22.49891594804632	113.362575 22.496197	汽车服务	充电站	充电站
汽车充电站(蔚来超充站中山喜来登酒店)	汽车服务;充电站;充电站	011100	中山喜来登酒店	[]	广东省	中山市	中山市	113.364735	22.519508	113.35927849154368	22.522223393206268	113.364735 22.519508	汽车服务	充电站	充电站
广东电网充电站(中山市中山供电局西区中侨公共停车场)	汽车服务;充电站;充电站	011100	西区街道中山一路144号	[]	广东省	中山市	中山市	113.363089	22.519495	113.35763490532864	22.52221272027841	113.363089 22.519495	汽车服务	充电站	充电站
三联比亚迪南区充电站(官方出租车司机驿站)	汽车服务;充电站;充电站	011100	悦来南路56号	[]	广东省	中山市	中山市	113.363142	22.496552	113.35768935851289	22.49927012873234	113.363142 22.496552	汽车服务	充电站	充电站
新能源汽车充电站	汽车服务;充电站;充电站	011100	长命水长逸路广东药科大学(中山校区)北侧约120米	[]	广东省	中山市	中山市	113.413758	22.480631	113.40828163841071	22.483321761937766	113.413758 22.480631	汽车服务	充电站	充电站
万城万充汽车充电站(帝悦美寓)	汽车服务;充电站;充电站	011100	五桂山街道城桂路5号旭日曦苑小区停车场	4008083392	广东省	中山市	中山市	113.411653	22.48353	113.4061751171327	22.48621981345565	113.411653 22.48353	汽车服务	充电站	充电站
广东电网充电站(悦盈新城)	汽车服务;充电站;充电站	011100	永安一路9号悦盈新成花园小区内	[]	广东省	中山市	中山市	113.366929	22.489608	113.36147140392742	22.492320901246373	113.366929 22.489608	汽车服务	充电站	充电站
库充市场充电站	汽车服务;充电站;充电站	011100	中山四路37号	[]	广东省	中山市	中山市	113.395385	22.511097	113.3899023969531	22.513785651318315	113.395385 22.511097	汽车服务	充电站	充电站
顺易充充电站(庞氏新能源站)	汽车服务;充电站;充电站	011100	龙凤街2号溢彩荟2期停车场(员工停车场内)	[]	广东省	中山市	中山市	113.391093	22.508302	113.38561194135188	22.51099236576384	113.391093 22.508302	汽车服务	充电站	充电站
星星充电汽车充电站(中山市远洋珑熙郡)	汽车服务;充电站;充电站	011100	远洋珑熙郡	4008280768	广东省	中山市	中山市	113.393	22.516001	113.3875177172642	22.518690333276087	113.393 22.516001	汽车服务	充电站	充电站
云快充汽车充电站(假日广场)	汽车服务;充电站;充电站	011100	兴中道6号	4008288517	广东省	中山市	中山市	113.390499	22.520376	113.38501738659	22.523066297064737	113.390499 22.520376	汽车服务	充电站	充电站
云快充充电站(益华百货)	汽车服务;充电站;充电站	011100	中山三路8号	[]	广东省	中山市	中山市	113.383894	22.511594	113.37841686075922	22.51428872996477	113.383894 22.511594	汽车服务	充电站	充电站
正充顺景商业中心汽车充电站	汽车服务;充电站;充电站	011100	博爱五路1号	4008288517	广东省	中山市	中山市	113.394139	22.50266	113.38865726837491	22.5053492164318	113.394139 22.50266	汽车服务	充电站	充电站
