name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
广东电网充电站(云浮市罗定供电局泗纶营业厅)	汽车服务;充电站;充电站	011100	龙安街与３５２省道交叉口东北约160米	[]	广东省	云浮市	罗定市	111.328277	22.715923	111.32310037398324	22.71868471553851	111.328277 22.715923	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	X481龙湾中心小学东北侧约190米	[]	广东省	云浮市	罗定市	111.194774	22.6918	111.1897367670242	22.694611251684048	111.194774 22.6918	汽车服务	充电站	充电站
南方电网充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	云浮市	罗定市	111.435687	22.816468	111.43037515168228	22.819131435712336	111.435687 22.816468	汽车服务	充电站	充电站
广东电网充电站(黎少营业厅)	汽车服务;充电站;充电站	011100	广海西路与876乡道交叉口西南360米	[]	广东省	云浮市	罗定市	111.461133	22.716997	111.45587053589657	22.7197424826273	111.461133 22.716997	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	294省道与广场街交叉口西320米	[]	广东省	云浮市	罗定市	111.517064	22.722801	111.51195259512248	22.725705051731858	111.517064 22.722801	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	３２４国道与２７４省道交叉口东约40米	[]	广东省	云浮市	云安区	111.857763	22.765095	111.852715783341	22.768080255723746	111.857763 22.765095	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	３２４国道与府前路交叉口东约140米	[]	广东省	云浮市	罗定市	111.758323	22.749852	111.75311507972344	22.75269672756169	111.758323 22.749852	汽车服务	充电站	充电站
电动汽车充电站(南方电网苹塘供电所公共充电桩)	汽车服务;充电站;充电站	011100	G324(福昆线)	[]	广东省	云浮市	罗定市	111.775859	22.742941	111.7706635035246	22.745798812452588	111.775859 22.742941	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	011100	富林镇南方电网公司	[]	广东省	云浮市	云安区	111.907266	22.654438	111.9022714924616	22.65748966857371	111.907266 22.654438	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	白石镇新城二路白石幼儿园西南150米	[]	广东省	云浮市	云安区	111.792595	22.815856	111.78741677213463	22.81870957394022	111.792595 22.815856	汽车服务	充电站	充电站
苹塘服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	苹塘镇苹塘服务区内	4000053636	广东省	云浮市	罗定市	111.752895	22.764631	111.7476849638568	22.767469992513927	111.752895 22.764631	汽车服务	充电站	充电站
云浮市云安供电局石城营业厅公共电动汽车充电站	汽车服务;充电站;充电站|生活服务;生活服务场所;生活服务场所	011100|070000	石城镇新塘村	95598	广东省	云浮市	云安区	111.989692	22.837739	111.98453268760356	22.84058161412832	111.989692 22.837739	汽车服务	充电站	生活服务场所
苹塘服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	苹塘镇苹塘服务区内	4000053636	广东省	云浮市	罗定市	111.75342	22.767253	111.74820985525795	22.770091211497714	111.75342 22.767253	汽车服务	充电站	充电站
广东天路汽车充电站(江罗高速苹塘西行)	汽车服务;充电站;充电站	011100	苹塘镇苹塘服务区	4000053636	广东省	云浮市	罗定市	111.754441	22.76662	111.74923104408845	22.76945855980307	111.754441 22.76662	汽车服务	充电站	充电站
朗塘汽车充电站	汽车服务;充电站;充电站	011100	234国道与S51肇阳高速出口交叉口西南360米	[]	广东省	云浮市	罗定市	111.717182	22.617626	111.71200382611202	22.62052080021132	111.717182 22.617626	汽车服务	充电站	充电站
中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	围底镇工业大道东1号围底镇人民政府附近	[]	广东省	云浮市	罗定市	111.672823	22.703547	111.66772181393824	22.706496738858927	111.672823 22.703547	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	龙华西路泰德花园北侧约30米	[]	广东省	云浮市	罗定市	111.572397	22.752613	111.56739605976952	22.75562768073859	111.572397 22.752613	汽车服务	充电站	充电站
广东天路汽车充电站(罗阳高速华石南行)	汽车服务;充电站;充电站	011100	Ｓ５１肇阳高速与华石服务区交叉口北约560米	[]	广东省	云浮市	罗定市	111.667894	22.73862	111.66280130305545	22.74156939827648	111.667894 22.73862	汽车服务	充电站	充电站
