name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
电动汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	佛山市	高明区	112.744757	22.779542	112.73958591660026	22.7823691975778	112.744757 22.779542	汽车服务	充电站	充电站
新景充电站	汽车服务;充电站;充电站	011100	明城镇肇江公路442号	[]	广东省	佛山市	高明区	112.694822	22.858436	112.6897136879401	22.861286723684493	112.694822 22.858436	汽车服务	充电站	充电站
南方电网充电站(华立医院公用站)	汽车服务;充电站;充电站	011100	明城镇明六路20号(近文昌塔)	[]	广东省	佛山市	高明区	112.704413	22.855766	112.69928603990503	22.858602270119384	112.704413 22.855766	汽车服务	充电站	充电站
广东电网充电站(高明区更合供电所营业厅)	汽车服务;充电站;充电站	011100	工业大道与合和大道交叉口西北400米	[]	广东省	佛山市	高明区	112.581424	22.786303	112.57647771772736	22.78930787173697	112.581424 22.786303	汽车服务	充电站	充电站
广东电网充电站(高明区明城供电所营业厅)	汽车服务;充电站;充电站	011100	明城镇城五路22号	[]	广东省	佛山市	高明区	112.710637	22.858567	112.70549881506956	22.861393245200123	112.710637 22.858567	汽车服务	充电站	充电站
万城万充汽车充电站(高明区美的汽车营地)	汽车服务;充电站;充电站	011100	高明大道中218号美的鹭湖度假村汽车营地地面停车场	4008083392	广东省	佛山市	高明区	112.774107	22.846866	112.76893493758024	22.849679140668936	112.774107 22.846866	汽车服务	充电站	充电站
顺易充汽车充电站(佛山市高明区明城华立医院公用)	汽车服务;充电站;充电站	011100	城七路与明六路交叉口西南约60米	[]	广东省	佛山市	高明区	112.704559	22.855913	112.69943175987032	22.85874899259304	112.704559 22.855913	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园高明二期茶山凤舞八街)	汽车服务;充电站;充电站	011100	三洲街道百灵路高明碧桂园二期茶山凤舞八街碧桂园高明二期茶山凤舞八街	4001800910	广东省	佛山市	高明区	112.8463	22.856451	112.84123321631468	22.85937723355607	112.8463 22.856451	汽车服务	充电站	充电站
广东电网充电站(高明区更合镇白石村委会)	汽车服务;充电站;充电站	011100	２７３省道与肇江公路交叉口东南约80米	[]	广东省	佛山市	高明区	112.57018	22.804754	112.5652219603648	22.807741411926475	112.57018 22.804754	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园高明二期20座)	汽车服务;充电站;充电站	011100	三洲街道百灵路高明碧桂园二期茶山凤舞六街20座对面碧桂园高明二期20座	4001800910	广东省	佛山市	高明区	112.843583	22.854852	112.83851188156724	22.857774009430365	112.843583 22.854852	汽车服务	充电站	充电站
广东电网充电站(高明区杨和镇清泰村委)(暂停营业)	汽车服务;充电站;充电站	011100	杨和镇和市二巷燕来街路口	[]	广东省	佛山市	高明区	112.788672	22.864034	112.78351231947128	22.866856605563445	112.788672 22.864034	汽车服务	充电站	充电站
