name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
依威能源汽车充电站(华庆公寓)	汽车服务;充电站;充电站	011100	大岗镇欣荣路14号地面停车场华庆公寓	4001800910	广东省	广州市	南沙区	113.385881	22.781176	113.38038433601209	22.78381761167732	113.385881 22.781176	汽车服务	充电站	充电站
大自然充电站	汽车服务;充电站;充电站	011100	大岗镇北龙路3号	16620487447	广东省	广州市	南沙区	113.393616	22.805739	113.38811399041391	22.808368064071665	113.393616 22.805739	汽车服务	充电站	充电站
中国南方电网充电站(绿村充电站)	汽车服务;充电站;充电站	011100	榄核镇绿村村委会门口	[]	广东省	广州市	南沙区	113.365603	22.857498	113.3601225114528	22.86013300973104	113.365603 22.857498	汽车服务	充电站	充电站
浩洋新能源汽车充电站(大自然)	汽车服务;充电站;充电站	011100	大岗镇北龙路3号	[]	广东省	广州市	南沙区	113.39341	22.8053	113.38790808294904	22.8079292965102	113.39341 22.8053	汽车服务	充电站	充电站
小桔充电汽车充电站(南沙区大岗充电站)	汽车服务;充电站;充电站	011100	利大鞋业-公交车站	4000610999	广东省	广州市	南沙区	113.384051	22.796723	113.37855454119764	22.799360617291235	113.384051 22.796723	汽车服务	充电站	充电站
广州供电局充电站(昌森源百货)	汽车服务;充电站;充电站	011100	大岗镇民生路139号	[]	广东省	广州市	南沙区	113.383992	22.790494	113.37849600600488	22.79313381106881	113.383992 22.790494	汽车服务	充电站	充电站
鹏辉能源汽车充电站(昌森源百货)	汽车服务;充电站;充电站	011100	大岗镇民生路139号	4008935718	广东省	广州市	南沙区	113.384498	22.790405	113.37900164853936	22.7930444648464	113.384498 22.790405	汽车服务	充电站	充电站
依威能源汽车充电站(笆芭拉运动中心)	汽车服务;充电站;充电站	011100	工业二路2号第二层停车场笆芭拉运动中心	4001800910;18688492524	广东省	广州市	南沙区	113.407593	22.804175	113.4020915757596	22.80680365915065	113.407593 22.804175	汽车服务	充电站	充电站
小桔充电汽车充电站(南沙榄核人民村充电站)	汽车服务;充电站;充电站	011100	榄核镇人民村人绿路13号	4000610999	广东省	广州市	南沙区	113.344066	22.853479	113.33862241417113	22.856150372574383	113.344066 22.853479	汽车服务	充电站	充电站
广州供电局充电站(江淮汽车南沙榄核专营店)	汽车服务;充电站;充电站	011100	番禺榄核镇平稳村第三工业区	[]	广东省	广州市	南沙区	113.405049	22.826341	113.399545275744	22.82896118422706	113.405049 22.826341	汽车服务	充电站	充电站
