name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
星星充电汽车充电站(三和家园充电桩)	汽车服务;充电站;充电站	011100	东风高屋村三和家园	4008280768	广东省	惠州市	惠阳区	114.316872	22.814765	114.31199169038078	22.81749470340664	114.316872 22.814765	汽车服务	充电站	充电站
雅涛苑充电站	汽车服务;充电站;充电站	011100	龙岗大道与云海路交叉口北520米	[]	广东省	惠州市	惠阳区	114.332113	22.81219	114.3272099466286	22.81489172818913	114.332113 22.81219	汽车服务	充电站	充电站
新圩1号充电站	汽车服务;充电站;充电站	011100	G205(山深线)	13824330868	广东省	惠州市	惠阳区	114.328795	22.841267	114.323895121802	22.843964287626047	114.328795 22.841267	汽车服务	充电站	充电站
圣保罗科技充电站(新圩一号站)	汽车服务;充电站;充电站	011100	山深线聚美科技园东南侧约90米	[]	广东省	惠州市	惠阳区	114.328681	22.841239	114.32378129709586	22.84393651590837	114.328681 22.841239	汽车服务	充电站	充电站
云快充汽车充电站(雅涛苑酒店充电站)	汽车服务;充电站;充电站	011100	塘吓惠深公路深圳坪地交界处	0752-3527188;13528081868	广东省	惠州市	惠阳区	114.332031	22.81213	114.32712807503454	22.8148319058516	114.332031 22.81213	汽车服务	充电站	充电站
小碧电王充电站(惠州市恒昇源汽车维修服务中心)	汽车服务;充电站;充电站	011100	金新路与205国道交叉口东南240米	[]	广东省	惠州市	惠阳区	114.333358	22.859754	114.3284499931658	22.86243546486909	114.333358 22.859754	汽车服务	充电站	充电站
大亚湾老畲生活荟小桔充电站	汽车服务;充电站;充电站	011100	大亚湾西区街道老畲村三大屋老畲生活荟地面停车场	0752-5558088;13536279468	广东省	惠州市	惠阳区	114.409244	22.7194	114.4042952241381	22.722048741625063	114.409244 22.7194	汽车服务	充电站	充电站
依威能源汽车充电站(龙光城北八期)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙盛五路1号	4001800910	广东省	惠州市	惠阳区	114.412489	22.732602	114.4075421405323	22.73524822824943	114.412489 22.732602	汽车服务	充电站	充电站
依威能源汽车充电站(龙光城北十一期)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙盛五路1号	4001800910	广东省	惠州市	惠阳区	114.411284	22.730458	114.40633619259808	22.73310433105151	114.411284 22.730458	汽车服务	充电站	充电站
依威能源汽车充电站(龙光城北三期)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山一路78号	4001800910	广东省	惠州市	惠阳区	114.41735	22.727153	114.4124085736124	22.729803569359365	114.41735 22.727153	汽车服务	充电站	充电站
星永生白石充电站	汽车服务;充电站;充电站	011100	秋宝路凯天金典酒店东300米	13802472026	广东省	惠州市	惠阳区	114.391733	22.776859	114.38677398761044	22.779491416248938	114.391733 22.776859	汽车服务	充电站	充电站
南方电网充电站(沿湖花园)	汽车服务;充电站;充电站	011100	秋长街道沿湖路99号	[]	广东省	惠州市	惠阳区	114.387021	22.773061	114.38206280048692	22.775697228489943	114.387021 22.773061	汽车服务	充电站	充电站
星星充电汽车充电站(惠州市惠阳星永生新能源有限公司)	汽车服务;充电站;充电站	011100	秋长镇白石世佳工业园充电站	4008280768	广东省	惠州市	惠阳区	114.392441	22.776537	114.38748200496175	22.77916921702822	114.392441 22.776537	汽车服务	充电站	充电站
志通公司充电站	汽车服务;充电站;充电站	011100	白云一路22东南70米	[]	广东省	惠州市	惠阳区	114.424454	22.762242	114.41951974371652	22.76488788429602	114.424454 22.762242	汽车服务	充电站	充电站
碧桂园深荟城快充充电站	汽车服务;充电站;充电站	011100	碧桂园深荟城15栋地面停车场	[]	广东省	惠州市	惠阳区	114.422449	22.768056	114.4175114642248	22.770698101228856	114.422449 22.768056	汽车服务	充电站	充电站
依威能源汽车充电站(五月花花园)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山一路33号	4001800910	广东省	惠州市	惠阳区	114.422567	22.7563	114.41763038931283	22.758945964182928	114.422567 22.7563	汽车服务	充电站	充电站
万城万充汽车充电站(惠阳西湖村)	汽车服务;充电站;充电站	011100	白云一路16号	18707654077	广东省	惠州市	惠阳区	114.421211	22.762423	114.41627212929122	22.765065826300244	114.421211 22.762423	汽车服务	充电站	充电站
天天充电汽车充电站(惠阳西湖村)	汽车服务;充电站;充电站	011100	秋长西湖村地段5号	18688659293	广东省	惠州市	惠阳区	114.416972	22.775329	114.4120270253906	22.77796441764611	114.416972 22.775329	汽车服务	充电站	充电站
依威能源汽车充电站(德洲城三四期)	汽车服务;充电站;充电站	011100	淡水街道龙山一路与龙海二路交汇处	4001800910	广东省	惠州市	惠阳区	114.422383	22.749376	114.41744657837094	22.752023950269614	114.422383 22.749376	汽车服务	充电站	充电站
依威能源汽车充电站(富康名城)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山一路与石化大道西交汇处	4001800910	广东省	惠州市	惠阳区	114.418595	22.743511	114.41365399890796	22.74615763302761	114.418595 22.743511	汽车服务	充电站	充电站
依威能源汽车充电站(富康名城8栋)	汽车服务;充电站;充电站	011100	大亚湾西区街道石化大道西299号	4001800910	广东省	惠州市	惠阳区	114.418482	22.743483	114.41354086321458	22.74612955873987	114.418482 22.743483	汽车服务	充电站	充电站
度普E站汽车充电站(惠阳区碧桂园深荟城花园)	汽车服务;充电站;充电站	011100	白云坑深汕公路与龙山一路交汇处	4000337771	广东省	惠州市	惠阳区	114.42311	22.76519	114.41817358594923	22.76783363807692	114.42311 22.76519	汽车服务	充电站	充电站
比亚迪汽车充电站(七分公司八车队坑梓车队)	汽车服务;充电站;充电站	011100	坑梓汽车站锦锈东路	4000337771	广东省	惠州市	惠阳区	114.42211	22.758964	114.4171725792281	22.761608711299207	114.42211 22.758964	汽车服务	充电站	充电站
依威能源汽车充电站(金溪湾)	汽车服务;充电站;充电站	011100	大亚湾西区街道石化大道樟树埔地段	4001800910	广东省	惠州市	惠阳区	114.423846	22.747472	114.4189117969134	22.750121906605173	114.423846 22.747472	汽车服务	充电站	充电站
地上铁租车汽车充电站(惠州大亚湾宜佳充电站)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山一路54号	[]	广东省	惠州市	惠阳区	114.424753	22.75577	114.41981961074804	22.75841823371532	114.424753 22.75577	汽车服务	充电站	充电站
云快充汽车充电站(惠州市德州城五六期充电站)	汽车服务;充电站;充电站	011100	大亚湾德州城五六期停车场内	4008288517	广东省	惠州市	惠阳区	114.42435	22.750061	114.419416374931	22.75271060591559	114.42435 22.750061	汽车服务	充电站	充电站
依威能源汽车充电站(骏禧园)	汽车服务;充电站;充电站	011100	龙海三路与龙山五路交汇处嘉霖骏禧	4001800910	广东省	惠州市	惠阳区	114.456227	22.727274	114.45136453383802	22.72998324763176	114.456227 22.727274	汽车服务	充电站	充电站
依威能源汽车充电站(秋谷林海)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山六路	4001800910	广东省	惠州市	惠阳区	114.45697	22.728491	114.45210955626746	22.731201586716	114.45697 22.728491	汽车服务	充电站	充电站
依威能源汽车充电站(夏日南庭二期)	汽车服务;充电站;充电站	011100	大亚湾西区街道龙山六路12号	4001800910	广东省	惠州市	惠阳区	114.465586	22.725674	114.46075137186423	22.72840621255209	114.465586 22.725674	汽车服务	充电站	充电站
依威能源汽车充电站(夏日南庭一期)	汽车服务;充电站;充电站	011100	龙海三路与龙山六路交汇处夏日南庭一期负一楼180-185号停车位	4001800910	广东省	惠州市	惠阳区	114.464921	22.726133	114.4600842852432	22.72886339842428	114.464921 22.726133	汽车服务	充电站	充电站
