name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
上砂充电站	汽车服务;充电站;充电站	011100	上砂镇光明路梅林村新楼段	[]	广东省	揭阳市	揭西县	115.70323	23.471491	115.69852345163017	23.47410197084013	115.70323 23.471491	汽车服务	充电站	充电站
上砂服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	上砂镇上砂服务区	[]	广东省	揭阳市	揭西县	115.693823	23.471494	115.68913009779205	23.47412037290712	115.693823 23.471494	汽车服务	充电站	充电站
广东交通集团汽车充电站(兴汕高速上砂北行)	汽车服务;充电站;充电站	011100	Ｓ１９梅汕高速与上砂服务区交叉口北约520米	[]	广东省	揭阳市	揭西县	115.697615	23.467603	115.6929166185062	23.47022325003943	115.697615 23.467603	汽车服务	充电站	充电站
劲桩汽车充电站(揭西新达源庄田)	汽车服务;充电站;充电站	011100	[]	[]	广东省	揭阳市	揭西县	115.774746	23.412695	115.7700384774868	23.41528460991507	115.774746 23.412695	汽车服务	充电站	充电站
广东电网揭阳惠来供电局葵潭供电所办公楼电动汽车充电站	汽车服务;充电站;充电站	011100	３３７省道与康德路交叉口东南约160米	[]	广东省	揭阳市	惠来县	115.986334	23.060695	115.98176755742575	23.063424406890924	115.986334 23.060695	汽车服务	充电站	充电站
揭阳东港服务区公共充电站	汽车服务;充电站;充电站	011100	东港服务区与东港立交交叉口东南80米	[]	广东省	揭阳市	惠来县	115.969977	22.968616	115.9654593937508	22.97143154338612	115.969977 22.968616	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	普宁供电局大池农场橡胶园门口	[]	广东省	揭阳市	普宁市	115.944235	23.352123	115.93974559328704	23.3548567708098	115.944235 23.352123	汽车服务	充电站	充电站
普侨汽车充电站	汽车服务;充电站;充电站	011100	普侨新兴村侨区大道中段	[]	广东省	揭阳市	普宁市	115.986585	23.334449	115.98200025995892	23.33708090325824	115.986585 23.334449	汽车服务	充电站	充电站
中国南方电网梅林营业厅汽车充电站	汽车服务;充电站;充电站	011100	梅葵路与梅林大道交叉口南200米	[]	广东省	揭阳市	普宁市	115.9933	23.241086	115.9887024250222	23.243724478209025	115.9933 23.241086	汽车服务	充电站	充电站
云快充汽车充电站(正能新能源充电站)	汽车服务;充电站;充电站	011100	普侨区侨区大道中段	4008288517	广东省	揭阳市	普宁市	115.985631	23.334121	115.98104892387836	23.3367557987514	115.985631 23.334121	汽车服务	充电站	充电站
星星汽车充电站(揭西公交站)	汽车服务;充电站;充电站	011100	霖都大道与环城东路交叉口东北320米	[]	广东省	揭阳市	揭西县	115.855451	23.447178	115.85091607717192	23.449894910058216	115.855451 23.447178	汽车服务	充电站	充电站
广东电网充电站(揭西县政务服务中心)	汽车服务;充电站;充电站	011100	河婆街道揭西县政务服务中心	[]	广东省	揭阳市	揭西县	115.856838	23.445959	115.85230611878832	23.448678238504726	115.856838 23.445959	汽车服务	充电站	充电站
星星充电汽车充电站(站揭西总站)	汽车服务;充电站;充电站	011100	河婆街道揭阳市道路运输车辆综合性能第二检测站	4008280768	广东省	揭阳市	揭西县	115.855525	23.447788	115.8509901971374	23.45050496543388	115.855525 23.447788	汽车服务	充电站	充电站
坪上服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	坪上镇坪上服务区内	[]	广东省	揭阳市	揭西县	115.922751	23.41225	115.91828111282236	23.415002865965043	115.922751 23.41225	汽车服务	充电站	充电站
广东电网充电站(好日子广场)	汽车服务;充电站;充电站	011100	特美思大道	[]	广东省	揭阳市	揭西县	115.851185	23.428766	115.8466418863176	23.431478018878387	115.851185 23.428766	汽车服务	充电站	充电站
广东军誉新能源电动汽车充电站充电桩	汽车服务;充电站;充电站	011100	河婆镇北环一路苏屋楼路口	[]	广东省	揭阳市	揭西县	115.840198	23.438072	115.83562869544694	23.440763463519698	115.840198 23.438072	汽车服务	充电站	充电站
广东军誉新能源汽车	汽车服务;充电站;充电站	011100	灰寨大道G235罗马柱家私城	13760577321;18026096821	广东省	揭阳市	揭西县	116.009757	23.490689	116.00509629963976	23.4932283128965	116.009757 23.490689	汽车服务	充电站	充电站
广东军誉新能源汽车充电站(灰寨店)	汽车服务;充电站;充电站	011100	G235(顺兴家具东侧约170米)	[]	广东省	揭阳市	揭西县	116.009585	23.490428	116.004924802316	23.49296784066572	116.009585 23.490428	汽车服务	充电站	充电站
劲桩汽车充电站(揭西新达源金福来)	汽车服务;充电站;充电站	011100	五云大道b9楼金福来酒店门口停车场	4006300630	广东省	揭阳市	揭西县	115.779625	23.403822	115.77492506852872	23.40641771957189	115.779625 23.403822	汽车服务	充电站	充电站
