name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
铭都新能源充电站	汽车服务;充电站;充电站	011100	安流镇福江村龙头应169号	13411244315	广东省	梅州市	五华县	115.682306	23.688813	115.67761774739428	23.6914743520176	115.682306 23.688813	汽车服务	充电站	充电站
金源旅馆充电站	汽车服务;充电站;充电站	011100	龙村镇金源旅馆充电桩	13411257922	广东省	梅州市	五华县	115.545795	23.560716	115.54113775454096	23.56341383474474	115.545795 23.560716	汽车服务	充电站	充电站
华新汽车充电站	汽车服务;充电站;充电站	011100	华阳高速路口华新加油站分站侧边	[]	广东省	梅州市	五华县	115.517871	23.614954	115.51312727451604	23.61758383898988	115.517871 23.614954	汽车服务	充电站	充电站
五华安流顺能充电站	汽车服务;充电站;充电站	011100	顺意修配	[]	广东省	梅州市	五华县	115.681243	23.718317	115.67655463564584	23.720986661377665	115.681243 23.718317	汽车服务	充电站	充电站
长建充电站(建设中)	汽车服务;充电站;充电站	011100	鹿坑水库径口1号	[]	广东省	梅州市	五华县	115.705621	23.664904	115.70089859504998	23.667521146688347	115.705621 23.664904	汽车服务	充电站	充电站
安流镇355国道鸿福饭店快充充电站	汽车服务;充电站;充电站	011100	安流镇万塘村鸿福饭店	13670866553	广东省	梅州市	五华县	115.677763	23.713299	115.673081020915	23.715974085176544	115.677763 23.713299	汽车服务	充电站	充电站
国家电网汽车充电站	汽车服务;充电站;充电站	011100	锡坑加油站正对面	[]	广东省	梅州市	五华县	115.724379	23.807632	115.71962847613548	23.81026138114424	115.724379 23.807632	汽车服务	充电站	充电站
广东天路汽车充电站(汕湛高速棉洋西行)	汽车服务;充电站;充电站	011100	棉洋镇棉洋服务区	4000053636	广东省	梅州市	五华县	115.654838	23.597151	115.65020359773284	23.5998508073743	115.654838 23.597151	汽车服务	充电站	充电站
小桔充电汽车充电站(梅州五华龙村镇充电站)	汽车服务;充电站;充电站	011100	龙村镇003县道中国海油五华县龙村镇金龙加油站	18128788172	广东省	梅州市	五华县	115.544959	23.557188	115.54029983271673	23.559883849632254	115.544959 23.557188	汽车服务	充电站	充电站
柏乡服务区上广通交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	汕湛高速棉洋服务区内	[]	广东省	梅州市	五华县	115.653422	23.595477	115.64879004437286	23.598179189814243	115.653422 23.595477	汽车服务	充电站	充电站
