name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
富诚快充站	汽车服务;充电站;充电站	011100	陈沙公路鸿景大厦右侧	[]	广东省	汕头市	潮南区	116.309719	23.241896	116.30513773464403	23.244451361507416	116.309719 23.241896	汽车服务	充电站	充电站
富诚汕头潮南充电站	汽车服务;充电站;充电站	011100	两英中兴路6号	[]	广东省	汕头市	潮南区	116.359487	23.221797	116.35481725413965	23.22426895133069	116.359487 23.221797	汽车服务	充电站	充电站
华力电动车充电站	汽车服务;充电站;充电站	011100	陈店沟湖治安岗	0754-86693698	广东省	汕头市	潮南区	116.315245	23.278595	116.3106515289862	23.28112886755397	116.315245 23.278595	汽车服务	充电站	充电站
快来充汽车充电站(汕头市潮南区融易行)	汽车服务;充电站;充电站	011100	陈店镇广汕公路陈围路段48号	[]	广东省	汕头市	潮南区	116.328241	23.267883	116.32362391615668	23.270395550348987	116.328241 23.267883	汽车服务	充电站	充电站
快来充汽车充电站(汕头市潮南区融易行陈店安兴车行)	汽车服务;充电站;充电站	011100	陈店镇广汕公路陈围路段44-48号安兴车行陈店店	13353088938	广东省	汕头市	潮南区	116.328173	23.267896	116.32355604462568	23.27040867622386	116.328173 23.267896	汽车服务	充电站	充电站
云快充汽车充电站(汕头市潮南区龙岭充电站)	汽车服务;充电站;充电站	011100	两英镇龙岭工业区顺发液化石油气有限公司门口左侧	4008288517	广东省	汕头市	潮南区	116.3669	23.200732	116.36222103977607	23.203200790416435	116.3669 23.200732	汽车服务	充电站	充电站
快来充汽车充电站(聚马飞腾潮南新能源2号)	汽车服务;充电站;充电站	011100	峡安路西100米	4008809072	广东省	汕头市	潮南区	116.438044	23.233914	116.4333714867295	23.23637476381569	116.438044 23.233914	汽车服务	充电站	充电站
泰盛大厦充电站	汽车服务;充电站;充电站	011100	胪岗镇新泰盛大厦	4000610999	广东省	汕头市	潮南区	116.447995	23.240552	116.4433413379595	23.2430282715066	116.447995 23.240552	汽车服务	充电站	充电站
玲姐新能源快速充电站(峡安路店)	汽车服务;充电站;充电站	011100	胪岗镇溪尾周村峡安路玲姐食品商行旁	4008288517	广东省	汕头市	潮南区	116.442502	23.221494	116.43783843566284	23.2239664542362	116.442502 23.221494	汽车服务	充电站	充电站
快来充汽车充电站(聚马飞腾潮南新能源1号)	汽车服务;充电站;充电站	011100	四海工业城(广汕公路北)	4008809072	广东省	汕头市	潮南区	116.451193	23.245618	116.44654604125618	23.24809910377517	116.451193 23.245618	汽车服务	充电站	充电站
