name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
星星充电深圳汕尾海丰新东饭店电动汽车充电站	汽车服务;充电站;充电站	011100	深汕大道鲘门段	4008280768	广东省	汕尾市	海丰县	115.130746	22.81244	115.12583395119177	22.815074145405383	115.130746 22.81244	汽车服务	充电站	充电站
星星充电汽车充电站(蔚来能源深圳汕尾海丰新东饭店直流)	汽车服务;充电站;充电站	011100	鲘门互通与Ｇ１５沈海高速交叉口北约180米	[]	广东省	汕尾市	海丰县	115.130854	22.81238	115.12594208364769	22.815014301833173	115.130854 22.81238	汽车服务	充电站	充电站
蔚来能源汽车充电站(蔚来目充站汕尾保利希尔顿逸林酒店)	汽车服务;充电站;充电站	011100	保利希尔顿逸林酒店停车场	[]	广东省	汕尾市	城区	115.29568	22.793361	115.2908852123161	22.79612725756493	115.29568 22.793361	汽车服务	充电站	充电站
碣石充电站	汽车服务;充电站;充电站	011100	碣石镇第三人民医院往前50米	15915333693	广东省	汕尾市	陆丰市	115.850531	22.837648	115.84602405688358	22.84056662756945	115.850531 22.837648	汽车服务	充电站	充电站
桂兴新能源汽车充电站	汽车服务;充电站;充电站	011100	网红路十字路口	15976764634	广东省	汕尾市	陆丰市	115.824499	22.825869	115.8199305809764	22.828744211805684	115.824499 22.825869	汽车服务	充电站	充电站
瑞瑞新能源汽车充电站	汽车服务;充电站;充电站	011100	[]	0660-3379000	广东省	汕尾市	城区	115.392936	22.812412	115.38797906040864	22.815024243500226	115.392936 22.812412	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	011100	海滨路129号	[]	广东省	汕尾市	城区	115.358344	22.769318	115.35342802055456	22.771980668974567	115.358344 22.769318	汽车服务	充电站	充电站
汕尾市碣石潮丰充电站	汽车服务;充电站;充电站	011100	迎恩路与南园路交叉口西南约20米	[]	广东省	汕尾市	陆丰市	115.825645	22.820734	115.82107970544388	22.823613275756376	115.825645 22.820734	汽车服务	充电站	充电站
瑞瑞新能源汽车充电站	汽车服务;充电站;充电站	011100	S242(汕尾大道)	[]	广东省	汕尾市	城区	115.392939	22.812293	115.38798206702234	22.814905285289925	115.392939 22.812293	汽车服务	充电站	充电站
汕美充电站	汽车服务;充电站;充电站	011100	汕尾大道南中国石化加油站(汕美站)西南侧	[]	广东省	汕尾市	城区	115.378209	22.786889	115.3732644485298	22.789520370321416	115.378209 22.786889	汽车服务	充电站	充电站
星星充电站	汽车服务;充电站;充电站	011100	汕尾大道南(汕尾粤运总站停车场左侧)	[]	广东省	汕尾市	城区	115.381331	22.791892	115.37638308799572	22.794518809054285	115.381331 22.791892	汽车服务	充电站	充电站
