name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
大槐服务区电动汽车充电站	汽车服务;充电站;充电站	011100	大槐服务区	[]	广东省	江门市	恩平市	112.220697	22.069917	112.21557712521786	22.07267623853593	112.220697 22.069917	汽车服务	充电站	充电站
大槐服务区中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	大槐服务区广州方向	[]	广东省	江门市	恩平市	112.224851	22.067576	112.21973630137146	22.07033826834281	112.224851 22.067576	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	槐中路与兴旺街交叉口东280米	[]	广东省	江门市	恩平市	112.234629	22.097866	112.2295217379172	22.100648696376563	112.234629 22.097866	汽车服务	充电站	充电站
云快充充电站(帝比站)	汽车服务;充电站;充电站	011100	恩城街道恩洲工业大道南27号(帝玛音响)	4008288517	广东省	江门市	恩平市	112.293942	22.154904	112.2888067848043	22.15767959785577	112.293942 22.154904	汽车服务	充电站	充电站
广东电网充电站(横陂供电所营业厅)	汽车服务;充电站;充电站	011100	横陂镇东湖路56号	[]	广东省	江门市	恩平市	112.331661	22.039412	112.32646527138502	22.04207157701289	112.331661 22.039412	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	育英街7号附近	[]	广东省	江门市	恩平市	112.318374	22.184602	112.31319488934116	22.18734707171117	112.318374 22.184602	汽车服务	充电站	充电站
电动汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	江门市	恩平市	112.336715	22.196587	112.33149953036984	22.19930156124636	112.336715 22.196587	汽车服务	充电站	充电站
广东电网恩平供电局电动汽车充电站	汽车服务;充电站;充电站	011100	锦江大道中路1号恩平供电局机关大楼外	[]	广东省	江门市	恩平市	112.33489	22.198823	112.32967791834515	22.20154178969008	112.33489 22.198823	汽车服务	充电站	充电站
南方电网充电站(江门市恩平恩城营业厅)	汽车服务;充电站;充电站	011100	新平中路64号恩城营业厅停车场	[]	广东省	江门市	恩平市	112.312552	22.186603	112.30738368470988	22.189359541464608	112.312552 22.186603	汽车服务	充电站	充电站
中国南方电网电动汽车充电站(北陡站)	汽车服务;充电站;充电站	011100	紫云路北陡镇人民政府东侧约230米	[]	广东省	江门市	台山市	112.407397	21.871758	112.40212647068452	21.87425472722827	112.407397 21.871758	汽车服务	充电站	充电站
特斯拉充电站(山泉湾温泉酒店站)	汽车服务;充电站;充电站	011100	大田镇朗底温泉街1号山泉湾温泉酒店B1层停车场	[]	广东省	江门市	恩平市	112.230648	22.329943	112.22552283425124	22.33280000406185	112.230648 22.329943	汽车服务	充电站	充电站
良西服务区电动汽车充电站	汽车服务;充电站;充电站	011100		[]	广东省	江门市	恩平市	112.336628	22.355243	112.3314026023853	22.3580007770167	112.336628 22.355243	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	011100	圣龙街25号	13822342769	广东省	江门市	恩平市	112.392713	22.288261	112.38741680059653	22.290930583109155	112.392713 22.288261	汽车服务	充电站	充电站
广东电网充电站(牛江营业厅)	汽车服务;充电站;充电站	011100	牛江镇江城大道	[]	广东省	江门市	恩平市	112.386718	22.358261	112.38142041818634	22.3609490742918	112.386718 22.358261	汽车服务	充电站	充电站
绿箭新能源开阳圣堂充电站	汽车服务;充电站;充电站	011100	圣堂镇369省道(新力汽车修理厂旁)	[]	广东省	江门市	恩平市	112.383678	22.300255	112.37838630479273	22.30293293666733	112.383678 22.300255	汽车服务	充电站	充电站
恩平鹏城堡充电站	汽车服务;充电站;充电站	011100	恩城街道广南线鹏城堡汽贸(华侨城南侧约150米)	[]	广东省	江门市	恩平市	112.349145	22.221968	112.34390471571837	22.2246686382218	112.349145 22.221968	汽车服务	充电站	充电站
中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	大沙镇政府侧	[]	广东省	江门市	开平市	112.355872	22.513483	112.35060144756255	22.51621902608121	112.355872 22.513483	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	东兴路湖锦园酒店对面	[]	广东省	江门市	恩平市	112.449236	22.388494	112.44398495366488	22.39123058813538	112.449236 22.388494	汽车服务	充电站	充电站
国顺汽车充电站(大沙站)	汽车服务;充电站;充电站	011100	大沙客运站	[]	广东省	江门市	开平市	112.356446	22.516242	112.35117432304985	22.51897702573228	112.356446 22.516242	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园江门恩平9座)	汽车服务;充电站;充电站	011100	温泉路28号香泉凤舞十六街9座对面停车场碧桂园江门恩平9座	4001800910	广东省	江门市	恩平市	112.29866	22.206045	112.2935143913454	22.2088321523194	112.29866 22.206045	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园江门恩平7座)	汽车服务;充电站;充电站	011100	温泉路28号香泉凤舞三街7至8座对面停车场碧桂园江门恩平7座	4001800910	广东省	江门市	恩平市	112.297549	22.202722	112.292405341643	22.205509745323155	112.297549 22.202722	汽车服务	充电站	充电站
小桔充电汽车充电站(江门市恩平碧桂园鳌峰鸣翠苑充电站)	汽车服务;充电站;充电站	011100	鳌峰鸣翠苑	4000610999	广东省	江门市	恩平市	112.300037	22.201437	112.29488948263092	22.20422035762997	112.300037 22.201437	汽车服务	充电站	充电站
顺易充汽车充电站(江门市恩平沙湖镇陶瓷工业园六古头商业城)	汽车服务;充电站;充电站	011100	沙湖镇六古头村商业城美食街	[]	广东省	江门市	恩平市	112.480358	22.347686	112.4751923690273	22.35049346652536	112.480358 22.347686	汽车服务	充电站	充电站
