name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
义容汽车站汽车充电站	汽车服务;充电站;充电站	011100	义容汽车站内	[]	广东省	河源市	紫金县	114.831502	23.519831	114.82687584764948	23.52250902279384	114.831502 23.519831	汽车服务	充电站	充电站
鼎天汽车充电站	汽车服务;充电站;充电站	011100	３４０省道与３４９乡道交叉口东南约60米	[]	广东省	河源市	紫金县	114.83551	23.515417	114.83089199601838	23.51810262122149	114.83551 23.515417	汽车服务	充电站	充电站
云快充汽车充电站(快来用车义容充电站)	汽车服务;充电站;充电站	011100	义容镇客运站内	4008288517	广东省	河源市	紫金县	114.83608	23.515086	114.83146312775446	23.51777269264575	114.83608 23.515086	汽车服务	充电站	充电站
九和镇幸福村汽车充电站	汽车服务;充电站;充电站	011100	九和镇幸福村	4008288517	广东省	河源市	紫金县	115.103707	23.451046	115.09873454483774	23.4534401663452	115.103707 23.451046	汽车服务	充电站	充电站
蓝塘新能源汽车充电站	汽车服务;充电站;充电站	011100	蓝塘镇蓝塘大道国税局侧	[]	广东省	河源市	紫金县	114.942932	23.4197	114.93834984913616	23.42243194371416	114.942932 23.4197	汽车服务	充电站	充电站
紫金南方电网充电站	汽车服务;充电站;充电站	011100	沿江路松柏·雍和园东北侧约270米	[]	广东省	河源市	紫金县	114.927543	23.41225	114.92298815977266	23.415005742120147	114.927543 23.41225	汽车服务	充电站	充电站
鼎天汽车充电站	汽车服务;充电站;充电站	011100	蓝塘镇蓝塘村委会凤凰25号之一	0762-3989588	广东省	河源市	紫金县	114.946284	23.424096	114.94169432307916	23.4268211193686	114.946284 23.424096	汽车服务	充电站	充电站
特斯拉充电站(河源春沐源小镇棕榈树酒店新国标)	汽车服务;充电站;充电站	011100	春沐源大道棕榈树酒店地下停车场	[]	广东省	河源市	源城区	114.595942	23.62658	114.59139199623704	23.629350627561184	114.595942 23.62658	汽车服务	充电站	充电站
小桔充电汽车充电站(河源源城埔前坪围村村委会充电站)	汽车服务;充电站;充电站	011100	埔前镇坪围村村委会	18128788172	广东省	河源市	源城区	114.591982	23.568259	114.58743421545668	23.571023746856977	114.591982 23.568259	汽车服务	充电站	充电站
特来电充电站	汽车服务;充电站;充电站	011100	科技三路	4008288517;18927048377	广东省	河源市	源城区	114.672773	23.652747	114.66813076579864	23.655428113615976	114.672773 23.652747	汽车服务	充电站	充电站
高新区深河新能源充电站	汽车服务;充电站;充电站	011100	高新技术开发区	[]	广东省	河源市	源城区	114.656307	23.625701	114.65169845963236	23.628409253379864	114.656307 23.625701	汽车服务	充电站	充电站
蔚景云汽车充电站(高新区深河新能源)	汽车服务;充电站;充电站	011100	河源市高新技术开发区公交场站	[]	广东省	河源市	源城区	114.656341	23.625439	114.65173241319194	23.628147159112075	114.656341 23.625439	汽车服务	充电站	充电站
蔚景云充电站(高新区深河新能源站)	汽车服务;充电站;充电站	011100	埔前镇高新区深河新能源公交枢纽站	[]	广东省	河源市	源城区	114.649794	23.619731	114.64519760296434	23.622450052258447	114.649794 23.619731	汽车服务	充电站	充电站
广东省河源市高新技术开发区深河新能源汽车充电站	汽车服务;充电站;充电站	011100	河源市高新技术开发区公交场站	[]	广东省	河源市	源城区	114.656341	23.62576	114.65173239263252	23.628468199039418	114.656341 23.62576	汽车服务	充电站	充电站
小桔充电汽车充电站(河源源城埔前高埔村充电站)	汽车服务;充电站;充电站	011100	河埔大道341号	[]	广东省	河源市	源城区	114.653791	23.637579	114.64918632856391	23.64029334187317	114.653791 23.637579	汽车服务	充电站	充电站
龙岭充电场站深河新能源	汽车服务;充电站;充电站	011100	龙岭一路东晖实验学校北侧约140米	[]	广东省	河源市	源城区	114.622735	23.602611	114.61817711216516	23.60536608440432	114.622735 23.602611	汽车服务	充电站	充电站
广东电网粤易充汽车充电站	汽车服务;充电站;充电站	011100	河埔大道中176号	[]	广东省	河源市	源城区	114.659771	23.652554	114.65515421571952	23.655259681289404	114.659771 23.652554	汽车服务	充电站	充电站
小桔充电汽车充电站(源城工业区河埔大道充电站)	汽车服务;充电站;充电站	011100	[]	[]	广东省	河源市	源城区	114.650158	23.633516	114.64556008421124	23.636236157559253	114.650158 23.633516	汽车服务	充电站	充电站
充电站	汽车服务;充电站;充电站	011100	车友族汽车美容服务中心左侧	[]	广东省	河源市	源城区	114.611606	23.564821	114.60705834314808	23.5675822197637	114.611606 23.564821	汽车服务	充电站	充电站
特斯拉超级充电站(河源客天下旅游度假区)	汽车服务;充电站;充电站	011100	客天下路1号	[]	广东省	河源市	源城区	114.631845	23.628392	114.6272754285922	23.63113948231588	114.631845 23.628392	汽车服务	充电站	充电站
蔚来目的地充电站(河源客天下国际大酒店)	汽车服务;充电站;充电站	011100	高埔岗街道龙腾阁客天下国际旅游度假区	[]	广东省	河源市	源城区	114.630801	23.629438	114.62623266291666	23.63218695179531	114.630801 23.629438	汽车服务	充电站	充电站
蔚景云汽车充电站(龙岭工业园深河新能源)	汽车服务;充电站;充电站	011100	埔前镇龙岭一路7号	[]	广东省	河源市	源城区	114.622708	23.602404	114.61815015048758	23.60515909155924	114.622708 23.602404	汽车服务	充电站	充电站
鼎天古竹汽车充电站	汽车服务;充电站;充电站	011100	古竹镇青仔河鲜酒楼	[]	广东省	河源市	紫金县	114.699441	23.539505	114.69475565631188	23.54212797753869	114.699441 23.539505	汽车服务	充电站	充电站
亿达十里东岸充电站	汽车服务;充电站;充电站	011100	G355(迎客大道)	[]	广东省	河源市	紫金县	114.707179	23.690796	114.7024713605712	23.69342379344815	114.707179 23.690796	汽车服务	充电站	充电站
小桔充电汽车充电站(河源万绿湖景区充电站)	汽车服务;充电站;充电站	011100	万绿湖景区停车场	[]	广东省	河源市	东源县	114.632072	23.773995	114.62749283577324	23.77677288613491	114.632072 23.773995	汽车服务	充电站	充电站
永发比亚迪120kw充电站	汽车服务;充电站;充电站	011100	永发比亚迪新能源	[]	广东省	河源市	源城区	114.695836	23.710633	114.69114585534489	23.713282864698275	114.695836 23.710633	汽车服务	充电站	充电站
特来电(威尼斯湾)汽车充电站	汽车服务;充电站;充电站	011100	威尼斯湾宝源一路	18927048377	广东省	河源市	源城区	114.688368	23.724723	114.6836906512746	23.72738918566265	114.688368 23.724723	汽车服务	充电站	充电站
小桔充电汽车充电站(源城区河源大道南充电站)	汽车服务;充电站;充电站	011100	超凡家具	4000610999	广东省	河源市	源城区	114.695191	23.705742	114.69050232092695	23.708391881646858	114.695191 23.705742	汽车服务	充电站	充电站
云快充汽车充电站(邦达新村)	汽车服务;充电站;充电站	011100	源南镇河紫路社区河义路(邦达新村)	4008288517	广东省	河源市	源城区	114.708354	23.727451	114.70364220594293	23.730085216191444	114.708354 23.727451	汽车服务	充电站	充电站
广东电网充电站(新丰江酒店)	汽车服务;充电站;充电站	011100	新江三路新丰江酒店停车场内	[]	广东省	河源市	源城区	114.670898	23.726365	114.66625474029064	23.72906436040482	114.670898 23.726365	汽车服务	充电站	充电站
云快充汽车充电站(裕兴花园)	汽车服务;充电站;充电站	011100	裕兴花园	4008288517	广东省	河源市	源城区	114.6959	23.753269	114.69120697382188	23.75592921243324	114.6959 23.753269	汽车服务	充电站	充电站
