name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
汽车充电站(海运大厦)	汽车服务;充电站;充电站	011100	蛇口赤湾右炮台路6号海运大厦地面停车场西向东第1到第6个车位	4008206925	广东省	深圳市	南山区	113.883376	22.46557	113.87849495257876	22.468617394906875	113.883376 22.46557	汽车服务	充电站	充电站
汽车充电站(海景公寓)	汽车服务;充电站;充电站	011100	赤湾四路54号海景公寓地面停车场001-012车位	4008206925	广东省	深圳市	南山区	113.884043	22.478603	113.8791621322261	22.48165123960896	113.884043 22.478603	汽车服务	充电站	充电站
宝马充电站(宝马站荔山工业园)	汽车服务;充电站;充电站	011100	前海路与沿山路交界处,22路公交总站内	[]	广东省	深圳市	南山区	113.882725	22.491152	113.87784134252604	22.49419935086844	113.882725 22.491152	汽车服务	充电站	充电站
比亚迪汽车充电站(八号路)	汽车服务;充电站;充电站	011100	八号路与港城路交叉口西南100米	[]	广东省	深圳市	南山区	113.886407	22.508921	113.88152762406597	22.51197079795493	113.886407 22.508921	汽车服务	充电站	充电站
特来电充电站(深圳万豪御景苑)	汽车服务;充电站;充电站	011100	兴海大道2018号	[]	广东省	深圳市	南山区	113.892007	22.487756	113.88713609181936	22.49080897773599	113.892007 22.487756	汽车服务	充电站	充电站
利民易充汽车充电站	汽车服务;充电站;充电站	011100	佳兆业山海美域2栋B2层C区停车场	[]	广东省	深圳市	南山区	113.886947	22.494553	113.8820692770242	22.497603331679947	113.886947 22.494553	汽车服务	充电站	充电站
比亚迪汽车充电站(山海美域)	汽车服务;充电站;充电站	011100	前海路9号	[]	广东省	深圳市	南山区	113.887094	22.493828	113.8822165236693	22.49687842547229	113.887094 22.493828	汽车服务	充电站	充电站
马湾电厂汽车充电站(妈湾电厂充电站)	汽车服务;充电站;充电站	011100	招商街道右炮台路	[]	广东省	深圳市	南山区	113.879988	22.474456	113.8751010294674	22.47750085463981	113.879988 22.474456	汽车服务	充电站	充电站
荔山工业区万冲充电站	汽车服务;充电站;充电站	011100	南山街道月亮湾沿山路荔山工业园旁	4000850006	广东省	深圳市	南山区	113.893769	22.492641	113.8888997465254	22.49569466644772	113.893769 22.492641	汽车服务	充电站	充电站
一能充电站(汉京湾雅居)	汽车服务;充电站;充电站	011100	港前路39号汉京湾雅居旁	[]	广东省	深圳市	南山区	113.892509	22.497716	113.8876380367377	22.5007691718461	113.892509 22.497716	汽车服务	充电站	充电站
汽车充电站(汉京湾雅居小区)	汽车服务;充电站;充电站	011100	港前路39号汉京湾雅居小区地下停车场负二层B096,B106,B077-B042车位	4008206925	广东省	深圳市	南山区	113.892681	22.497826	113.88781022363814	22.50087923926302	113.892681 22.497826	汽车服务	充电站	充电站
特来电充电站(深圳宝创南山)	汽车服务;充电站;充电站	011100	月亮湾大道港城路与十号路交汇处	[]	广东省	深圳市	南山区	113.888984	22.508229	113.88410811633838	22.51128034840313	113.888984 22.508229	汽车服务	充电站	充电站
依威能源汽车充电站(荔山工业园)	汽车服务;充电站;充电站	011100	沿山路63号荔山工业园	4001800910	广东省	深圳市	南山区	113.894852	22.492399	113.88998389983406	22.49545301919801	113.894852 22.492399	汽车服务	充电站	充电站
依威能源汽车充电站(汉京半山公馆)	汽车服务;充电站;充电站	011100	南山街道妈湾二路2018号	4001800910	广东省	深圳市	南山区	113.89237	22.48691	113.88749956072682	22.489963122893457	113.89237 22.48691	汽车服务	充电站	充电站
充电易科技充电站(香格名苑负二楼停车场)	汽车服务;充电站;充电站	011100	前海路与棉山路交汇处香格名苑负二楼停车场	[]	广东省	深圳市	南山区	113.884862	22.491978	113.87998149379324	22.49502694795609	113.884862 22.491978	汽车服务	充电站	充电站
充电易科技充电站(前海海运中心站)	汽车服务;充电站;充电站	011100	临海大道59号海运中心负一楼	[]	广东省	深圳市	南山区	113.880974	22.500509	113.87608699079118	22.50355486454024	113.880974 22.500509	汽车服务	充电站	充电站
云快充汽车充电站(深圳市赤湾鼎海科创港)	汽车服务;充电站;充电站	011100	少帝路1号	4008288517	广东省	深圳市	南山区	113.89343	22.484426	113.8885608975834	22.48747950991779	113.89343 22.484426	汽车服务	充电站	充电站
云快充汽车充电站(前海信利康大厦地下停车场)	汽车服务;充电站;充电站	011100	前海信利康大厦(铁路公园地铁站D口步行310米)	4008288517	广东省	深圳市	南山区	113.888291	22.50086	113.8834146817652	22.50391108680899	113.888291 22.50086	汽车服务	充电站	充电站
汽车充电站(开迈斯充电站深圳市南山集悦城荔山直流站)	汽车服务;充电站;充电站	011100	缘山路63号集悦城荔山	4006657666	广东省	深圳市	南山区	113.893423	22.489685	113.88855355834494	22.49273854088033	113.893423 22.489685	汽车服务	充电站	充电站
万马爱充充电站(深圳国际会展中心)	汽车服务;充电站;充电站	011100	展城路深圳国际会展中心	[]	广东省	深圳市	宝安区	113.774949	22.696004	113.76980352487892	22.698859390184687	113.774949 22.696004	汽车服务	充电站	充电站
充电有道(机场快充站)	汽车服务;充电站;充电站	011100	宝安机场领航二路88号	[]	广东省	深圳市	宝安区	113.820001	22.606139	113.8149621452836	22.60907968672324	113.820001 22.606139	汽车服务	充电站	充电站
深圳机场智电充电站	汽车服务;充电站;充电站	011100	领航四路P4停车场	4006699082	广东省	深圳市	宝安区	113.818766	22.609268	113.81372365841104	22.612205911265264	113.818766 22.609268	汽车服务	充电站	充电站
汽车充电站(比亚迪宝安机场电动汽车)	汽车服务;充电站;充电站	011100	福永街道机场南路与领航四路交叉处东南角(出租车蓄车场内)园区	4000838866	广东省	深圳市	宝安区	113.820274	22.606256	113.8152358655628	22.60919717973437	113.820274 22.606256	汽车服务	充电站	充电站
南方电网汽车充电站(宝安西湾红树林公园1号地下车库)	汽车服务;充电站;充电站	011100	宝安区西湾红树林公园1号地下车库	[]	广东省	深圳市	宝安区	113.833774	22.598128	113.8287727210458	22.601095843807844	113.833774 22.598128	汽车服务	充电站	充电站
