name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
依威能源汽车充电站(碧桂园清远假日半岛鸟语花香会所)	汽车服务;充电站;充电站	011100	石角镇碧桂园半岛鸟语花香会所碧桂园清远假日半岛鸟语花香会所	4001800910	广东省	清远市	清城区	113.05255	23.471176	113.04709079176511	23.47362966628303	113.05255 23.471176	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园清远假日半岛映月湾40街)	汽车服务;充电站;充电站	011100	石角镇碧桂园半岛映月湾40街	4001800910	广东省	清远市	清城区	113.042281	23.479883	113.03684789230144	23.4823581807146	113.042281 23.479883	汽车服务	充电站	充电站
依威能源汽车充电站(美林湖贝沙湾)	汽车服务;充电站;充电站	011100	美林湖大道附近美林湖贝沙湾	[]	广东省	清远市	清城区	113.042033	23.489158	113.0365999508303	23.491633259904606	113.042033 23.489158	汽车服务	充电站	充电站
特来电充电站(清远假日半岛一期站)	汽车服务;充电站;充电站	011100	[]	[]	广东省	清远市	清城区	113.066798	23.485732	113.06130799156404	23.48816072807621	113.066798 23.485732	汽车服务	充电站	充电站
依威能源汽车充电站(美林湖美汇半岛)	汽车服务;充电站;充电站	011100	美林湖大道(美汇半岛西侧)	4001800910	广东省	清远市	清城区	113.056139	23.48983	113.05067016843412	23.492275750395542	113.056139 23.48983	汽车服务	充电站	充电站
依威能源汽车充电站(美林湖汇泉湾)	汽车服务;充电站;充电站	011100	美林湖国际社区美林湖汇泉湾旁	4001800910	广东省	清远市	清城区	113.038718	23.491441	113.0332942617666	23.49392405422472	113.038718 23.491441	汽车服务	充电站	充电站
依威能源汽车充电站(美林湖维景湾)	汽车服务;充电站;充电站	011100	石角镇美林湖维景湾	4001800910	广东省	清远市	清城区	113.062562	23.506984	113.0570784429502	23.509418196695872	113.062562 23.506984	汽车服务	充电站	充电站
特来电充电站(广东清远美林湖哥弟大酒店新能源车)	汽车服务;充电站;充电站	011100	石角镇美林湖国际社区大家元博爱小区哥弟大酒店地库	[]	广东省	清远市	清城区	113.03727	23.495884	113.03185020742312	23.4983704221816	113.03727 23.495884	汽车服务	充电站	充电站
小桔充电汽车充电站(清城区兴仁桥充电站)	汽车服务;充电站;充电站	011100	兴仁桥-道路	4000610999	广东省	清远市	清城区	113.003932	23.474725	112.99862501692358	23.477306637471383	113.003932 23.474725	汽车服务	充电站	充电站
依威能源汽车充电站(美林湖怡景湾)	汽车服务;充电站;充电站	011100	石角镇美林湖大道168号	4001800910	广东省	清远市	清城区	113.065477	23.514526	113.0599873869056	23.51695563894958	113.065477 23.514526	汽车服务	充电站	充电站
特来电充电站(金御广场)	汽车服务;充电站;充电站	011100	大地幼儿园	4001300001	广东省	清远市	清城区	112.995561	23.518237	112.99028101138148	23.520842345873177	112.995561 23.518237	汽车服务	充电站	充电站
龙湾停车区充电站	汽车服务;充电站;充电站	011100	S14汕湛高速与龙湾停车区交叉口西南400米	[]	广东省	清远市	清新区	112.897048	23.711714	112.89197137330744	23.714513030009307	112.897048 23.711714	汽车服务	充电站	充电站
龙湾停车区充电站	汽车服务;充电站;充电站	011100	S14汕湛高速与龙湾停车区交叉口南160米	[]	广东省	清远市	清新区	112.900244	23.712422	112.89516684857742	23.715221636319	112.900244 23.712422	汽车服务	充电站	充电站
清新区三坑镇安庆围公共汽车充电站	汽车服务;充电站;充电站	011100	三坑镇安庆村委会安庆围村靠清四公路旁	0763-5862308;18820586298	广东省	清远市	清新区	112.816604	23.611899	112.81143660660663	23.6145696998263	112.816604 23.611899	汽车服务	充电站	充电站
广东电网充电站(清远市清新供电局太平营业厅)	汽车服务;充电站;充电站	011100	354省道与369县道交叉口东南280米	[]	广东省	清远市	清新区	112.885981	23.670699	112.88090513473864	23.673484850743453	112.885981 23.670699	汽车服务	充电站	充电站
星星充电汽车充电站(运维自建-阿尔发埃德伟控汽车配件有限公司桩群)	汽车服务;充电站;充电站	011100	太平镇龙湾工业区A6	4008280768	广东省	清远市	清新区	112.889536	23.686563	112.88446030576554	23.68935395072806	112.889536 23.686563	汽车服务	充电站	充电站
特来电充电站(清远恒大酒店)	汽车服务;充电站;充电站	011100	G0421许广高速出口与G0421许广高速交叉口东460米	[]	广东省	清远市	清新区	112.917715	23.847056	112.91261761792332	23.84988934140353	112.917715 23.847056	汽车服务	充电站	充电站
广东电网充电站(清新供电局山塘营业厅)	汽车服务;充电站;充电站	011100	山塘镇平安二街1号	[]	广东省	清远市	清新区	112.951718	23.632937	112.94657124549464	23.635667527141344	112.951718 23.632937	汽车服务	充电站	充电站
