name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
电动汽车充电站	汽车服务;充电站;充电站	011100	207国道与690县道交叉口西北260米	[]	广东省	湛江市	雷州市	110.083166	20.560495	110.07870649203782	20.562803620687024	110.083166 20.560495	汽车服务	充电站	充电站
广东电网充电站(徐闻局下桥所)	汽车服务;充电站;充电站	011100	下桥镇207国道东下桥加油站南350米	[]	广东省	湛江市	徐闻县	110.123312	20.454105	110.11886652462626	20.45637731264763	110.123312 20.454105	汽车服务	充电站	充电站
覃斗星星汽车充电站	汽车服务;充电站;充电站	011100	覃斗镇海珠路02号	4008280768	广东省	湛江市	雷州市	109.907065	20.529633	109.90299162440746	20.532296562879047	109.907065 20.529633	汽车服务	充电站	充电站
徐闻迈陈镇汽车充电站	汽车服务;充电站;充电站	011100	迈陈镇环市路迈陈下村199号	13590018888	广东省	湛江市	徐闻县	109.996794	20.331834	109.9925471822144	20.334219874357856	109.996794 20.331834	汽车服务	充电站	充电站
中国南方电网龙门营业厅-充电站	汽车服务;充电站;充电站	011100	新建路龙门客运站西南侧	[]	广东省	湛江市	雷州市	110.021105	20.694615	110.01676317618607	20.69707744343363	110.021105 20.694615	汽车服务	充电站	充电站
中国南方电网汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	湛江市	雷州市	110.205673	20.798294	110.2013503445905	20.800796344347187	110.205673 20.798294	汽车服务	充电站	充电站
雷州市北和镇小飞充电站	汽车服务;充电站;充电站	011100	北和镇和家村71号	[]	广东省	湛江市	雷州市	109.861549	20.647403	109.85743516770992	20.650072031876327	109.861549 20.647403	汽车服务	充电站	充电站
军泊峰新能源平湖荔枝园汽车充电站	汽车服务;充电站;充电站	011100	龙门镇平湖村S290	18927671858	广东省	湛江市	雷州市	109.971298	20.669065	109.96711169035616	20.671668843665447	109.971298 20.669065	汽车服务	充电站	充电站
徐闻服务区电动汽车充电站	汽车服务;充电站;充电站	011100	G15沈海高速与徐闻服务区交叉口东南600米	[]	广东省	湛江市	徐闻县	110.139386	20.288428	110.13497031089186	20.29062312574453	110.139386 20.288428	汽车服务	充电站	充电站
徐闻服务区电动汽车充电站	汽车服务;充电站;充电站	011100	G15沈海高速与徐闻服务区交叉口西北320米	[]	广东省	湛江市	徐闻县	110.137604	20.28581	110.13318573636786	20.288000731019945	110.137604 20.28581	汽车服务	充电站	充电站
