name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
蔚景汽车充电站(富诚庵埠金润汽修快充站)	汽车服务;充电站;充电站	011100	登塘镇233省道	[]	广东省	潮州市	潮安区	116.436142	23.757099	116.43143164851443	23.75953615301949	116.436142 23.757099	汽车服务	充电站	充电站
旗山服务区充电站	汽车服务;充电站;充电站	011100	S11大潮高速与旗山服务区交叉口西南300米	[]	广东省	潮州市	饶平县	116.880027	23.758273	116.87555970847964	23.76104141153937	116.880027 23.758273	汽车服务	充电站	充电站
樟溪服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	Ｇ１５２３甬莞高速与樟溪服务区交叉口西南约340米	[]	广东省	潮州市	饶平县	116.806299	23.734137	116.80173604086782	23.736778803264656	116.806299 23.734137	汽车服务	充电站	充电站
樟溪服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	Ｇ１５２３甬莞高速与樟溪服务区交叉口东北约400米	4000053636	广东省	潮州市	饶平县	116.806926	23.732119	116.80236407320372	23.73476138523285	116.806926 23.732119	汽车服务	充电站	充电站
华隆充电站	汽车服务;充电站;充电站	011100	庵埠镇竹围	18520028960	广东省	潮州市	潮安区	116.680557	23.440402	116.67608681287628	23.4430474138791	116.680557 23.440402	汽车服务	充电站	充电站
蔚景汽车充电站(彩塘升业汽修快充站)	汽车服务;充电站;充电站	011100	彩塘镇新安大道196号	[]	广东省	潮州市	潮安区	116.658645	23.49229	116.6542228242352	23.494972707890863	116.658645 23.49229	汽车服务	充电站	充电站
广东电网充电站(潮安供电局彩塘营业厅)	汽车服务;充电站;充电站	011100	彩金路42附近	[]	广东省	潮州市	潮安区	116.654987	23.489517	116.65057323608764	23.49220649984008	116.654987 23.489517	汽车服务	充电站	充电站
众诚易电东瑞新能源充电站	汽车服务;充电站;充电站	011100	彩唐镇新潮汕公路和平村路段溪下路1号	[]	广东省	潮州市	潮安区	116.635006	23.502492	116.630631651451	23.505213219125427	116.635006 23.502492	汽车服务	充电站	充电站
富诚充电站(庵埠潮商科创园超充站)	汽车服务;充电站;充电站	011100	星辰街安盛花园东侧约50米	[]	广东省	潮州市	潮安区	116.68348	23.465777	116.67900135024011	23.46841448719247	116.68348 23.465777	汽车服务	充电站	充电站
广东电网充电站(潮安供电局庵埠营业厅)	汽车服务;充电站;充电站	011100	侨文路与桑浦街交叉口西南约100米	[]	广东省	潮州市	潮安区	116.675865	23.452042	116.67140511074946	23.454695065867888	116.675865 23.452042	汽车服务	充电站	充电站
广东电网充电站(潮安供电局东凤营业厅)	汽车服务;充电站;充电站	011100	东彩路	[]	广东省	潮州市	潮安区	116.671396	23.520646	116.66694225276078	23.52330384687838	116.671396 23.520646	汽车服务	充电站	充电站
东顺新能源汽车充电站(暂停营业)	汽车服务;充电站;充电站	011100	引韩北路与潮汕路交界	13827322117	广东省	潮州市	潮安区	116.641623	23.521668	116.63723517837748	23.524379071619585	116.641623 23.521668	汽车服务	充电站	充电站
汽车充电站(富诚庵埠金润汽修快充站)	汽车服务;充电站;充电站	011100	庵埠镇233省道	[]	广东省	潮州市	潮安区	116.658653	23.446161	116.65423377201232	23.448847222881536	116.658653 23.446161	汽车服务	充电站	充电站
富诚达化汽车充电站	汽车服务;充电站;充电站	011100	斗文村	[]	广东省	潮州市	潮安区	116.584991	23.559864	116.58065000226335	23.562609439481395	116.584991 23.559864	汽车服务	充电站	充电站
凤彩汽车充电站	汽车服务;充电站;充电站	011100	浮洋镇凤彩陈村汽车充电站	13600129876	广东省	潮州市	潮安区	116.596697	23.572323	116.59235686042211	23.57507265282004	116.596697 23.572323	汽车服务	充电站	充电站
蔚景汽车充电站(富诚高铁粤运快充站)	汽车服务;充电站;充电站	011100	浮洋镇站前北路粤运汽车客运站	[]	广东省	潮州市	潮安区	116.58738	23.542316	116.58304101614294	23.545062172104995	116.58738 23.542316	汽车服务	充电站	充电站
广东电网充电站(潮安浮洋供电所停车场)	汽车服务;充电站;充电站	011100	233省道与黄池路交叉口东南260米	[]	广东省	潮州市	潮安区	116.599228	23.568726	116.59488755298402	23.571475438984898	116.599228 23.568726	汽车服务	充电站	充电站
星星充电汽车充电站(广汽埃安)	汽车服务;充电站;充电站	011100	浮洋镇潮汕公路乌洋路段广汽埃安4S店	4008280768	广东省	潮州市	潮安区	116.598455	23.598318	116.59411286090383	23.60106955114863	116.598455 23.598318	汽车服务	充电站	充电站
蔚景汽车充电站(沙溪高铁快充站)	汽车服务;充电站;充电站	011100	沙溪镇潮州赣丰住宿	[]	广东省	潮州市	潮安区	116.592829	23.536688	116.5884913436599	23.5394359556101	116.592829 23.536688	汽车服务	充电站	充电站
富诚新能源共享充电桩(粤东)运营中心沙溪-高铁汽车充电站	汽车服务;充电站;充电站	011100	沙溪镇前陇路	[]	广东省	潮州市	潮安区	116.592945	23.53662	116.58860735247598	23.539367980061467	116.592945 23.53662	汽车服务	充电站	充电站
绿尔新能充电站潮州凤塘站	汽车服务;充电站;充电站	011100	凤塘镇和安村新风路柑园片	18807540000	广东省	潮州市	潮安区	116.549825	23.626752	116.54543433502552	23.62945586590041	116.549825 23.626752	汽车服务	充电站	充电站
广东电网充电站(凤塘供电所停车场)	汽车服务;充电站;充电站	011100	凤安路与新风路交叉口南600米	[]	广东省	潮州市	潮安区	116.564764	23.625728	116.56039981062618	23.62845811690657	116.564764 23.625728	汽车服务	充电站	充电站
