name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
富逸花园裕富通汽车充电站	汽车服务;充电站;充电站	011100	珠峰大道与764县道交叉口东北140米	15916218621	广东省	珠海市	斗门区	113.165404	22.143552	113.16004268158412	22.146245014221464	113.165404 22.143552	汽车服务	充电站	充电站
新能源汽车充电站	汽车服务;充电站;充电站	011100	平沙镇福泰花园10栋2单元极兔速递代理点	[]	广东省	珠海市	金湾区	113.18065	22.095898	113.17531999966272	22.09860015647911	113.18065 22.095898	汽车服务	充电站	充电站
驿充电充电站(高栏国码有限公司)	汽车服务;充电站;充电站	011100	南水镇珠海高栏港国际货柜码头停车场大院内	[]	广东省	珠海市	金湾区	113.237887	21.936672	113.23263941800676	21.939375885919187	113.237887 21.936672	汽车服务	充电站	充电站
电动汽车充电站	汽车服务;充电站;充电站	011100	临港一路与环港西路交叉口南520米	[]	广东省	珠海市	金湾区	113.225928	21.918299	113.22067442312418	21.92098623109356	113.225928 21.918299	汽车服务	充电站	充电站
驿充电汽车充电站(珠海高栏港货柜码头停车场免停车费)	汽车服务;充电站;充电站	011100	南水镇环岛西路高栏港国际货柜码头停车场大院内	4008129338	广东省	珠海市	金湾区	113.237653	21.936784	113.2324053219446	21.939487832742888	113.237653 21.936784	汽车服务	充电站	充电站
汇华物业安检中心汽车充电站	汽车服务;充电站;充电站	011100	环港西路高栏石化仓储区安检中心停车场	[]	广东省	珠海市	金湾区	113.226037	21.918188	113.22078351908198	21.92087527366896	113.226037 21.918188	汽车服务	充电站	充电站
珠海驿联汽车充电站(珠海高栏港货柜码头停车场免停车费)	汽车服务;充电站;充电站	011100	高栏港国际货柜码头停车场大院内	4008129338	广东省	珠海市	金湾区	113.237913	21.936736	113.23266542365748	21.93943992791076	113.237913 21.936736	汽车服务	充电站	充电站
小飞充电汽车充电站(中航通飞)	汽车服务;充电站;充电站	011100	航空纵一路中航通飞华南飞机工业有限公司	18376026705	广东省	珠海市	金湾区	113.37225	22.00417	113.36681772034004	22.00674031952884	113.37225 22.00417	汽车服务	充电站	充电站
珠海银积科技南水充电站	汽车服务;充电站;充电站	011100	X582(南港路)珠海银积科技(南水充电站)	13922936902	广东省	珠海市	金湾区	113.22391	22.019866	113.2186481892388	22.02259913186308	113.22391 22.019866	汽车服务	充电站	充电站
汇华物业囗岸大厦汽车充电站	汽车服务;充电站;充电站	011100	高栏港大道口岸大厦后面	[]	广东省	珠海市	金湾区	113.208584	21.973985	113.20330777783732	21.976678680474222	113.208584 21.973985	汽车服务	充电站	充电站
