name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
恒动封开百世充电站	汽车服务;充电站;充电站	011100	封州二路辉鹏汽车百世快递旁	[]	广东省	肇庆市	封开县	111.514481	23.44817	111.50931599464542	23.450820988718714	111.514481 23.44817	汽车服务	充电站	充电站
鼎星充电站	汽车服务;充电站;充电站	011100	江口镇中心小学南校区对面私宅	[]	广东省	肇庆市	封开县	111.516495	23.434661	111.51133655077152	23.43731931271826	111.516495 23.434661	汽车服务	充电站	充电站
广东电网充电站(润业广场)	汽车服务;充电站;充电站	011100	江口街道封州二路东	[]	广东省	肇庆市	封开县	111.509712	23.424494	111.50453490635404	23.42713357793592	111.509712 23.424494	汽车服务	充电站	充电站
广东电网充电站(封开县江口街道半岛酒店)	汽车服务;充电站;充电站	011100	江口街道红卫路半岛酒店	[]	广东省	肇庆市	封开县	111.502551	23.435175	111.49735247812148	23.437791794381624	111.502551 23.435175	汽车服务	充电站	充电站
广东电网充电站(封开县体育中心)	汽车服务;充电站;充电站	011100	封州二路体育中心	[]	广东省	肇庆市	封开县	111.512609	23.431691	111.5074397408127	23.434338278503542	111.512609 23.431691	汽车服务	充电站	充电站
顺易充汽车充电站(肇庆市封开县江口镇封州宾馆公共)	汽车服务;充电站;充电站	011100	建设一路与大塘一路交叉口西南约40米	[]	广东省	肇庆市	封开县	111.501104	23.437685	111.49590110917885	23.44029714531416	111.501104 23.437685	汽车服务	充电站	充电站
广东电网充电站(封开供电局大楼停车场)	汽车服务;充电站;充电站	011100	江口镇封州一路20号	[]	广东省	肇庆市	封开县	111.50583	23.409545	111.50064266223552	23.412175017238667	111.50583 23.409545	汽车服务	充电站	充电站
广东电网充电站(封开县江口街道名典酒店)	汽车服务;充电站;充电站	011100	江口街道封州二路名典酒店	[]	广东省	肇庆市	封开县	111.51109	23.427753	111.5059166524	23.43039626287888	111.51109 23.427753	汽车服务	充电站	充电站
广东电网充电站(封开县江口街道江口供电所新办公大楼停车场)	汽车服务;充电站;充电站	011100	广东省肇庆市封开县贺江2路7号	[]	广东省	肇庆市	封开县	111.505335	23.429174	111.50014495245014	23.43179988908282	111.505335 23.429174	汽车服务	充电站	充电站
依威能源充电站(碧桂园肇庆封开)	汽车服务;充电站;充电站	011100	江口镇封川东塘(G321国道旁)碧桂园肇庆封开	4001800910	广东省	肇庆市	封开县	111.513032	23.385201	111.50786695704537	23.38785639826252	111.513032 23.385201	汽车服务	充电站	充电站
蔚景汽车充电站	汽车服务;充电站;充电站	011100	环城路与香山西路交叉口东南约80米	[]	广东省	肇庆市	德庆县	111.766509	23.141552	111.76127991774572	23.14424424497979	111.766509 23.141552	汽车服务	充电站	充电站
广东电网充电站(香山中学)	汽车服务;充电站;充电站	011100	德城街道香山村香山西路	[]	广东省	肇庆市	德庆县	111.765621	23.144439	111.76039115548478	23.14712958117295	111.765621 23.144439	汽车服务	充电站	充电站
广东电网充电站(德庆县妇幼保健院)	汽车服务;充电站;充电站	011100	龙母大街妇幼保健院前停车场	[]	广东省	肇庆市	德庆县	111.780466	23.148292	111.77524952172324	23.15099346716033	111.780466 23.148292	汽车服务	充电站	充电站
广东电网充电站(德庆县阿尔戈斯酒店)	汽车服务;充电站;充电站	011100	德城镇阿尔戈斯酒店门口	[]	广东省	肇庆市	德庆县	111.787636	23.146029	111.7824290788002	23.148739880810258	111.787636 23.146029	汽车服务	充电站	充电站
