name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
驿充电充电站(茂名交投茂职院南)	汽车服务;充电站;充电站	011100	茂名职业技术学院(南校区)公交停车场	4008129338	广东省	茂名市	电白区	110.981857	21.464461	110.9771812221982	21.467062842988256	110.981857 21.464461	汽车服务	充电站	充电站
响响新能源共享汽车体验中心	汽车服务;充电站;充电站	011100	高地街道15号	19106651156;0668-5787520	广东省	茂名市	电白区	110.993654	21.49627	110.9889291232455	21.498843197005147	110.993654 21.49627	汽车服务	充电站	充电站
华远电器新能源汽车充电站	汽车服务;充电站;充电站	011100	高地街道鸿景电器厂门前	13686783290	广东省	茂名市	电白区	110.997113	21.488605	110.992374486321	21.491166126542105	110.997113 21.488605	汽车服务	充电站	充电站
广东电网充电站(小良营业厅)	汽车服务;充电站;充电站	011100	小良镇文明路56号	[]	广东省	茂名市	电白区	110.902991	21.490454	110.89852041774532	21.493192739091008	110.902991 21.490454	汽车服务	充电站	充电站
共创汽车充电站	汽车服务;充电站;充电站	011100	水东镇新湖区c4-31号	[]	广东省	茂名市	电白区	110.995541	21.512008	110.9908075454414	21.51457897922129	110.995541 21.512008	汽车服务	充电站	充电站
共创水东镇滨海新区第二小区充电站	汽车服务;充电站;充电站	011100	滨海新区第二小区A155号	[]	广东省	茂名市	电白区	111.016617	21.507681	111.01179851541302	21.510187731424097	111.016617 21.507681	汽车服务	充电站	充电站
茂名交投物流园充电站	汽车服务;充电站;充电站	011100	茂名交投物流园内	18929770010	广东省	茂名市	电白区	110.990578	21.537501	110.98586322287956	21.540093051194862	110.990578 21.537501	汽车服务	充电站	充电站
共创水东湾新城南海街道绿海东边旗村汽车充电站	汽车服务;充电站;充电站	011100	水东湾新城南海街道绿海东边旗村	[]	广东省	茂名市	电白区	111.025702	21.462807	111.02085090868503	21.46527874009104	111.025702 21.462807	汽车服务	充电站	充电站
共创水东东阳南街埗头路203号汽车充电站点	汽车服务;充电站;充电站	011100	兵房路168号	[]	广东省	茂名市	电白区	110.995699	21.499903	110.99096559760493	21.50247080307741	110.995699 21.499903	汽车服务	充电站	充电站
驿充电充电站(茂名交投物流园)	汽车服务;充电站;充电站	011100	茂名交投物流园内	4008129338	广东省	茂名市	电白区	110.990897	21.53784	110.98618091373976	21.54043118065756	110.990897 21.53784	汽车服务	充电站	充电站
驿充电充电站(滨海绿洲)	汽车服务;充电站;充电站	011100	电白大道滨海绿洲(售楼部内)	4008129338	广东省	茂名市	电白区	111.028132	21.536655	111.0232674683016	21.539136126572025	111.028132 21.536655	汽车服务	充电站	充电站
共创充电站（御景国际大酒店）	汽车服务;充电站;充电站	011100	电白大道西与向洋大道交叉口东约180米	[]	广东省	茂名市	电白区	111.020666	21.5363	111.01582996441635	21.53880183936147	111.020666 21.5363	汽车服务	充电站	充电站
共创充电站(水东镇三大队停车场)	汽车服务;充电站;充电站	011100	茂名大道与袂稔路交叉口南280米	[]	广东省	茂名市	电白区	110.992828	21.524047	110.98810488248806	21.52662898568512	110.992828 21.524047	汽车服务	充电站	充电站
共创新能源充电站(陈村村一片29号)	汽车服务;充电站;充电站	011100	陈村村一片29号茂名石化产业园区	[]	广东省	茂名市	电白区	111.059701	21.527247	111.05473499003236	21.52965489973376	111.059701 21.527247	汽车服务	充电站	充电站
