name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
文凯尚亿特快汽车充电站	汽车服务;充电站;充电站	011100	沙扒镇环湖路一巷3号	13664988922	广东省	阳江市	阳西县	111.469101	21.521833	111.46393147387089	21.52430035740302	111.469101 21.521833	汽车服务	充电站	充电站
广东电网充电站(阳江市阳西供电局沙扒营业厅)	汽车服务;充电站;充电站	011100	沙扒镇工业大道中国南方电网沙扒营业厅停车场内	[]	广东省	阳江市	阳西县	111.476609	21.516723	111.4714585767332	21.519209555205485	111.476609 21.516723	汽车服务	充电站	充电站
汽车充电站	汽车服务;充电站;充电站	011100	永兴大道儒洞中学西南侧约140米	[]	广东省	阳江市	阳西县	111.433711	21.601661	111.42847353919238	21.6040769044637	111.433711 21.601661	汽车服务	充电站	充电站
新墟服务区汽车充电站	汽车服务;充电站;充电站	011100		[]	广东省	阳江市	阳西县	111.48938	21.691455	111.4842535439276	21.694032608429364	111.48938 21.691455	汽车服务	充电站	充电站
八甲停车区汽车充电站	汽车服务;充电站;充电站	011100	Ｓ１４汕湛高速与八甲停车区交叉口东北约420米	[]	广东省	阳江市	阳春市	111.464497	22.011459	111.45928654551076	22.014111295639427	111.464497 22.011459	汽车服务	充电站	充电站
八甲停车区电动汽车充电站	汽车服务;充电站;充电站	011100	Ｓ１４汕湛高速与八甲停车区交叉口东约480米	4000053636	广东省	阳江市	阳春市	111.465577	22.010273	111.46036909838786	22.01292747254297	111.465577 22.010273	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	溪头镇万丰新城丰头路口溪头营业厅内	[]	广东省	阳江市	阳西县	111.760737	21.652891	111.75559865122167	21.65548691451128	111.760737 21.652891	汽车服务	充电站	充电站
广东电网充电站(阳西供电局蒲牌营业厅)	汽车服务;充电站;充电站	011100	蒲牌社区752县道蒲牌派出所附近	[]	广东省	阳江市	阳西县	111.544846	21.686479	111.53986730949642	21.68920991815128	111.544846 21.686479	汽车服务	充电站	充电站
特来电充电站(阳西汽车站)	汽车服务;充电站;充电站	011100	织篢镇粤运朗日加油站	13827696229	广东省	阳江市	阳西县	111.611115	21.766602	111.60617700675184	21.7694229492547	111.611115 21.766602	汽车服务	充电站	充电站
中国南方电网汽车充电站	汽车服务;充电站;充电站	011100	人民大道83号	[]	广东省	阳江市	阳西县	111.615111	21.751681	111.61017038535904	21.75449306267328	111.615111 21.751681	汽车服务	充电站	充电站
中国南方电网汽车充电站	汽车服务;充电站;充电站	011100	迎宾中路与富和路交叉口北约220米	[]	广东省	阳江市	阳西县	111.607068	21.756202	111.6021335154857	21.75902046894883	111.607068 21.756202	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	兴华东路织篢供电营业厅	[]	广东省	阳江市	阳西县	111.627948	21.748899	111.62299212588032	21.75169766326878	111.627948 21.748899	汽车服务	充电站	充电站
中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	程村镇607县道东	[]	广东省	阳江市	阳西县	111.713105	21.813508	111.70798261600032	21.81619197104822	111.713105 21.813508	汽车服务	充电站	充电站
阳西县城壹方豪庭西侧电动汽车充电站	汽车服务;充电站;充电站	011100	信义路壹方豪庭西侧	[]	广东省	阳江市	阳西县	111.597311	21.764545	111.5923800373308	21.76736885940001	111.597311 21.764545	汽车服务	充电站	充电站
广东电网充电站(阳江市阳西供电局塘口营业厅)	汽车服务;充电站;充电站	011100	塘口镇S278省道旁边(车湖村委会对面)中国南方电网塘口营业厅	[]	广东省	阳江市	阳西县	111.585004	21.825952	111.58006822607672	21.828799344452342	111.585004 21.825952	汽车服务	充电站	充电站
蔚景汽车充电站	汽车服务;充电站;充电站	011100	海陵镇白蒲墟教师新村(康之源纯净水厂对面)	[]	广东省	阳江市	江城区	111.93482	21.62496	111.9298671621336	21.62770451649919	111.93482 21.62496	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	海陵岛南海一号大道保利海陵岛销售中心附近	[]	广东省	阳江市	江城区	111.885065	21.586809	111.8801271289919	21.58955981335185	111.885065 21.586809	汽车服务	充电站	充电站
蔚来目的地充电站(阳江海陵岛皇冠假日酒店)	汽车服务;充电站;充电站	011100	海陵镇海陵岛保利皇冠假日酒店停车场一层	[]	广东省	阳江市	江城区	111.881994	21.579036	111.87705374298136	21.581782214683656	111.881994 21.579036	汽车服务	充电站	充电站
广东电网充电站(海陵岛供电局南海湾)	汽车服务;充电站;充电站	011100	保利大道保利银滩	[]	广东省	阳江市	江城区	111.877795	21.577006	111.8728503740725	21.57974788300807	111.877795 21.577006	汽车服务	充电站	充电站
广东电网充电站(海韵戴斯酒店)	汽车服务;充电站;充电站	011100	海陵岛海韵戴斯酒店内	[]	广东省	阳江市	江城区	111.871304	21.570636	111.86635155496803	21.5733690773252	111.871304 21.570636	汽车服务	充电站	充电站
特来电充电站(广东海上丝绸之路博物馆电动汽车)	汽车服务;充电站;充电站	011100	十里银滩宋康大道广东海上丝绸之路博物馆内	15875169555	广东省	阳江市	江城区	111.873622	21.574028	111.86867244802882	21.576764695281994	111.873622 21.574028	汽车服务	充电站	充电站
蔚来目的地充电站(阳光海陵岛皇冠假日酒店)	汽车服务;充电站;充电站	011100	海陵镇海陵岛保利皇冠假日酒店	[]	广东省	阳江市	江城区	111.875494	21.573094	111.8705468702778	21.575832449015664	111.875494 21.573094	汽车服务	充电站	充电站
星星充电汽车充电站(阳江市平冈镇祥和爱车屋桩群)	汽车服务;充电站;充电站	011100	平冈镇平冈客运站往闸坡方向东150米	4008280768	广东省	阳江市	江城区	111.841883	21.568656	111.83687897732142	21.57134281439913	111.841883 21.568656	汽车服务	充电站	充电站
广东电网充电站(阳江市城区供电局平冈营业厅)	汽车服务;充电站;充电站	011100	平冈镇593县道西街大圆盘侧	[]	广东省	阳江市	江城区	111.878329	21.752208	111.87337445525438	21.7550131063395	111.878329 21.752208	汽车服务	充电站	充电站
广东电网充电站(阳江城区供电局埠场营业厅)	汽车服务;充电站;充电站	011100	593县道阳江供电局埠场营业厅入口左边停车位	[]	广东省	阳江市	江城区	111.934937	21.783754	111.92997442572572	21.786559800791068	111.934937 21.783754	汽车服务	充电站	充电站
特斯拉超级充电站(阳江中心华邑酒店站)	汽车服务;充电站;充电站	011100	环湖路8号	[]	广东省	阳江市	江城区	111.985214	21.851788	111.9801300253816	21.854507243215025	111.985214 21.851788	汽车服务	充电站	充电站
广东电网充电站(阳江市养老院)	汽车服务;充电站;充电站	011100	洲头路阳江市养老院内	[]	广东省	阳江市	江城区	111.95226	21.848622	111.94726255698512	21.85142558911553	111.95226 21.848622	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	阳江市	江城区	112.009564	21.796145	112.0044093719073	21.79876573244364	112.009564 21.796145	汽车服务	充电站	充电站
广东电网充电站(阳江市阳江城区供电局白沙营业厅)	汽车服务;充电站;充电站	011100	白沙街道办事处电网有限责任公司阳江城区供电局白沙营业厅	[]	广东省	阳江市	江城区	111.89444	21.866446	111.88949159885574	21.869312488318734	111.89444 21.866446	汽车服务	充电站	充电站
南方电网充电站(凯源电力设计有限公司)	汽车服务;充电站;充电站	011100	东风一路30号供电局宿舍	[]	广东省	阳江市	江城区	111.967474	21.853508	111.96243992489153	21.856277581446303	111.967474 21.853508	汽车服务	充电站	充电站
中国南方电网充电站(阳江市阳江城区供电局办公大楼)	汽车服务;充电站;充电站	011100	漠江路乔士桥往西200米	[]	广东省	阳江市	江城区	111.945132	21.861033	111.94014802310993	21.86385668480096	111.945132 21.861033	汽车服务	充电站	充电站
星星充电汽车充电站(阳江世纪城)	汽车服务;充电站;充电站	011100	江朗大道	4008280768	广东省	阳江市	江城区	111.984503	21.840137	111.97942185346234	21.84285295779894	111.984503 21.840137	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园阳江钻石湾)	汽车服务;充电站;充电站	011100	高凉路与新江东路交汇处北碧桂园钻石湾	4001800910	广东省	阳江市	江城区	111.998846	21.848912	111.99372083311071	21.851589018027816	111.998846 21.848912	汽车服务	充电站	充电站
星星充电汽车充电站(阳发荟新能源阳江艺展国际)	汽车服务;充电站;充电站	011100	江朗大道艺展国际销售中心(保利罗兰香谷对面)	4008280768	广东省	阳江市	江城区	111.988419	21.831494	111.98332667812636	21.834194423061327	111.988419 21.831494	汽车服务	充电站	充电站
南方电网充电站(阳江供电局东城营业厅)	汽车服务;充电站;充电站	011100	始兴路与新华路交叉口东北100米(东城营业厅)	[]	广东省	阳江市	阳东区	112.006269	21.855029	112.00112072891878	21.857686372050694	112.006269 21.855029	汽车服务	充电站	充电站
文凯尚亿特快汽车充电站(阳江中心华邑酒店站)	汽车服务;充电站;充电站	011100	环湖路8号	[]	广东省	阳江市	江城区	111.985533	21.851769	111.98044807683009	21.854487295308942	111.985533 21.851769	汽车服务	充电站	充电站
文凯尚亿特快汽车充电站(阳江中心华邑酒店站)	汽车服务;充电站;充电站	011100	环湖路8号	[]	广东省	阳江市	江城区	111.986277	21.851309	111.98118988523608	21.85402488741964	111.986277 21.851309	汽车服务	充电站	充电站
广东电网充电站(阳江市阳东供电局东城营业厅)	汽车服务;充电站;充电站	011100	始兴路与新华路交叉口东北100米	[]	广东省	阳江市	阳东区	112.006318	21.855003	112.00116958119165	21.85766021219238	112.006318 21.855003	汽车服务	充电站	充电站
广东电网充电站(江城区供电局党校停车场)	汽车服务;充电站;充电站	011100	体育路98号	[]	广东省	阳江市	江城区	111.989415	21.869102	111.98431735881113	21.871816841452905	111.989415 21.869102	汽车服务	充电站	充电站
潭水服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	上陵镇上陵停车区	4000053636	广东省	阳江市	阳春市	111.610337	22.115967	111.60537853221756	22.11894809593661	111.610337 22.115967	汽车服务	充电站	充电站
广东天路汽车充电站(新阳高速潭水东行)	汽车服务;充电站;充电站	011100	S14汕湛高速与潭水服务区交叉口西南360米	4000053636	广东省	阳江市	阳春市	111.610885	22.116336	111.6059260827126	22.119316952434872	111.610885 22.116336	汽车服务	充电站	充电站
新阳高速潭水西行电动汽车充电站	汽车服务;充电站;充电站	011100	服务站	4000053636	广东省	阳江市	阳春市	111.607791	22.117991	111.60283422742378	22.120974156462434	111.607791 22.117991	汽车服务	充电站	充电站
广东天路汽车充电站(新阳高速潭水西行)	汽车服务;充电站;充电站	011100	S14汕湛高速与潭水服务区交叉口西南520米	4000053636	广东省	阳江市	阳春市	111.60782	22.117156	111.60286325898964	22.1201387975184	111.60782 22.117156	汽车服务	充电站	充电站
马水停车区电动汽车充电站	汽车服务;充电站;充电站	011100	Ｓ１４汕湛高速与马水停车区交叉口西南约320米	4000053636	广东省	阳江市	阳春市	111.70706	22.175897	111.70192446128206	22.178751984632747	111.70706 22.175897	汽车服务	充电站	充电站
广东天路汽车充电站(汕湛高速马水东行)	汽车服务;充电站;充电站	011100	河西街道S14汕湛高速马水停车区	4000053636	广东省	阳江市	阳春市	111.706209	22.175414	111.70107488015324	22.17827004636328	111.706209 22.175414	汽车服务	充电站	充电站
广东交通集团汽车充电站(汕湛高速马水西行)	汽车服务;充电站;充电站	011100	S14汕湛高速与马水停车区交叉口西南380米	4000053636	广东省	阳江市	阳春市	111.705724	22.176444	111.7005906165404	22.17930114447206	111.705724 22.176444	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	崆峒岩风景区停车场	[]	广东省	阳江市	阳春市	111.747583	22.186555	111.74240958960176	22.189380752445235	111.747583 22.186555	汽车服务	充电站	充电站
广东电网充电站(潭水供电所营业厅)	汽车服务;充电站;充电站	011100	潭水镇安芬娜街安定路潭水供电所新营业厅门口侧	[]	广东省	阳江市	阳春市	111.608906	22.043411	111.60395298940009	22.04636114896608	111.608906 22.043411	汽车服务	充电站	充电站
特来电充电站(阳春雷塘)	汽车服务;充电站;充电站	011100	S277(春江大道)	13809723799	广东省	阳江市	阳春市	111.769376	22.152077	111.76421198019932	22.154896550927777	111.769376 22.152077	汽车服务	充电站	充电站
星星充电汽车充电站(阳春广宝发)	汽车服务;充电站;充电站	011100	春城春江大道(春江路铁路桥底)	4008280768	广东省	阳江市	阳春市	111.766122	22.144388	111.76095614881577	22.14720239709913	111.766122 22.144388	汽车服务	充电站	充电站
顺易充汽车充电站(阳江市阳春河西崆峒岩风景区公共充电站新投运)	汽车服务;充电站;充电站	011100	[]	[]	广东省	阳江市	阳春市	111.74756	22.186554	111.7423865924637	22.18937975436325	111.74756 22.186554	汽车服务	充电站	充电站
广东电网充电站(双捷营业厅)	汽车服务;充电站;充电站	011100	597县道双捷营业厅	[]	广东省	阳江市	江城区	111.823389	21.937687	111.81832400432783	21.94048886797064	111.823389 21.937687	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	城北街道办事处金山南路金碧别墅区AB1号	[]	广东省	阳江市	江城区	111.971401	21.882008	111.9663546900836	21.884780474663007	111.971401 21.882008	汽车服务	充电站	充电站
中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	阳江市	江城区	111.960858	21.8911	111.95583834034652	21.89390380382564	111.960858 21.8911	汽车服务	充电站	充电站
阳江公共汽车充电站	汽车服务;充电站;充电站	011100	沿山路与康泰路交叉口东北40米	[]	广东省	阳江市	江城区	111.978889	21.895494	111.9738208697731	21.898252031618608	111.978889 21.895494	汽车服务	充电站	充电站
南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	阳江中医医院	[]	广东省	阳江市	江城区	111.971651	21.895543	111.96660317959474	21.89832117594656	111.971651 21.895543	汽车服务	充电站	充电站
中集三期南门室外停车场充电站	汽车服务;充电站;充电站	011100	西平北路江城区中集国际城-5期东北侧约90米	4008279378	广东省	阳江市	江城区	111.961713	21.890913	111.956691265316	21.89371463581891	111.961713 21.890913	汽车服务	充电站	充电站
广东电网充电站(阳东供电局塘坪营业厅)	汽车服务;充电站;充电站	011100	塘坪镇592县道	[]	广东省	阳江市	阳东区	111.949696	22.020502	111.94469341226171	22.023391822266777	111.949696 22.020502	汽车服务	充电站	充电站
漠阳江服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	塘坪镇S51罗阳高速漠阳江服务区	[]	广东省	阳江市	阳东区	111.792644	21.998491	111.78751725185172	22.00126895078049	111.792644 21.998491	汽车服务	充电站	充电站
云快充汽车充电站(阳江锋得行比亚迪充电站)	汽车服务;充电站;充电站	011100	康泰路3号锋得行比亚迪4S店	4008288517	广东省	阳江市	江城区	111.977553	21.886976	111.972489222528	21.889733805640752	111.977553 21.886976	汽车服务	充电站	充电站
乐充汽车充电站(中集国际城)	汽车服务;充电站;充电站	011100	中集国际城三期南门停车场	4008279378	广东省	阳江市	江城区	111.961725	21.890906	111.95670323629776	21.893707603173965	111.961725 21.890906	汽车服务	充电站	充电站
广东交通集团汽车充电站(罗阳高速漠阳江南行)	汽车服务;充电站;充电站	011100	塘坪镇S51罗阳高速漠阳江服务区	[]	广东省	阳江市	阳东区	111.791875	22.000457	111.78674693435596	22.00323477951812	111.791875 22.000457	汽车服务	充电站	充电站
依威能源汽车充电站(碧桂园阳江阳东)	汽车服务;充电站;充电站	011100	湖滨西路阳东碧桂园碧桂园阳江阳东	4001800910	广东省	阳江市	阳东区	112.008346	21.871939	112.0031903637358	21.87459799942944	112.008346 21.871939	汽车服务	充电站	充电站
南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	体育北路保利中央公园路边露天停车场旁	[]	广东省	阳江市	江城区	111.992678	21.886907	111.98756935845805	21.889620409502903	111.992678 21.886907	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	592县道大八营业厅	[]	广东省	阳江市	阳东区	111.964793	22.066022	111.95975281792074	22.06889769507661	111.964793 22.066022	汽车服务	充电站	充电站
电动汽车充电站	汽车服务;充电站;充电站	011100	东湖东路东湖国际大酒店	[]	广东省	阳江市	阳春市	111.805875	22.157748	111.80076130379256	22.16061594291113	111.805875 22.157748	汽车服务	充电站	充电站
国际会展中心公共充电站	汽车服务;充电站;充电站	011100	东湖东路与广场路交叉口西约40米	[]	广东省	阳江市	阳春市	111.803475	22.159116	111.79835676313326	22.16198042723144	111.803475 22.159116	汽车服务	充电站	充电站
