name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
中国南方电网汽车充电站	汽车服务;充电站;充电站	011100	云门山大觉禅寺停车场	[]	广东省	韶关市	乳源瑶族自治县	113.309131	24.803521	113.30362218447476	24.806340584800587	113.309131 24.803521	汽车服务	充电站	充电站
县政府停车场公共充电站	汽车服务;充电站;充电站	011100	沿江中路与解放南路交叉口西北160米	[]	广东省	韶关市	乳源瑶族自治县	113.275413	24.774853	113.2699595952026	24.77772267128594	113.275413 24.774853	汽车服务	充电站	充电站
乳源服务区电动汽车充电站	汽车服务;充电站;充电站	011100		[]	广东省	韶关市	乳源瑶族自治县	113.330869	24.774504	113.3253176577261	24.77728563930595	113.330869 24.774504	汽车服务	充电站	充电站
广东电网充电站(云门寺停车场)	汽车服务;充电站;充电站	011100	乳城镇250省道	[]	广东省	韶关市	乳源瑶族自治县	113.309263	24.803607	113.30375391939124	24.80642634220682	113.309263 24.803607	汽车服务	充电站	充电站
乳源停车区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100		[]	广东省	韶关市	乳源瑶族自治县	113.329866	24.773697	113.32431680358226	24.776480622040573	113.329866 24.773697	汽车服务	充电站	充电站
韶关乳源县云门山旅游景区停车场公共充电站	汽车服务;充电站;充电站	011100	250省道与965乡道交叉口西南300米	[]	广东省	韶关市	乳源瑶族自治县	113.332181	24.809885	113.32662436599932	24.81266079266817	113.332181 24.809885	汽车服务	充电站	充电站
一六服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	韶关市	乳源瑶族自治县	113.411431	24.831513	113.40578831172832	24.834204420073167	113.411431 24.831513	汽车服务	充电站	充电站
广东天路汽车充电站(乐广高速一六北行)	汽车服务;充电站;充电站	011100	一六镇一六服务区	4000053636	广东省	韶关市	乳源瑶族自治县	113.41414	24.831321	113.40849906939872	24.83401371644436	113.41414 24.831321	汽车服务	充电站	充电站
顺易充汽车充电站(韶关市乳源云门寺停车场公共)	汽车服务;充电站;充电站	011100	[]	[]	广东省	韶关市	乳源瑶族自治县	113.309275	24.803612	113.30376589548372	24.806431320423425	113.309275 24.803612	汽车服务	充电站	充电站
一六服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	一六镇一六服务区内	[]	广东省	韶关市	乳源瑶族自治县	113.414151	24.830614	113.40851012914338	24.83330680204407	113.414151 24.830614	汽车服务	充电站	充电站
广东天路汽车充电站(京港澳高速大桥单侧南行)	汽车服务;充电站;充电站	011100	大桥镇大桥服务区	4000053636	广东省	韶关市	乳源瑶族自治县	113.144937	25.012046	113.13934212328029	25.01475651914547	113.144937 25.012046	汽车服务	充电站	充电站
中国南方电网顺易充充电站	汽车服务;充电站;充电站	011100	G4京港澳高速与大桥停车区交叉口南480米	[]	广东省	韶关市	乳源瑶族自治县	113.143933	24.982618	113.1383387215606	24.985330847461626	113.143933 24.982618	汽车服务	充电站	充电站
云岩服务区南方电网汽车充电站	汽车服务;充电站;充电站	011100	京港澳高速云岩服务区北行	[]	广东省	韶关市	乐昌市	113.110053	25.085219	113.10441775106848	25.087881917671936	113.110053 25.085219	汽车服务	充电站	充电站
云岩服务区中国南方电网电动汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	广东省	韶关市	乐昌市	113.111313	25.084744	113.1056782247563	25.08740763367688	113.111313 25.084744	汽车服务	充电站	充电站
古佛洞天景区汽车充电站	汽车服务;充电站;充电站	011100	乐城街道月丘村委会麻坪组2号	[]	广东省	韶关市	乐昌市	113.34443	25.08454	113.3388284814552	25.08725816767582	113.34443 25.08454	汽车服务	充电站	充电站
南方电网汽车充电站	汽车服务;充电站;充电站	011100	工业大道万佳雅园西北侧约30米	[]	广东省	韶关市	乐昌市	113.358634	25.131301	113.35300322923617	25.13399078296376	113.358634 25.131301	汽车服务	充电站	充电站
广东天路汽车充电站(乐广高速乐昌南行)	汽车服务;充电站;充电站	011100	乐昌服务区与G0423乐广高速交叉口西480米	4000053636	广东省	韶关市	乐昌市	113.358771	25.035422	113.35314708212306	25.038121672331787	113.358771 25.035422	汽车服务	充电站	充电站
广东天路汽车充电站(乐广高速乐昌北行)	汽车服务;充电站;充电站	011100	G0423乐广高速与乐昌服务区交叉口东460米	4000053636	广东省	韶关市	乐昌市	113.359097	25.037422	113.35347239945064	25.04012092039689	113.359097 25.037422	汽车服务	充电站	充电站
乐昌服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	服务区内	4000053636	广东省	韶关市	乐昌市	113.357838	25.035603	113.35221561656095	25.038304101064902	113.357838 25.035603	汽车服务	充电站	充电站
乐昌服务区广东交通集团电动汽车充电站	汽车服务;充电站;充电站	011100	服务区	4000053636	广东省	韶关市	乐昌市	113.359918	25.037349	113.35429206972276	25.04004667555276	113.359918 25.037349	汽车服务	充电站	充电站
广东电网充电站(乐昌东站停车场)	汽车服务;充电站;充电站	011100	武广高铁乐昌东站站前广场	[]	广东省	韶关市	乐昌市	113.395768	25.112512	113.39010172214772	25.11516724106987	113.395768 25.112512	汽车服务	充电站	充电站
广东电网充电站(韶关市乳源游溪营业厅)	汽车服务;充电站;充电站	011100	游溪镇923乡道游溪供电营业厅	18948846661	广东省	韶关市	乳源瑶族自治县	113.406041	24.871163	113.40039303706408	24.87384810025853	113.406041 24.871163	汽车服务	充电站	充电站
广东天路汽车充电站(乐广高速梅花北北行)	汽车服务;充电站;充电站	011100	G0423乐广高速与梅花北服务区交叉口北120米	4000053636	广东省	韶关市	乐昌市	113.118852	25.236612	113.11321008643324	25.23927220239661	113.118852 25.236612	汽车服务	充电站	充电站
粤北停车区电动汽车充电站	汽车服务;充电站;充电站	011100	107国道与742乡道交叉口南580米	[]	广东省	韶关市	乐昌市	112.962606	25.320262	112.9573124261484	25.32320957980321	112.962606 25.320262	汽车服务	充电站	充电站
梅花北服务区广东交通集团汽车充电站(乐广高速梅花北南行)	汽车服务;充电站;充电站	011100	Ｇ０４２３乐广高速与梅花北服务区交叉口西约500米	4000053636	广东省	韶关市	乐昌市	113.114007	25.234592	113.10836233183905	25.237248552474743	113.114007 25.234592	汽车服务	充电站	充电站
梅南服务区充电站	汽车服务;充电站;充电站	011100	S27韶新高速与梅南服务区交叉口北220米	[]	广东省	韶关市	新丰县	114.116357	23.995628	114.11115672655856	23.998151086488484	114.116357 23.995628	汽车服务	充电站	充电站
梅南服务区南方电网充电站	汽车服务;充电站;充电站	011100	S27韶新高速与S27韶新高速入口交叉口南220米	[]	广东省	韶关市	新丰县	114.112885	23.99477	114.1076797043448	23.99729035127013	114.112885 23.99477	汽车服务	充电站	充电站
新丰县华胜绿行新能源充电站	汽车服务;充电站;充电站	011100	丰城大道西148号-3	13346505888	广东省	韶关市	新丰县	114.20094	24.051177	114.1959418964676	24.05385867919804	114.20094 24.051177	汽车服务	充电站	充电站
广东电网充电站(碧桂园翡翠山停车场)	汽车服务;充电站;充电站	011100	紫城碧桂园翡翠山	[]	广东省	韶关市	新丰县	114.186803	24.047276	114.18176946349368	24.04993197317652	114.186803 24.047276	汽车服务	充电站	充电站
蔚景云汽车充电站(新能通新丰华胜)	汽车服务;充电站;充电站	011100	丰城街道丰城大道西148号	[]	广东省	韶关市	新丰县	114.2009	24.051258	114.19590179576528	24.05393965045111	114.2009 24.051258	汽车服务	充电站	充电站
绿行劲桩新丰县汽车客运站充电站	汽车服务;充电站;充电站	011100	丰城大道40号新丰汽车客运站	4006300630	广东省	韶关市	新丰县	114.211241	24.055533	114.20626573721935	24.058231495055534	114.211241 24.055533	汽车服务	充电站	充电站
星星充电汽车充电站(华形汽车)	汽车服务;充电站;充电站	011100	丰城街道大道东大洞村一组	4008280768	广东省	韶关市	新丰县	114.216356	24.06106	114.21139069483412	24.063767230882085	114.216356 24.06106	汽车服务	充电站	充电站
绿行劲桩新丰县行政服务中心充电站	汽车服务;充电站;充电站	011100	封城街道金园路132号行政服务中心	4006300630	广东省	韶关市	新丰县	114.218979	24.043848	114.21401981439624	24.046550943430244	114.218979 24.043848	汽车服务	充电站	充电站
广东电网充电站(韶关市韶关新丰供电局办公大楼)	汽车服务;充电站;充电站	011100	丰城街道车田路21号	[]	广东省	韶关市	新丰县	114.212218	24.059416	114.20724451288416	24.06211741532689	114.212218 24.059416	汽车服务	充电站	充电站
