name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
仙桃充电站	汽车服务;充电站;充电站	011100	彭场大道西段与挖沟八组路交叉口南约180米	[]	湖北省	仙桃市	仙桃市	113.486428	30.283393	113.4805157163599	30.285899405805413	113.486428 30.283393	汽车服务	充电站	充电站
国家电网充电站(湖北省荆州仙桃市挖沟工业园站)	汽车服务;充电站;充电站	011100	国网湖北省仙桃市供电公司培训基地	[]	湖北省	仙桃市	仙桃市	113.486076	30.282494	113.48016252009975	30.28499946172532	113.486076 30.282494	汽车服务	充电站	充电站
沔东中心客运站(冲电桩)	汽车服务;充电站;充电站	011100	杜银线	[]	湖北省	仙桃市	仙桃市	113.674156	30.315705	113.66846281085728	30.318335832773293	113.674156 30.315705	汽车服务	充电站	充电站
汽车充电站(仙桃三羊超级)	汽车服务;充电站;充电站	011100	三羊产业园	17611069175	湖北省	仙桃市	仙桃市	113.474121	30.326163	113.46816157620732	30.32862954100553	113.474121 30.326163	汽车服务	充电站	充电站
三羊新能源汽车广场超级充电站	汽车服务;充电站;充电站	011100	仙彭公路西侧1幢1层	[]	湖北省	仙桃市	仙桃市	113.475668	30.325144	113.469713932549	30.327614928500843	113.475668 30.325144	汽车服务	充电站	充电站
充电站	汽车服务;充电站;充电站	011100	东高速出口前行800米	[]	湖北省	仙桃市	仙桃市	113.552864	30.328697	113.54717528198032	30.33137812671148	113.552864 30.328697	汽车服务	充电站	充电站
小桔充电汽车充电站(三羊产业园超级充电站)	汽车服务;充电站;充电站	011100	仙汉与沔州交叉口西南150米处三羊产业园	[]	湖北省	仙桃市	仙桃市	113.474417	30.325216	113.46845866423531	30.32768347506844	113.474417 30.325216	汽车服务	充电站	充电站
特来电充电站(仙桃杜柳北一路停车场)	汽车服务;充电站;充电站	011100	省直辖县级行政区划杜柳北一路停车场	16608665050	湖北省	仙桃市	仙桃市	113.438784	30.352026	113.432724235727	30.35441010912037	113.438784 30.352026	汽车服务	充电站	充电站
小桔充电汽车充电站(仙桃杜柳北一路充电站)	汽车服务;充电站;充电站	011100	杜柳北一路停车场	4000610999;17611069175	湖北省	仙桃市	仙桃市	113.439066	30.351884	113.43300682178318	30.354268584903497	113.439066 30.351884	汽车服务	充电站	充电站
沪渝高速仙桃服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	沪渝高速仙桃服务区(上海方向)	[]	湖北省	仙桃市	仙桃市	113.525615	30.338964	113.5198416658856	30.34157902003873	113.525615 30.338964	汽车服务	充电站	充电站
