name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
国家电网汽车充电站(十堰市竹山县上庸镇)	汽车服务;充电站;充电站	011100	上庸镇	[]	湖北省	十堰市	竹山县	110.17023	32.162395	110.16508529218687	32.164490873737215	110.17023 32.162395	汽车服务	充电站	充电站
国家电网汽车充电站(竹山五馆两中心充电站)	汽车服务;充电站;充电站	011100	竹山五馆两中心停车场	[]	湖北省	十堰市	竹山县	110.23486	32.2131	110.229813535677	32.21529597739302	110.23486 32.2131	汽车服务	充电站	充电站
国家电网汽车充电站(竹山五馆两中心充电站)	汽车服务;充电站;充电站	011100	竹山县档案馆	[]	湖北省	十堰市	竹山县	110.234684	32.213205	110.22963743400554	32.21540089456142	110.234684 32.213205	汽车服务	充电站	充电站
国家电网汽车充电站(十堰市竹山县通济沟工业园充电站)	汽车服务;充电站;充电站	011100	通济沟工业园	[]	湖北省	十堰市	竹山县	110.22212	32.212364	110.21706346904917	32.214550012472	110.22212 32.212364	汽车服务	充电站	充电站
国家电网汽车充电站(十堰市东利洋物流园东区停车场充电站)	汽车服务;充电站;充电站	011100	十竹路与圣玉路交叉口东北300米	[]	湖北省	十堰市	竹山县	110.2439	32.213192	110.23885645803578	32.21539146011882	110.2439 32.213192	汽车服务	充电站	充电站
龙坝镇廖家河汽车充电站	汽车服务;充电站;充电站	011100	长龙路与北环路交叉口西北约100米	[]	湖北省	十堰市	竹溪县	109.674964	32.327285	109.67003693780372	32.32959227567259	109.674964 32.327285	汽车服务	充电站	充电站
国家电网溢水服务区充电站(竹溪方向)	汽车服务;充电站;充电站	011100	G4213麻安高速北150米	18154395598	湖北省	十堰市	竹山县	110.096161	32.254646	110.09090912204088	32.25666847350683	110.096161 32.254646	汽车服务	充电站	充电站
国家电网汽车充电站(竹溪县鄂陕大道物流园充电站)	汽车服务;充电站;充电站	011100	鄂陕大道物流园	[]	湖北省	十堰市	竹溪县	109.75386	32.31542	109.74882264777182	32.31763753940609	109.75386 32.31542	汽车服务	充电站	充电站
国家电网充电站(竹溪龙王垭旅游区停车场)	汽车服务;充电站;充电站	011100	城关镇福安国际大酒店停车场	[]	湖北省	十堰市	竹溪县	109.705372	32.318584	109.70037969872324	32.3208375424879	109.705372 32.318584	汽车服务	充电站	充电站
国家电网汽车充电站(竹溪中峰充电站)	汽车服务;充电站;充电站	011100	中峰镇中峰供电所停车场	[]	湖北省	十堰市	竹溪县	109.655763	32.324546	109.6508811406132	32.326889429105314	109.655763 32.324546	汽车服务	充电站	充电站
