name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
国家电网汽车充电站(通城县银山大道充电站)	汽车服务;充电站;充电站	011100	银山大道(县供电公司门口)	[]	湖北省	咸宁市	通城县	113.823893	29.252393	113.81837693912802	29.255260015865307	113.823893 29.252393	汽车服务	充电站	充电站
国家电网汽车充电站(通城县古龙路充电站)	汽车服务;充电站;充电站	011100	古龙路	[]	湖北省	咸宁市	通城县	113.80584	29.24079	113.80027530813696	29.243632610686348	113.80584 29.24079	汽车服务	充电站	充电站
崇阳服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	杭瑞高速崇阳服务区(瑞丽方向)	[]	湖北省	咸宁市	崇阳县	114.051215	29.497008	114.0455910332756	29.49950665444496	114.051215 29.497008	汽车服务	充电站	充电站
国家电网充电站(崇阳县崇尚华府)	汽车服务;充电站;充电站	011100	崇尚华府小区	[]	湖北省	咸宁市	崇阳县	114.029275	29.540025	114.02369003860036	29.54255807834667	114.029275 29.540025	汽车服务	充电站	充电站
国家电网汽车充电站(杭瑞高速崇阳服务区杭州方向充电站)	汽车服务;充电站;充电站	011100	杭瑞高速崇阳服务区(杭州方向)	[]	湖北省	咸宁市	崇阳县	114.05175	29.495432	114.04612535143004	29.497930272880268	114.05175 29.495432	汽车服务	充电站	充电站
国家电网汽车充电站(崇阳县人民政府充电站)	汽车服务;充电站;充电站	011100	天城镇隽北大道崇阳县人民政府	[]	湖北省	咸宁市	崇阳县	114.039669	29.55757	114.034060251205	29.560069948676723	114.039669 29.55757	汽车服务	充电站	充电站
国家电网汽车充电站(咸宁市崇阳县隽北大道充电站)	汽车服务;充电站;充电站	011100	国网崇阳供电公司大楼	[]	湖北省	咸宁市	崇阳县	114.038418	29.554792	114.0328119906336	29.557296002287288	114.038418 29.554792	汽车服务	充电站	充电站
国家电网汽车充电站(赤壁市黄盖湖充电站)	汽车服务;充电站;充电站	011100	黄盖湖供电所	[]	湖北省	咸宁市	赤壁市	113.575244	29.813345	113.56964623875363	29.8160803182062	113.575244 29.813345	汽车服务	充电站	充电站
国家电网汽车充电站(赤壁市新店充电站)	汽车服务;充电站;充电站	011100	赤壁市新店供电所	[]	湖北省	咸宁市	赤壁市	113.684002	29.640311	113.6783511817469	29.64297269590717	113.684002 29.640311	汽车服务	充电站	充电站
赤壁市南街新店中学西70米充电站(国家电网)	汽车服务;充电站;充电站	011100	赤壁市新店供电所	[]	湖北省	咸宁市	赤壁市	113.684	29.640303	113.67834918559356	29.642964701738023	113.684 29.640303	汽车服务	充电站	充电站
国家电网充电站(赤壁古战场)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	咸宁市	赤壁市	113.629614	29.875365	113.6240233356551	29.8780863168519	113.629614 29.875365	汽车服务	充电站	充电站
国家电网汽车充电站(赤壁古战场充电站)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	咸宁市	赤壁市	113.637466	29.875921	113.63186689068424	29.878631715426312	113.637466 29.875921	汽车服务	充电站	充电站
赤壁市开发区充电站(国家电网)	汽车服务;充电站;充电站	011100	蒲圻大道与富康路交叉口西约80米	[]	湖北省	咸宁市	赤壁市	113.934318	29.735237	113.9289273876749	29.73796559412617	113.934318 29.735237	汽车服务	充电站	充电站
国家电网充电站(赤壁市开发区站)	汽车服务;充电站;充电站	011100	富康路与蒲圻大道交叉路口往西约70米	[]	湖北省	咸宁市	赤壁市	113.934217	29.735121	113.92882648739084	29.7378497588848	113.934217 29.735121	汽车服务	充电站	充电站
