name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
国家电网汽车充电站(孝感市应城市汉宜大道新河公园)	汽车服务;充电站;充电站	011100	汉宜大道新河公园	[]	湖北省	孝感市	应城市	113.549684	30.93766	113.543932875227	30.94009045725795	113.549684 30.93766	汽车服务	充电站	充电站
国家电网汽车充电站(孝感市应城市汉宜大道新河公园公共充电站)	汽车服务;充电站;充电站	011100	汉宜大道新河公园	0712-2954872	湖北省	孝感市	应城市	113.550756	30.937322	113.5450078083052	30.93975482962837	113.550756 30.937322	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省应城市粮贸街南路公共停车场充电站)	汽车服务;充电站;充电站	011100	粮贸街南路	0712-2954872	湖北省	孝感市	应城市	113.577114	30.927882	113.57142188390094	30.93035942181295	113.577114 30.927882	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省汉川市霍城大道御景春城北140米)	汽车服务;充电站;充电站	011100	北桥路与霍城大道交叉口东北约80米	[]	湖北省	孝感市	汉川市	113.841378	30.665831	113.83579101437716	30.6683883930699	113.841378 30.665831	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省汉川市霍城大道人民政府政务服务中心东100m)	汽车服务;充电站;充电站	011100	北桥路与霍城大道交叉口北约80米	[]	湖北省	孝感市	汉川市	113.841382	30.665826	113.83579502608696	30.668383402593346	113.841382 30.665826	汽车服务	充电站	充电站
国网汽车充电站	汽车服务;充电站;充电站	011100	滨湖大道与西湖大道交叉口东北300米	[]	湖北省	孝感市	汉川市	113.810881	30.650297	113.80520850831068	30.65280478055556	113.810881 30.650297	汽车服务	充电站	充电站
国家电网汽车充电站(孝感市汉川市滨湖大道汉川公园南)	汽车服务;充电站;充电站	011100	滨湖大道汉川公园南	[]	湖北省	孝感市	汉川市	113.809974	30.649116	113.80429913507078	30.651622697490296	113.809974 30.649116	汽车服务	充电站	充电站
北方能源汽车充电站	汽车服务;充电站;充电站	011100	浙商五路	[]	湖北省	孝感市	汉川市	113.921155	30.686212	113.91569116573852	30.68881671759274	113.921155 30.686212	汽车服务	充电站	充电站
湖北省汉川市供电公司开发福地晨光小区东100米公共充电点(国家电网)(暂停营业)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	孝感市	汉川市	113.813346	30.749864	113.80767149116414	30.75232852775728	113.813346 30.749864	汽车服务	充电站	充电站
汉川服务区国家电网电动汽车充电站(暂停营业)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	孝感市	汉川市	113.783621	30.778984	113.7778709668085	30.781387751334336	113.783621 30.778984	汽车服务	充电站	充电站
