name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
蓝天汽车充电站	汽车服务;充电站;充电站	011100	长阳大道	13997709868	湖北省	宜昌市	长阳土家族自治县	111.244118	30.525797	111.23853146073016	30.528326161785905	111.244118 30.525797	汽车服务	充电站	充电站
国家电网汽车充电站(宜昌市长阳县小秦寨充电站)	汽车服务;充电站;充电站	011100	方清路	0717-6771590	湖北省	宜昌市	长阳土家族自治县	111.041396	30.525722	111.03585050385615	30.528139217178897	111.041396 30.525722	汽车服务	充电站	充电站
国家电网充电站(宜昌五峰县东武门站)	汽车服务;充电站;充电站	011100	天宇路与长乐大道交叉口东南约80米	0717-6771590	湖北省	宜昌市	五峰土家族自治县	111.081434	30.17234	111.07580859143695	30.17474854506145	111.081434 30.17234	汽车服务	充电站	充电站
蔚来目的地充电站(宜昌长江清江画廊隔河岩酒店)	汽车服务;充电站;充电站	011100	龙舟坪镇隔河岩酒店	[]	湖北省	宜昌市	长阳土家族自治县	111.133526	30.457594	111.12785262082105	30.45998499182661	111.133526 30.457594	汽车服务	充电站	充电站
高家堰服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	G50沪渝高速附近	13997665468	湖北省	宜昌市	长阳土家族自治县	111.082	30.569651	111.0763400122101	30.57198874964713	111.082 30.569651	汽车服务	充电站	充电站
高家堰服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	沪渝高速长阳高家堰服务区重庆方向	13997665468	湖北省	宜昌市	长阳土家族自治县	111.082	30.571457	111.07633985824496	30.57379409535869	111.082 30.571457	汽车服务	充电站	充电站
国家电网汽车充电站(宜昌市长阳县高家堰充电站)	汽车服务;充电站;充电站	011100	高家堰镇	0717-6695598	湖北省	宜昌市	长阳土家族自治县	111.05379	30.599115	111.04819644639836	30.60147960597409	111.05379 30.599115	汽车服务	充电站	充电站
国家电网充电站(龙舟大道廪君)	汽车服务;充电站;充电站	011100	四冲湾路福达家园东南侧约160米	0717-6771590	湖北省	宜昌市	长阳土家族自治县	111.191905	30.47283	111.18629922010663	30.47531877415936	111.191905 30.47283	汽车服务	充电站	充电站
国家电网汽车充电站(宜昌市长阳县磨市镇救师口村充电站)	汽车服务;充电站;充电站	011100	磨市镇救师口村委会	0717-6771590	湖北省	宜昌市	长阳土家族自治县	111.226578	30.406808	111.22100411383896	30.40935871040911	111.226578 30.406808	汽车服务	充电站	充电站
国家电网汽车充电站(宜昌市秭归县郭家坝烟灯堡村充电站)	汽车服务;充电站;充电站	011100	郭家坝镇	0717-6771590	湖北省	宜昌市	秭归县	110.75045	30.919641	110.74526554389146	30.92198933470557	110.75045 30.919641	汽车服务	充电站	充电站
紫阳电动汽车充电站	汽车服务;充电站;充电站	011100	紫阳路紫阳二生活区北侧约40米	[]	湖北省	宜昌市	点军区	111.264046	30.736714	111.25842283366708	30.739151930414675	111.264046 30.736714	汽车服务	充电站	充电站
