name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
国家电网汽车充电站(湖北省恩施咸丰县坪坝营森林公园停车场充电站)	汽车服务;充电站;充电站	011100	坪坝营森林公园停车场	0718-8264264	湖北省	恩施土家族苗族自治州	咸丰县	108.982055	29.463923	108.97761854943192	29.46669524811689	108.982055 29.463923	汽车服务	充电站	充电站
国家电网汽车充电站(恩施来凤百福司富源农庄充电站)	汽车服务;充电站;充电站	011100	百福司富源农庄	[]	湖北省	恩施土家族苗族自治州	来凤县	109.19304	29.21699	109.1883644302996	29.219802000530056	109.19304 29.21699	汽车服务	充电站	充电站
国家电网汽车充电站(来凤百福司落印谭农家大院充电站)	汽车服务;充电站;充电站	011100	百福司落印谭农家大院	[]	湖北省	恩施土家族苗族自治州	来凤县	109.25753	29.216291	109.25287928610776	29.219156882719187	109.25753 29.216291	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省恩施咸丰县唐崖镇唐崖路停车场充电站)	汽车服务;充电站;充电站	011100	唐崖大道	[]	湖北省	恩施土家族苗族自治州	咸丰县	108.999268	29.702924	108.99474558021954	29.70556590395972	108.999268 29.702924	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省恩施咸丰县唐崖镇唐崖路停车场充电站)	汽车服务;充电站;充电站	011100	唐崖大道	[]	湖北省	恩施土家族苗族自治州	咸丰县	108.99928	29.702978	108.99475752729398	29.705619857200265	108.99928 29.702978	汽车服务	充电站	充电站
咸丰服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	S79宣黔高速附近	0718-8264264	湖北省	恩施土家族苗族自治州	咸丰县	109.127114	29.664038	109.1223183576342	29.666516416129888	109.127114 29.664038	汽车服务	充电站	充电站
咸丰服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	恩黔高速咸丰服务区(恩施方向)停车场	0718-8264264	湖北省	恩施土家族苗族自治州	咸丰县	109.128873	29.662499	109.124078717829	29.664979805177904	109.128873 29.662499	汽车服务	充电站	充电站
特来电充电站(咸丰县老政府大院停车场)	汽车服务;充电站;充电站	011100	高乐山镇沿河路老政府大院	15307266463	湖北省	恩施土家族苗族自治州	咸丰县	109.15288	29.678669	109.14811112647772	29.6811820560442	109.15288 29.678669	汽车服务	充电站	充电站
特来电汽车充电站(咸丰县老县委会小区停车场)	汽车服务;充电站;充电站	011100		[]	湖北省	恩施土家族苗族自治州	咸丰县	109.150163	29.676398	109.14539056356908	29.67890687039775	109.150163 29.676398	汽车服务	充电站	充电站
特来电充电站(咸丰县老县委会小区停车场)	汽车服务;充电站;充电站	011100	恩施州民族广场老县委会小区	15307266463	湖北省	恩施土家族苗族自治州	咸丰县	109.151272	29.677383	109.14650099697042	29.67989355123755	109.151272 29.677383	汽车服务	充电站	充电站
特来电充电站(咸丰县南门小区木材公司停车场)	汽车服务;充电站;充电站	011100	高乐山镇南门击鼓寨304号	15307266463	湖北省	恩施土家族苗族自治州	咸丰县	109.152517	29.683067	109.14774730338198	29.68557847850497	109.152517 29.683067	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省恩施咸丰县卢家沟公园停车场充电站)	汽车服务;充电站;充电站	011100	卢家沟公园停车场内	0718-8264264	湖北省	恩施土家族苗族自治州	咸丰县	109.140503	29.674268	109.13571876644323	29.676761808094987	109.140503 29.674268	汽车服务	充电站	充电站
