name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
湘口停车区国家电网汽车充电站	汽车服务;充电站;充电站	011100	S13(武监高速)	13707195598	湖北省	武汉市	汉南区	113.887011	30.276581	113.88156096139286	30.27930344580926	113.887011 30.276581	汽车服务	充电站	充电站
湘口停车区国家电网汽车充电站	汽车服务;充电站;充电站	011100	Ｓ１３武监高速与湘口停车区交叉口西南约240米	[]	湖北省	武汉市	汉南区	113.886337	30.278414	113.88088581506771	30.28113585084318	113.886337 30.278414	汽车服务	充电站	充电站
特来电充电站(武汉汉南通用机场)	汽车服务;充电站;充电站	011100	场前横路与机场路交叉路口往东约90米	[]	湖北省	武汉市	汉南区	114.061339	30.249964	114.05563646779112	30.25235056060798	114.061339 30.249964	汽车服务	充电站	充电站
万马爱充充电站(汉南区邓南街道办)	汽车服务;充电站;充电站	011100	邓家口正街118号	[]	湖北省	武汉市	汉南区	113.983354	30.300178	113.97782361097204	30.30276600951654	113.983354 30.300178	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省武汉市汉南区湘隆小区商业街公共充电站)	汽车服务;充电站;充电站	011100	晨曦路172号	[]	湖北省	武汉市	汉南区	113.85951	30.259125	113.8540065258957	30.261818861371378	113.85951 30.259125	汽车服务	充电站	充电站
特来电充电站(武汉汉南普洛斯物流园)	汽车服务;充电站;充电站	011100	通江二路与幸福园路交叉口西320米	[]	湖北省	武汉市	汉南区	114.048053	30.289038	114.04236558041204	30.291446197780687	114.048053 30.289038	汽车服务	充电站	充电站
特来电充电站(武汉汉南普洛斯物流园)	汽车服务;充电站;充电站	011100	通江二路普洛斯物流园附近	4001300001	湖北省	武汉市	汉南区	114.049068	30.29044	114.04337877298984	30.292845905316817	114.049068 30.29044	汽车服务	充电站	充电站
特来电充电站(武汉东城垸乘用车)	汽车服务;充电站;充电站	011100	东荆街46东荆街46	[]	湖北省	武汉市	汉南区	113.919702	30.342814	113.9142679612221	30.345525991642354	113.919702 30.342814	汽车服务	充电站	充电站
依威能源汽车充电站(汉南家园)	汽车服务;充电站;充电站	011100	纱帽街道汉南大道39号	[]	湖北省	武汉市	汉南区	114.078142	30.302703	114.07242325735128	30.30506330832876	114.078142 30.302703	汽车服务	充电站	充电站
依威能源汽车充电站(幸福家园一期)	汽车服务;充电站;充电站	011100	纱帽街道薇湖路489号	4001800910	湖北省	武汉市	汉南区	114.06706	30.30195	114.06134738778536	30.30432310480015	114.06706 30.30195	汽车服务	充电站	充电站
依威能源汽车充电站(幸福家园二期)	汽车服务;充电站;充电站	011100	纱帽街道薇湖路497号	4001800910	湖北省	武汉市	汉南区	114.066287	30.303038	114.06057494317704	30.30541206819786	114.066287 30.303038	汽车服务	充电站	充电站
依威能源汽车充电站(和谐家园)	汽车服务;充电站;充电站	011100	纱帽街道朱家山路99号	4001800910	湖北省	武汉市	汉南区	114.078297	30.314729	114.07257715491322	30.317087756118774	114.078297 30.314729	汽车服务	充电站	充电站
中山舰博物馆充电站	汽车服务;充电站;充电站	011100	中山舰博物馆	[]	湖北省	武汉市	江夏区	114.134305	30.347522	114.12864456971386	30.34989327890468	114.134305 30.347522	汽车服务	充电站	充电站
特来电充电站(武汉风向保标绿地城)	汽车服务;充电站;充电站	011100	马影河大道绿地城奥特莱斯	[]	湖北省	武汉市	汉南区	114.06136	30.334183	114.05565002537487	30.336560670445166	114.06136 30.334183	汽车服务	充电站	充电站
万马爱充充电站(汉南区东荆街道办)	汽车服务;充电站;充电站	011100	东荆街23号	[]	湖北省	武汉市	汉南区	113.918056	30.34324	113.912622128908	30.345953194104457	113.918056 30.34324	汽车服务	充电站	充电站
国网碧桂园凤凰酒店电动汽车充电站	汽车服务;充电站;充电站	011100	马影河大道碧桂园凤凰酒店停车场	13707195598	湖北省	武汉市	汉南区	114.089959	30.35106	114.08423643720327	30.35340638598825	114.089959 30.35106	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省武汉市汉南区锦绣鑫城公共充电站)	汽车服务;充电站;充电站	011100	银莲路175号	[]	湖北省	武汉市	汉南区	114.075441	30.308011	114.06972269484156	30.310373298158755	114.075441 30.308011	汽车服务	充电站	充电站
任我充中山舰旅游区管理处充电站	汽车服务;充电站;充电站	011100	纸金路附近	[]	湖北省	武汉市	江夏区	114.13272	30.34436	114.12705624670834	30.34672965729841	114.13272 30.34436	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省武汉市汉南区御河兰亭公共充电站)	汽车服务;充电站;充电站	011100	汪杨郭路与朱家山路交叉路口往东约50米	[]	湖北省	武汉市	汉南区	114.08091	30.317226	114.07518943470188	30.31958226250339	114.08091 30.317226	汽车服务	充电站	充电站
任我充汽车充电站(任我充中山舰旅游区管理处)	汽车服务;充电站;充电站	011100	中山舰博物馆江夏区	4001185655	湖北省	武汉市	江夏区	114.132103	30.344114	114.1264378888563	30.34648289900837	114.132103 30.344114	汽车服务	充电站	充电站
云快充汽车充电站(索河政府充电站)	汽车服务;充电站;充电站	011100	索河街索河政府	4008288517	湖北省	武汉市	蔡甸区	113.902414	30.523302	113.89695969329448	30.52597967503824	113.902414 30.523302	汽车服务	充电站	充电站
云快充汽车充电站(石港村停车场充电站)	汽车服务;充电站;充电站	011100	索河街道石港村村委会	4008288517	湖北省	武汉市	蔡甸区	113.876333	30.49957	113.87084585257476	30.502241641334653	113.876333 30.49957	汽车服务	充电站	充电站
凤凰工业园停车厂充电站	汽车服务;充电站;充电站	011100	黄陵大道与凤亭二路交叉路口往北约180米	[]	湖北省	武汉市	蔡甸区	114.082942	30.415067	114.0772126299625	30.41740544891753	114.082942 30.415067	汽车服务	充电站	充电站
特来电充电站(武汉凤凰工业园停车场)	汽车服务;充电站;充电站	011100	消防救援站南侧	4001300001	湖北省	武汉市	蔡甸区	114.082608	30.415281	114.07687862027544	30.417619635318733	114.082608 30.415281	汽车服务	充电站	充电站
星星充电汽车充电站(武汉金润明珠花园地下室)	汽车服务;充电站;充电站	011100	武汉经济技术开发区军山街官莲湖路28号	4008280768	湖北省	武汉市	蔡甸区	114.079968	30.410588	114.07423931264212	30.41292962800422	114.079968 30.410588	汽车服务	充电站	充电站
依威能源汽车充电站(蒲潭社区一期)	汽车服务;充电站;充电站	011100	黄陵新街蒲潭社区一期	4001800910	湖北省	武汉市	蔡甸区	114.073977	30.402995	114.06825094147848	30.40534389246	114.073977 30.402995	汽车服务	充电站	充电站
依威能源汽车充电站(蒲潭社区三期)	汽车服务;充电站;充电站	011100	黄陵新街蒲潭社区三期	4001800910	湖北省	武汉市	蔡甸区	114.072706	30.402729	114.06698061519565	30.40507936349115	114.072706 30.402729	汽车服务	充电站	充电站
依威能源汽车充电站(蒲潭社区二期)	汽车服务;充电站;充电站	011100	黄陵新街蒲潭社区二期	4001800910	湖北省	武汉市	蔡甸区	114.07122	30.402122	114.06549553242426	30.4044742323913	114.07122 30.402122	汽车服务	充电站	充电站
