name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
贵元充电站	汽车服务;充电站;充电站	011100	人民大道与李家湾路交叉口东北260米	[]	湖北省	荆州市	松滋市	111.481199	30.054006	111.47544398257698	30.05653337854979	111.481199 30.054006	汽车服务	充电站	充电站
大同服务区国家电网充电站	汽车服务;充电站;充电站	011100	岳宜高速大同服务区	[]	湖北省	荆州市	公安县	112.036896	29.917164	112.03106688626922	29.91963606818675	112.036896 29.917164	汽车服务	充电站	充电站
大同服务区国家电网充电站	汽车服务;充电站;充电站	011100	大同服务区	[]	湖北省	荆州市	公安县	112.034695	29.914682	112.02887202038036	29.91715968788981	112.034695 29.914682	汽车服务	充电站	充电站
夹竹园服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	二广高速夹竹园服务区西侧	[]	湖北省	荆州市	公安县	112.129729	30.017361	112.12384007921068	30.01977061063985	112.129729 30.017361	汽车服务	充电站	充电站
夹竹园服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	二广高速夹竹园服务区东侧	[]	湖北省	荆州市	公安县	112.132154	30.016945	112.12626907831748	30.019357628400293	112.132154 30.016945	汽车服务	充电站	充电站
南海服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	岳宜高速南海服务区宜昌方向	[]	湖北省	荆州市	松滋市	111.804017	30.087051	111.79832131193788	30.089680017790315	111.804017 30.087051	汽车服务	充电站	充电站
通运公共汽车有限责任公司杨公堤汽车充电站	汽车服务;充电站;充电站	011100	公石路16号	[]	湖北省	荆州市	公安县	112.239553	30.054612	112.23386660439915	30.057182666559743	112.239553 30.054612	汽车服务	充电站	充电站
潺陵客运站充电站	汽车服务;充电站;充电站	011100	斗湖堤镇潺陵大道37号通运客运充电站	[]	湖北省	荆州市	公安县	112.214096	30.060237	112.20838060002166	30.06278661890647	112.214096 30.060237	汽车服务	充电站	充电站
国家电网充电站(阳江社区老人民医院)	汽车服务;充电站;充电站	011100	阳江社区老人民医院	[]	湖北省	荆州市	公安县	112.234057	30.056911	112.2283664601957	30.05947901894331	112.234057 30.056911	汽车服务	充电站	充电站
国家电网充电站(湖北省荆州市公安县九阳大酒店站)	汽车服务;充电站;充电站	011100	斗湖堤镇孱陵大道九阳大酒店	[]	湖北省	荆州市	公安县	112.213847	30.062169	112.20813103540078	30.064718307668848	112.213847 30.062169	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆州市公安县孱陵大道西充电站)	汽车服务;充电站;充电站	011100	斗湖堤镇孱陵大道国土资源局旁停车场	[]	湖北省	荆州市	公安县	112.214433	30.057595	112.2087183631683	30.060145036956	112.214433 30.057595	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆州市公安县阳江社区老人民医院充电站)	汽车服务;充电站;充电站	011100	荆江河路与文明巷交叉口西约80米	[]	湖北省	荆州市	公安县	112.234626	30.05732	112.2289358936176	30.05988834362984	112.234626 30.05732	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆州市公安县阳江社区老人民医院充电站)	汽车服务;充电站;充电站	011100	阳江社区老人民医院	[]	湖北省	荆州市	公安县	112.234588	30.057277	112.22889786643697	30.059845322327057	112.234588 30.057277	汽车服务	充电站	充电站
南海服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	岳宜高速南海服务区南侧	[]	湖北省	荆州市	松滋市	111.801098	30.084931	111.79539685467944	30.087555247025485	111.801098 30.084931	汽车服务	充电站	充电站
人才公寓交流汽车充电站	汽车服务;充电站;充电站	011100	人才公寓	[]	湖北省	荆州市	松滋市	111.75178	30.176013	111.74601869646058	30.178591168308262	111.75178 30.176013	汽车服务	充电站	充电站
人才公寓交流汽车充电站	汽车服务;充电站;充电站	011100	贺炳炎大道与玉岭北路交叉口西北240米	[]	湖北省	荆州市	松滋市	111.751832	30.176026	111.74607069803756	30.17860417074036	111.751832 30.176026	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆州松滋市贺炳炎大道言程公园充电站)	汽车服务;充电站;充电站	011100	新江口街道贺炳炎大道言程公园	[]	湖北省	荆州市	松滋市	111.75375	30.177681	111.74798874003592	30.18025929491248	111.75375 30.177681	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆州松滋市高成大道金融创新大厦充电站)	汽车服务;充电站;充电站	011100	新江口街道高成大道金融创新大厦	[]	湖北省	荆州市	松滋市	111.7569	30.160664	111.75114086247774	30.163243365507647	111.7569 30.160664	汽车服务	充电站	充电站
洋阳电动汽车充电站	汽车服务;充电站;充电站	011100	新江口大桥东一千米高水塔正对面寻常风味正对面金松大道	13797395852;17763077315	湖北省	荆州市	松滋市	111.787373	30.189132	111.78163946439592	30.191734489377858	111.787373 30.189132	汽车服务	充电站	充电站
万联人和路广场汽车充电站	汽车服务;充电站;充电站	011100	人和路与玉岭南路交叉口西北160米	[]	湖北省	荆州市	松滋市	111.770039	30.175001	111.76428608783672	30.177586409711694	111.770039 30.175001	汽车服务	充电站	充电站
松滋国家电网汽车充电站	汽车服务;充电站;充电站	011100	松滋市稻谷溪城市湿地公园正门以东	13720253123	湖北省	荆州市	松滋市	111.788064	30.149226	111.78233492958968	30.151830510647063	111.788064 30.149226	汽车服务	充电站	充电站
