name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
星星充电站(湖北拓普斯智能装备有限公司)	汽车服务;充电站;充电站	011100	至信大道77号	4008280768	湖北省	荆门市	掇刀区	112.177911	30.860104	112.17205100797442	30.86238282675028	112.177911 30.860104	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆门市沙洋县五里镇油菜花小镇城市公共充电站)	汽车服务;充电站;充电站	011100	五里镇油菜花小镇	[]	湖北省	荆门市	沙洋县	112.24403	30.72548	112.23828780248554	30.72791235478216	112.24403 30.72548	汽车服务	充电站	充电站
李宁工业园充电站	汽车服务;充电站;充电站	011100	凤凰大道北50米	[]	湖北省	荆门市	掇刀区	112.180527	30.922585	112.17466758615964	30.92483265200987	112.180527 30.922585	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆门市爱飞客小镇电动汽车快充站)	汽车服务;充电站;充电站	011100	漳河新区爱飞客大道游客中心停车场	13593788400	湖北省	荆门市	东宝区	112.094348	30.983236	112.08834291873356	30.985342540794186	112.094348 30.983236	汽车服务	充电站	充电站
汽车充电站(蔚来超充站荆门漳河万达广场)	汽车服务;充电站;充电站	011100	漳河万达广场地下停车场	[]	湖北省	荆门市	掇刀区	112.188016	30.982704	112.18216848757362	30.98493018004218	112.188016 30.982704	汽车服务	充电站	充电站
汽车充电站(荆门星球商业中心小鹏超充站)	汽车服务;充电站;充电站	011100	掇刀石街道星球商业中心	4008193388	湖北省	荆门市	掇刀区	112.207574	31.00013	112.20176532066016	31.00237769282468	112.207574 31.00013	汽车服务	充电站	充电站
星星充电汽车充电站(中国石化荆门双泉加油站)	汽车服务;充电站;充电站	011100	培公大道西100米,双泉加油站	4008280768	湖北省	荆门市	掇刀区	112.22175	30.969366	112.21596658099436	30.971648866230915	112.22175 30.969366	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆门市团林镇天逸佳园小区城市公共充电站)	汽车服务;充电站;充电站	011100	团林镇天逸佳园小区	[]	湖北省	荆门市	掇刀区	112.18713	30.890903	112.18128867625364	30.893181112888985	112.18713 30.890903	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省荆门市东宝区荆门供电公司营销部办公大楼城市公共充电站)	汽车服务;充电站;充电站	011100	荆门供电公司营销部办公大楼	[]	湖北省	荆门市	东宝区	112.20301	31.0193	112.1971910026904	31.02152988529656	112.20301 31.0193	汽车服务	充电站	充电站
特来电充电站(荆门市东宝区新晨御苑)	汽车服务;充电站;充电站	011100	象山大道新晨御苑小区	13337485705	湖北省	荆门市	东宝区	112.196524	31.047827	112.19068928211225	31.05003020692685	112.196524 31.047827	汽车服务	充电站	充电站
