name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
寺坪服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	高速寺坪服务区南侧	18972222119	湖北省	襄阳市	保康县	111.12413	31.992265	111.11831698507171	31.99423526657366	111.12413 31.992265	汽车服务	充电站	充电站
寺坪服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	呼北高速寺坪服务区北侧	[]	湖北省	襄阳市	保康县	111.125458	31.994153	111.11964528366902	31.99612510495032	111.125458 31.994153	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市保康县公交停车场充电站)	汽车服务;充电站;充电站	011100	城关镇汽车客运公司公交分公司停车场院内	18972222119	湖北省	襄阳市	保康县	111.257408	31.900406	111.25169115930198	31.902522638364537	111.257408 31.900406	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市保康县收费站出入口停车场充电站)	汽车服务;充电站;充电站	011100	保康县收费站出入口东侧停车场内	18972222119	湖北省	襄阳市	保康县	111.275138	31.839193	111.26940066961274	31.84128572741264	111.275138 31.839193	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县东巩镇250省道充电点)	汽车服务;充电站;充电站	011100	250省道东巩镇陆坪村春秋寨停车场旁	18972222119	湖北省	襄阳市	南漳县	111.885483	31.367345	111.87983197633773	31.369633926888643	111.885483 31.367345	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县巡检镇充电点)	汽车服务;充电站;充电站	011100	224省道巡检镇堰堤坪村退役军人服务站旁	18972222119	湖北省	襄阳市	南漳县	111.6295	31.384558	111.62383821586825	31.386831271847587	111.6295 31.384558	汽车服务	充电站	充电站
店垭服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	呼北高速店垭服务区南侧	18972222119	湖北省	襄阳市	保康县	111.405032	31.394157	111.39904724386308	31.396081100430333	111.405032 31.394157	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县清河管理区346国道充电站)	汽车服务;充电站;充电站	011100	清河管理区346国道清河公路服务区停车场内	18972222119	湖北省	襄阳市	南漳县	111.985058	31.678101	111.97923661690974	31.680217157856795	111.985058 31.678101	汽车服务	充电站	充电站
店垭服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	G59呼北高速附近	18972222119	湖北省	襄阳市	保康县	111.408244	31.394055	111.40225822124376	31.395979733125	111.408244 31.394055	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市保康县名茶路店垭车站充电点)	汽车服务;充电站;充电站	011100	名茶路47号店垭车站停车场	18972222119	湖北省	襄阳市	保康县	111.346775	31.398665	111.34089045514558	31.400644854788755	111.346775 31.398665	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市保康县马良镇陈家湾风景区停车场充电点)	汽车服务;充电站;充电站	011100	陈家湾092县道陈家湾风景区停车场	18972222119	湖北省	襄阳市	保康县	111.336272	31.53175	111.3304046995582	31.53372425033991	111.336272 31.53175	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市宜城250省道正大饲料(宜城)有限公司北)	汽车服务;充电站;充电站	011100	鄢城供电所停车场内	18972222119	湖北省	襄阳市	宜城市	112.233528	31.671287	112.2276944806442	31.67334912144679	112.233528 31.671287	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县长坪镇房管理分局充电点)	汽车服务;充电站;充电站	011100	346国道长坪镇文化体育服务中心旁	18972222119	湖北省	襄阳市	南漳县	111.565072	31.785567	111.5593864752434	31.787818351745724	111.565072 31.785567	汽车服务	充电站	充电站
赵湾叁艾特充电站	汽车服务;充电站;充电站	011100	赵湾乡街道叁艾特科技馆	18671476089	湖北省	襄阳市	谷城县	111.440182	31.988643	111.43416120799692	31.99062565442448	111.440182 31.988643	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县九集镇305省道充电站)	汽车服务;充电站;充电站	011100	九集镇305省道	18972222119	湖北省	襄阳市	南漳县	112.01601	31.846273	112.01007048272152	31.848319552754603	112.01601 31.846273	汽车服务	充电站	充电站
特来电充电站(襄阳公交欧庙)	汽车服务;充电站;充电站	011100		[]	湖北省	襄阳市	襄城区	112.153867	31.857902	112.14785919915624	31.85986888165929	112.153867 31.857902	汽车服务	充电站	充电站
南漳服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100		18972222119	湖北省	襄阳市	南漳县	111.89684	31.806359	111.89115741105988	31.80863225565673	111.89684 31.806359	汽车服务	充电站	充电站
麻安高速南漳服务区(安康方向)充电站	汽车服务;充电站;充电站	011100	南漳服务区与G4213麻安高速交叉口西280米	18972222119	湖北省	襄阳市	南漳县	111.897602	31.8083	111.89191951642344	31.810573744798067	111.897602 31.8083	汽车服务	充电站	充电站
国家电网充电站	汽车服务;充电站;充电站	011100	发展大道108号	[]	湖北省	襄阳市	南漳县	111.869642	31.76262	111.86393611419832	31.76486601039697	111.869642 31.76262	汽车服务	充电站	充电站
国家电网充电站(南漳县发展大道即高物流园停车场)	汽车服务;充电站;充电站	011100	发展大道108号即高物流园停车场内	[]	湖北省	襄阳市	南漳县	111.8697	31.762924	111.8639941768016	31.765170124885632	111.8697 31.762924	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县发展大道即高物流园停车场充电站)	汽车服务;充电站;充电站	011100	发展大道108号即高物流园停车场内	18972222119	湖北省	襄阳市	南漳县	111.868675	31.762547	111.86296760513072	31.76479180149997	111.868675 31.762547	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省襄阳市南漳县九集镇龙门营业所充电点)	汽车服务;充电站;充电站	011100	九集镇中国邮政储蓄银行(南漳县龙门营业所)	18972222119	湖北省	襄阳市	南漳县	111.844311	31.854432	111.83854847022538	31.856655127179145	111.844311 31.854432	汽车服务	充电站	充电站
