name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
鄂咸高速梁子服务区充电站(鄂州方向)	汽车服务;充电站;充电站	011100	梁子湖服务区与S31鄂咸高速出口交叉口西南40米	[]	湖北省	鄂州市	梁子湖区	114.661199	30.252183	114.65609857209256	30.254830669265093	114.661199 30.252183	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市梧桐湖新区管委会公共停车场充电站)	汽车服务;充电站;充电站	011100	孟宗路与陶侃路交叉路口旁	0711-3832228	湖北省	鄂州市	梁子湖区	114.606538	30.329033	114.60150380912734	30.331742583142777	114.606538 30.329033	汽车服务	充电站	充电站
鄂州服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	福银高速鄂州服务区(银川方向)快充站	0711-3832228	湖北省	鄂州市	华容区	114.5927	30.450574	114.58765448471492	30.45326176779885	114.5927 30.450574	汽车服务	充电站	充电站
鄂州服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	福银高速鄂州服务区快充站(银川方向)	0711-3832228	湖北省	鄂州市	华容区	114.59441	30.448456	114.5893653640302	30.45114459692736	114.59441 30.448456	汽车服务	充电站	充电站
星星充电汽车充电站(金地艺境)	汽车服务;充电站;充电站	011100	发展大道以东	4008280768	湖北省	鄂州市	华容区	114.621248	30.395707	114.61619945906102	30.398395739190853	114.621248 30.395707	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市天龙山公园)	汽车服务;充电站;充电站	011100	葛店开发区高新大道佛罗伦萨小镇公共停车场	0711-3832228	湖北省	鄂州市	华容区	114.661103	30.486305	114.65598336994408	30.48891236850556	114.661103 30.486305	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市天龙山公园公共充电站)	汽车服务;充电站;充电站	011100	葛店开发区高新大道佛罗伦萨小镇公共停车场	0711-3832228	湖北省	鄂州市	华容区	114.661101	30.486309	114.65598137370516	30.488916371113305	114.661101 30.486309	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市葛店开发区佛罗伦萨停车场快充站)	汽车服务;充电站;充电站	011100	葛店开发区高新大道佛罗伦萨小镇公共停车场	0711-3832228	湖北省	鄂州市	华容区	114.661392	30.486234	114.6562717838067	30.48884084823841	114.661392 30.486234	汽车服务	充电站	充电站
葛店停车区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	武鄂高速葛店服务区快充站鄂州方向	0711-3832228	湖北省	鄂州市	华容区	114.639243	30.514701	114.63416155236906	30.51733742517579	114.639243 30.514701	汽车服务	充电站	充电站
葛店停车区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	武鄂高速华容葛店停车区(武汉方向)	0711-3832228	湖北省	鄂州市	华容区	114.640997	30.515682	114.63591263093812	30.51831545046378	114.640997 30.515682	汽车服务	充电站	充电站
国家电网汽车充电站(鄂州市鄂城区碧石营业厅充电站)	汽车服务;充电站;充电站	011100	江碧路583号	[]	湖北省	鄂州市	鄂城区	114.866138	30.286683	114.86108119396152	30.289369691142376	114.866138 30.286683	汽车服务	充电站	充电站
国家电网汽车充电站(鄂州市鄂城区供电公司碧石营业厅充电站)	汽车服务;充电站;充电站	011100	江碧路国家电网营业厅门口	[]	湖北省	鄂州市	鄂城区	114.870898	30.283869	114.86584780597848	30.286561969115446	114.870898 30.283869	汽车服务	充电站	充电站
国家电网汽车充电站(鄂州市鄂城区供电公司泽林营业厅充电站)	汽车服务;充电站;充电站	011100	江碧路610号	[]	湖北省	鄂州市	鄂城区	114.863754	30.344646	114.85868892994004	30.347322249924385	114.863754 30.344646	汽车服务	充电站	充电站
国家电网汽车充电站(青天湖公园公共)	汽车服务;充电站;充电站	011100	鄂州市经济开发区青天湖路北侧	0711-3832228	湖北省	鄂州市	鄂城区	114.901296	30.351578	114.89625873218128	30.354281744954942	114.901296 30.351578	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市葛山)	汽车服务;充电站;充电站	011100	葛山大道(锦绣华林西南侧约150米)	0711-3832228	湖北省	鄂州市	鄂城区	114.901352	30.351584	114.89631472535048	30.354287745002527	114.901352 30.351584	汽车服务	充电站	充电站
国家电网充电站(鄂城区供电公司杨叶营业厅)	汽车服务;充电站;充电站	011100	杨叶镇杨叶村十四组(燕杨大道427号)	[]	湖北省	鄂州市	鄂城区	115.069959	30.304598	115.064488351327	30.30695286387145	115.069959 30.304598	汽车服务	充电站	充电站
国家电网汽车充电站(国网黄石花湖公交充电站)	汽车服务;充电站;充电站	011100	花湖镇16路公交车终点站停车场内	[]	湖北省	鄂州市	鄂城区	115.028025	30.2654	115.02266495268545	30.26784534460516	115.028025 30.2654	汽车服务	充电站	充电站
国家电网汽车充电站(鄂州市鄂城区供电公司杨叶营业厅充电站)	汽车服务;充电站;充电站	011100	１１２省道与２３５省道交叉口北约280米	[]	湖北省	鄂州市	鄂城区	115.071607	30.309739	115.06613327966092	30.312091238582298	115.071607 30.309739	汽车服务	充电站	充电站
黄龙服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	武鄂高速黄龙服务区快充站(黄石方向)	0711-3832228	湖北省	鄂州市	鄂城区	114.966317	30.333831	114.9611682762334	30.33644786631794	114.966317 30.333831	汽车服务	充电站	充电站
黄龙服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	S7武鄂高速附近	0711-3832228	湖北省	鄂州市	鄂城区	114.968498	30.335267	114.96334224363648	30.33787798135864	114.968498 30.335267	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市华容区客运站公交充电站)	汽车服务;充电站;充电站	011100	公交客运站	[]	湖北省	鄂州市	华容区	114.726747	30.405216	114.72151693584684	30.40773758672721	114.726747 30.405216	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省鄂州市鄂城区江碧路斑马网约车充电站)	汽车服务;充电站;充电站	011100	江碧路康华汽修厂旁	[]	湖北省	鄂州市	鄂城区	114.869152	30.379796	114.86409165027813	30.38247362276466	114.869152 30.379796	汽车服务	充电站	充电站
