name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
大洪山服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	麻安高速大洪山服务区南侧	0722-3067365	湖北省	随州市	随县	113.118665	31.616635	113.1124847425168	31.61851103179395	113.118665 31.616635	汽车服务	充电站	充电站
均川服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	均川服务区西侧	0722-3067365	湖北省	随州市	随县	113.20891	31.604334	113.20288182711543	31.6063545977365	113.20891 31.604334	汽车服务	充电站	充电站
均川服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	均川服务区东侧	0722-3067365	湖北省	随州市	随县	113.211138	31.601678	113.20511325273496	31.60370165218725	113.211138 31.601678	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省随州市随县洪山镇西游记公园停车场充电站)	汽车服务;充电站;充电站	011100	洪山镇西游记公园	0722-3067365	湖北省	随州市	随县	112.869424	31.614462	112.8637205120819	31.61668157829398	112.869424 31.614462	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省随州市随县长岗镇大洪山风景名胜区停车场充电站)	汽车服务;充电站;充电站	011100	长岗镇大洪山风景名胜区	0722-3067375	湖北省	随州市	随县	112.97829	31.52535	112.97244152295184	31.527473783334457	112.97829 31.52535	汽车服务	充电站	充电站
大洪山服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	均川镇麻安高速大洪山服务区北侧	[]	湖北省	随州市	随县	113.119073	31.618014	113.1128929118833	31.61989036961798	113.119073 31.618014	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省随州市随县洪山镇洪山路国网国土资源所旁充电站)	汽车服务;充电站;充电站	011100	洪山镇洪山路国网供电营业厅(国土资源所旁)充电站	0722-3067365	湖北省	随州市	随县	112.916726	31.669968	112.91102093421532	31.67220498944768	112.916726 31.669968	汽车服务	充电站	充电站
随州服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	福银高速随州服务区(银川方向)快充站	18107227699	湖北省	随州市	随县	113.121717	31.79987	113.11552157092964	31.80176525570936	113.121717 31.79987	汽车服务	充电站	充电站
随州服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	随州服务区	[]	湖北省	随州市	随县	113.118843	31.799994	113.11264525702028	31.80188672330446	113.118843 31.799994	汽车服务	充电站	充电站
星星充电汽车充电站(银苑A座)	汽车服务;充电站;充电站	011100	白云大道白鹤山银苑地面停车场	4008280768	湖北省	随州市	曾都区	113.40795	31.681322	113.4017272279384	31.68318744719567	113.40795 31.681322	汽车服务	充电站	充电站
