name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
国家电网汽车充电站(湖北省黄冈市武穴市田镇马口工业园充电站)	汽车服务;充电站;充电站	011100	田镇马口工业园	[]	湖北省	黄冈市	武穴市	115.408714	29.954573	115.403216578568	29.956918275789505	115.408714 29.954573	汽车服务	充电站	充电站
蕲春南服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	沪渝高速蕲春南服务区内	0713-8683505	湖北省	黄冈市	蕲春县	115.358388	30.08751	115.35292050121473	30.08989109762446	115.358388 30.08751	汽车服务	充电站	充电站
电瓶车快速充电站	汽车服务;充电站;充电站	011100	永宁大道东9号	[]	湖北省	黄冈市	武穴市	115.563345	29.847931	115.55826682954309	29.85062112708724	115.563345 29.847931	汽车服务	充电站	充电站
麻阳高速武穴服务区快充站(阳新方向)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	黄冈市	武穴市	115.531639	29.899937	115.5264738577936	29.902557593590444	115.531639 29.899937	汽车服务	充电站	充电站
国家电网汽车充电站	汽车服务;充电站;充电站	011100	武穴中学旁	[]	湖北省	黄冈市	武穴市	115.606585	29.876399	115.60154270288096	29.87911190998915	115.606585 29.876399	汽车服务	充电站	充电站
国家电网充电站(仙姑山服务区麻城方向直流站)	汽车服务;充电站;充电站	011100	S29麻阳高速与武穴服务区交叉口东北540米	[]	湖北省	黄冈市	武穴市	115.53318	29.898218	115.52801984193428	29.900842643488573	115.53318 29.898218	汽车服务	充电站	充电站
特来电充电站(黄冈武穴市金港汽车公园)	汽车服务;充电站;充电站	011100	刊江大道与龙港路交叉口东160米	4001300001	湖北省	黄冈市	武穴市	115.545552	29.863062	115.54043091096209	29.86571792556946	115.545552 29.863062	汽车服务	充电站	充电站
国家电网汽车充电站(麻阳高速仙姑山服务区快充站阳新方向)	汽车服务;充电站;充电站	011100	S29麻阳高速与武穴服务区交叉口北540米	[]	湖北省	黄冈市	武穴市	115.53116	29.898958	115.5259934209612	29.901577382886057	115.53116 29.898958	汽车服务	充电站	充电站
特来电汽车充电站(黄冈武穴市金港汽车公园)	汽车服务;充电站;充电站	011100	刊江大道与龙港路交叉口北80米	[]	湖北省	黄冈市	武穴市	115.543868	29.863297	115.538742280715	29.86594917126055	115.543868 29.863297	汽车服务	充电站	充电站
特来电汽车充电站(黄冈武穴市金港汽车公园充电站)	汽车服务;充电站;充电站	011100	刊江大道与龙港路交叉口东180米	4001300001	湖北省	黄冈市	武穴市	115.54566	29.862986	115.54053920934804	29.865642166792966	115.54566 29.862986	汽车服务	充电站	充电站
国家电网充电站(湖北省黄冈市武穴滨江公园站)	汽车服务;充电站;充电站	011100	滨江公园	[]	湖北省	黄冈市	武穴市	115.545298	29.843598	115.54017783094864	29.84625466419268	115.545298 29.843598	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市第一人民医院城市)	汽车服务;充电站;充电站	011100	武穴市第一人民医院	[]	湖北省	黄冈市	武穴市	115.588586	29.866802	115.58353994832744	29.86951534709524	115.588586 29.866802	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴皇家翡翠湾充电站)	汽车服务;充电站;充电站	011100	皇家翡翠湾	[]	湖北省	黄冈市	武穴市	115.60179	29.87603	115.59674807228542	29.8787442833038	115.60179 29.87603	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市政务服务中心城市)	汽车服务;充电站;充电站	011100	农业农村局旁公共停车场	[]	湖北省	黄冈市	武穴市	115.595148	29.866997	115.5901054424782	29.869712020065244	115.595148 29.866997	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市寻阳大道武穴中学城市)	汽车服务;充电站;充电站	011100	武穴大道与刊江大道交叉口北460米	[]	湖北省	黄冈市	武穴市	115.606684	29.876425	115.60164168228953	29.87913787047019	115.606684 29.876425	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市电子信息工业园大巴充电站)	汽车服务;充电站;充电站	011100	[]	[]	湖北省	黄冈市	武穴市	115.645076	29.983088	115.6399879634372	29.98575652055198	115.645076 29.983088	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市电子信息工业园大巴充电站)	汽车服务;充电站;充电站	011100	电子信息工业园	[]	湖北省	黄冈市	武穴市	115.64511	29.983134	115.64002190585842	29.985802464566063	115.64511 29.983134	汽车服务	充电站	充电站
小池服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	福银高速小池服务区	0713-8683505	湖北省	黄冈市	黄梅县	115.978042	29.800183	115.9730095554989	29.80277810157137	115.978042 29.800183	汽车服务	充电站	充电站
小池服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	福银高速小池服务区福州方向	[]	湖北省	黄冈市	黄梅县	115.978028	29.803369	115.97299533314217	29.8059638074944	115.978028 29.803369	汽车服务	充电站	充电站
兵头客运站汽车充电站	汽车服务;充电站;充电站	011100	吴楚大道与清江大道交叉路口往西约130米	[]	湖北省	黄冈市	黄梅县	115.942657	29.760723	115.93770807295311	29.76340705234812	115.942657 29.760723	汽车服务	充电站	充电站
国家电网汽车充电站(小池镇工业大道)	汽车服务;充电站;充电站	011100	小池镇工业大道	0713-8683505	湖北省	黄冈市	黄梅县	116.027473	29.772578	116.02229789456086	29.77503055832604	116.027473 29.772578	汽车服务	充电站	充电站
黄梅服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	Ｇ５０沪渝高速与黄梅服务区交叉口东南约180米	0713-8683505	湖北省	黄冈市	黄梅县	115.883825	30.032829	115.87886212570486	30.03552939180806	115.883825 30.032829	汽车服务	充电站	充电站
黄梅服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	G50沪渝高速附近	0713-8683505	湖北省	黄冈市	黄梅县	115.885641	30.033818	115.88068033052812	30.036519665966395	115.885641 30.033818	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市黄梅县东禅公园城市)	汽车服务;充电站;充电站	011100	东禅公园	[]	湖北省	黄冈市	黄梅县	115.938906	30.064277	115.93393797258796	30.06695324426541	115.938906 30.064277	汽车服务	充电站	充电站
国家电网充电站(湖北省黄冈市黄梅县东禅公园城市公共站)	汽车服务;充电站;充电站	011100	东禅公园	[]	湖北省	黄冈市	黄梅县	115.942232	30.063111	115.93725907145536	30.065781580386787	115.942232 30.063111	汽车服务	充电站	充电站
国家电网充电站(湖北省黄冈市龙感湖区春港路站)	汽车服务;充电站;充电站	011100	永安路与交通中路交叉口东南约80米	[]	湖北省	黄冈市	黄梅县	115.997773	29.879308	115.99267590565329	29.88183855776561	115.997773 29.879308	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市黄梅县沙岭西路充电站)	汽车服务;充电站;充电站	011100	沙岭路嘉隆广场-西区北侧约130米	13972728880;13972747222	湖北省	黄冈市	黄梅县	115.935111	30.074618	115.9301471919501	30.077300106432947	115.935111 30.074618	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市黄梅县晋梅大道黄梅公安局城市)	汽车服务;充电站;充电站	011100	晋梅大道黄梅公安局	[]	湖北省	黄冈市	黄梅县	115.945254	30.067265	115.94027575384844	30.069930029082386	115.945254 30.067265	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄冈市武穴市花桥镇工业园路充电站)	汽车服务;充电站;充电站	011100	花桥互通与308省道交叉口东南140米	[]	湖北省	黄冈市	武穴市	115.7354	30.018284	115.73017857935864	30.02081236547681	115.7354 30.018284	汽车服务	充电站	充电站
散花停车区国家电网充电站	汽车服务;充电站;充电站	011100	大广高速散花服务区大庆方向	[]	湖北省	黄冈市	浠水县	115.129558	30.286341	115.12408081423774	30.288699769971487	115.129558 30.286341	汽车服务	充电站	充电站
育丞电动汽车散花充电站	汽车服务;充电站;充电站	011100	红莲巢村委路口	[]	湖北省	黄冈市	浠水县	115.132396	30.285405	115.1269224949188	30.28776739745442	115.132396 30.285405	汽车服务	充电站	充电站
育丞添福庵村汽车充电站	汽车服务;充电站;充电站	011100	添福庵村委会院内	[]	湖北省	黄冈市	浠水县	115.138027	30.275516	115.13256228892374	30.27788704778465	115.138027 30.275516	汽车服务	充电站	充电站
育丞电动汽车马垅充电站	汽车服务;充电站;充电站	011100	马垅新村9号(沙龙大酒店隔壁)	[]	湖北省	黄冈市	浠水县	115.160324	30.299658	115.15489649619887	30.302063776889383	115.160324 30.299658	汽车服务	充电站	充电站
散花停车区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	大广高速散花服务区广州方向	[]	湖北省	黄冈市	浠水县	115.132831	30.295036	115.12735723485343	30.297397957859832	115.132831 30.295036	汽车服务	充电站	充电站
特来电充电站(人民银行)	汽车服务;充电站;充电站	011100	赤壁街道黄州大道52号	0713-8115891	湖北省	黄冈市	黄州区	114.881253	30.456311	114.87619950398071	30.45898476400569	114.881253 30.456311	汽车服务	充电站	充电站
特来电充电站(黄冈东坡大道旁生态停车场)	汽车服务;充电站;充电站	011100	东坡大道中转站南侧	0713-8115891	湖北省	黄冈市	黄州区	114.889101	30.460982	114.8840523605574	30.46365995099124	114.889101 30.460982	汽车服务	充电站	充电站
特来电充电站(区财政局)	汽车服务;充电站;充电站	011100	赤壁街道西湖二路36号卫生健康局	0713-8115891	湖北省	黄冈市	黄州区	114.885787	30.434251	114.8807386962086	30.43693349612725	114.885787 30.434251	汽车服务	充电站	充电站
国家电网汽车充电站(东坡外滩停车场)	汽车服务;充电站;充电站	011100	东坡大道88号东坡外滩停车场	[]	湖北省	黄冈市	黄州区	114.899194	30.448054	114.894148897845	30.450738460082786	114.899194 30.448054	汽车服务	充电站	充电站
特来电充电站(黄冈赤壁大道北侧充电桩)	汽车服务;充电站;充电站	011100	赤壁大道79号	0713-8115891	湖北省	黄冈市	黄州区	114.89611	30.45616	114.89106400490692	30.4588419020042	114.89611 30.45616	汽车服务	充电站	充电站
特来电充电站(黄冈市赤壁大道临皋春晓)	汽车服务;充电站;充电站	011100	东坡大道62号	0713-8115891	湖北省	黄冈市	黄州区	114.897703	30.455688	114.89265721862488	30.45837035267112	114.897703 30.455688	汽车服务	充电站	充电站
特来电充电站(鑫来电黄冈联投国际城)	汽车服务;充电站;充电站	011100	黄冈联投国际城内	18986555590	湖北省	黄冈市	黄州区	114.89364	30.473025	114.88859209100872	30.47570177567771	114.89364 30.473025	汽车服务	充电站	充电站
