name	type	typecode	address	tel	pname	cityname	adname	gcj02_lon	gcj02_lat	wgs84_lon	wgs84_lat	合并坐标	大类	中类	小类
湖北省大冶市金牛镇金牛客运站充电站	汽车服务;充电站;充电站	011100	金牛镇虬川大道金牛客运站内	15172098558	湖北省	黄石市	大冶市	114.637741	30.012196	114.63270314503713	30.014889507347448	114.637741 30.012196	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄石市阳新县王英镇码头充电站)	汽车服务;充电站;充电站	011100	王英镇王英码头停车场内	18727900032	湖北省	黄石市	阳新县	114.831469	29.801636	114.82638824516408	29.804282299887475	114.831469 29.801636	汽车服务	充电站	充电站
三溪服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	大广高速阳新三溪服务区	[]	湖北省	黄石市	阳新县	114.943729	29.852164	114.93868143170609	29.854850463457485	114.943729 29.852164	汽车服务	充电站	充电站
三溪服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	大广高速阳新三溪服务区	[]	湖北省	黄石市	阳新县	114.941624	29.852302	114.93658106381244	29.854992218890988	114.941624 29.852302	汽车服务	充电站	充电站
云快充汽车充电站(熊家洲大道充电站)	汽车服务;充电站;充电站	011100	熊家洲大道	4008288517	湖北省	黄石市	大冶市	114.989912	30.078743	114.98470395824086	30.081307783015827	114.989912 30.078743	汽车服务	充电站	充电站
国家电网充电站(黄石市阳新大王大道站)	汽车服务;充电站;充电站	011100	阳新大王供电营业厅	15897756441	湖北省	黄石市	阳新县	115.117945	30.039259	115.11247764900334	30.04161503679037	115.117945 30.039259	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄石市阳新县威马汽车停车场城市)	汽车服务;充电站;充电站	011100	威马汽车	[]	湖北省	黄石市	阳新县	115.147514	29.86312	115.14210013770344	29.86551768750632	115.147514 29.86312	汽车服务	充电站	充电站
国家电网汽车充电站	汽车服务;充电站;充电站	011100	碧桂园湖光山色对面停车场	18727900032	湖北省	黄石市	阳新县	115.231169	29.851608	115.22589456008296	29.854137297208705	115.231169 29.851608	汽车服务	充电站	充电站
特来电充电站	汽车服务;充电站;充电站	011100	铁山区四医院	[]	湖北省	黄石市	铁山区	114.900805	30.207068	114.89577964390416	30.209785863508586	114.900805 30.207068	汽车服务	充电站	充电站
大冶服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	大广高速大冶服务区	[]	湖北省	黄石市	大冶市	114.912734	30.125032	114.907710652792	30.12774969600073	114.912734 30.125032	汽车服务	充电站	充电站
大冶服务区国家电网电动汽车充电站	汽车服务;充电站;充电站	011100	大广高速大冶服务区大庆方向	[]	湖北省	黄石市	大冶市	114.915197	30.123305	114.91017189997184	30.12602137558996	114.915197 30.123305	汽车服务	充电站	充电站
国家电网汽车充电站(黄石市铁山光谷大道充电站)	汽车服务;充电站;充电站	011100	光谷大道68号模具产业园内	15897756441	湖北省	黄石市	铁山区	114.863742	30.230972	114.8586862750436	30.233659970311784	114.863742 30.230972	汽车服务	充电站	充电站
V2G智能加电港	汽车服务;充电站;充电站	011100	广州路电动汽车充电站内	[]	湖北省	黄石市	下陆区	115.031795	30.182612	115.02642975475908	30.185052231682715	115.031795 30.182612	汽车服务	充电站	充电站
特来电充电站(黄石城发能源团城山)	汽车服务;充电站;充电站	011100	团城山公交停车场	15997114026	湖北省	黄石市	下陆区	115.029774	30.182315	115.02441530786874	30.184760601357432	115.029774 30.182315	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄石市团城山开发区广州路充电站)	汽车服务;充电站;充电站	011100	团城山广州路7号	18872316789	湖北省	黄石市	下陆区	115.03142	30.182848	115.02605593717952	30.185289209667296	115.03142 30.182848	汽车服务	充电站	充电站
特来电充电站(黄石城发能源胡家湾)	汽车服务;充电站;充电站	011100	沿湖路	15997114026	湖北省	黄石市	西塞山区	115.056249	30.185426	115.05081561234836	30.1878109301392	115.056249 30.185426	汽车服务	充电站	充电站
国家电网汽车充电站(湖北省黄石市广州路宏维星都2号充电站)	汽车服务;充电站;充电站	011100	团城山开发区广州路宏维星都对面	18727900032	湖北省	黄石市	下陆区	115.031605	30.182859	115.02624034247084	30.18529972202162	115.031605 30.182859	汽车服务	充电站	充电站
黄石体育馆小鹏充电站	汽车服务;充电站;充电站	011100	黄石体育馆地面停车场	4008193388	湖北省	黄石市	下陆区	115.037425	30.194542	115.0320411887276	30.196967383769923	115.037425 30.194542	汽车服务	充电站	充电站
黄石兰博基尼酒店小鹏充电站	汽车服务;充电站;充电站	011100	黄石兰博基尼酒店地面停车场	4008193388	湖北省	黄石市	下陆区	115.045734	30.198402	115.04032591330858	30.200807704182	115.045734 30.198402	汽车服务	充电站	充电站
湖北理工汽车充电站	汽车服务;充电站;充电站	011100	[]	[]	湖北省	黄石市	下陆区	115.032531	30.209738	115.0271610886236	30.21217511544993	115.032531 30.209738	汽车服务	充电站	充电站
特来电充电站(黄石城发能源花园路)	汽车服务;充电站;充电站	011100	花园路常青花园东侧约50米	15997114026	湖北省	黄石市	西塞山区	115.075061	30.193306	115.06959231661996	30.195663455270328	115.075061 30.193306	汽车服务	充电站	充电站
特来电充电站(黄石摩尔城站)	汽车服务;充电站;充电站	011100	武汉路198号	[]	湖北省	黄石市	黄石港区	115.084192	30.210571	115.078711425409	30.21292002154773	115.084192 30.210571	汽车服务	充电站	充电站
特来电充电站(黄石城发能源理工学院)	汽车服务;充电站;充电站	011100	湖北理工学院	15997114026	湖北省	黄石市	下陆区	115.032841	30.207472	115.02747029766005	30.20990842231204	115.032841 30.207472	汽车服务	充电站	充电站
国家电网向家湾电动汽车充电站	汽车服务;充电站;充电站	011100	磁湖路172号	18872316789	湖北省	黄石市	下陆区	114.999399	30.184678	114.99414746276484	30.187212136640312	114.999399 30.184678	汽车服务	充电站	充电站
特来电充电站(黄石城发能源腾龙公寓)	汽车服务;充电站;充电站	011100	腾龙公寓	15997114026	湖北省	黄石市	下陆区	115.019657	30.207836	115.0143303406697	30.210308651375584	115.019657 30.207836	汽车服务	充电站	充电站
国家电网充电站(奥体中心)	汽车服务;充电站;充电站	011100	黄石市奥体中心旁	[]	湖北省	黄石市	大冶市	115.056963	30.120751	115.05153355354008	30.123136256193465	115.056963 30.120751	汽车服务	充电站	充电站
黄石客运枢纽站-新能源汽车充电站	汽车服务;充电站;充电站	011100	大泉路黄石市综合客运枢纽站	[]	湖北省	黄石市	下陆区	115.011531	30.213374	115.00623275148192	30.21587020610104	115.011531 30.213374	汽车服务	充电站	充电站
