Unnamed: 0,value,location_unique_id,location_country,location_lat,location_lng,COUNTRY,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,C8Y27,94286edc-ad1f-11e8-b1ac-42010a840002,IE,53.932462,-6.417717,Ireland,,,
1,Tesla Supercharger Castlebellingham - Northbound,7bc5a7fa-ac7a-11e9-9ec4-42010a840003,IE,53.932366,-6.417582,Ireland,,,
2,C69SV,2adae722-6802-11e9-8d5b-42010a840003,IE,52.342373,-6.464083,Ireland,,,
4,C8MN3,2b416f24-6802-11e9-82cf-42010a840003,IE,52.246699,-7.136054,Ireland,,,
5,C8PH3,2b5338b2-6802-11e9-bd08-42010a840003,IE,54.010244,-6.402563,Ireland,,,
6,C6ZSJ,2b691204-6802-11e9-881a-42010a840003,IE,52.6597,-8.6276,Ireland,,,
7,C8S62,32b01b66-6802-11e9-938b-42010a840003,IE,52.663928,-8.629209,Ireland,,,
8,C6RN7,32d20a8c-6802-11e9-87be-42010a840003,IE,52.6582,-8.6294,Ireland,,,
9,C8EMG,330e14c8-6802-11e9-9b2b-42010a840003,IE,52.661942,-8.632167,Ireland,,,
21,C6C8J,2bc54a4c-6802-11e9-8a6c-42010a840003,IE,53.424683,-7.934554,Ireland,,,
27,C7Q40,2c1cdb40-6802-11e9-85fb-42010a840003,IE,53.422827,-7.942894,Ireland,,,
36,C5PSD,2cb08a16-6802-11e9-acbb-42010a840003,IE,53.295394,-6.203324,Ireland,,,
37,Stillorgan Park Hotel  Stillorgan Road  Stillorgan  County Dublin,e658b856-c8d5-11e9-b215-42010a840003,IE,53.29478,-6.202675,Ireland,,,
39,C7XJF,2cf35b98-6802-11e9-8688-42010a840003,IE,53.302618,-6.179272,Ireland,,,
44,C88XP,2d52a422-6802-11e9-b065-42010a840003,IE,53.260088,-6.149376,Ireland,,,
49,C9XQR,2dbe0a6e-6802-11e9-acdd-42010a840003,IE,51.867466,-8.474918,Ireland,,,
50,C729F,006205c2-c8d6-11e9-ae10-42010a840003,IE,51.872405,-8.470652,Ireland,,,
51,C648N,2dd81efe-6802-11e9-b133-42010a840003,IE,51.892902,-8.507741,Ireland,,,
52,Tesla Destination Charger The Kingsley,47c9c558-466d-11e9-8dda-42010a840003,IE,51.893546,-8.508452,Ireland,,,
55,C80JH,2e4caeb8-6802-11e9-8174-42010a840003,IE,51.895162,-8.467686,Ireland,,,
56,C5HT8,3c1ea6e0-6802-11e9-8bec-42010a840003,IE,51.895163,-8.466007,Ireland,,,
57,Q-Park City Hall Car Park  Eglinton Street  Cork City  County Cork,e8e7eab0-c8d5-11e9-86a3-42010a840003,IE,51.896445,-8.464346,Ireland,,,
63,C71Y1,2ec54292-6802-11e9-8eb4-42010a840003,IE,51.877059,-8.395368,Ireland,,,
64,C870G,2ed826e6-6802-11e9-afa7-42010a840003,IE,51.878654,-8.46646,Ireland,,,
66,C7PXW,2efa801a-6802-11e9-8476-42010a840003,IE,51.902465,-8.456459,Ireland,,,
67,C29XL,f46dd8d8-76a8-11e9-887a-42010a840003,IE,51.902176,-8.45656,Ireland,,,
68,C84X5,2f09ce80-6802-11e9-a88f-42010a840003,IE,51.896341,-8.47336,Ireland,,,
70,C7EVH,2f3c5d3c-6802-11e9-8ba2-42010a840003,IE,53.32548,-6.252396,Ireland,,,
71,C96GB,2f4ecfc6-6802-11e9-ac87-42010a840003,IE,53.428658,-6.234603,Ireland,,,
72,Terminal 2 Car Park (Short Term)  T2 MSCP Access Road  Dublin Airport  County Dublin,e8ca8ae2-c8d5-11e9-86ca-42010a840003,IE,53.4273,-6.2395,Ireland,,,
73,C7HB5,2f7e7f00-6802-11e9-8df5-42010a840003,IE,53.366858,-6.256277,Ireland,,,
74,EasyGo - Lidl Drumcondra,06676168-13aa-11eb-9fed-42010a840003,IE,53.372445,-6.253011,Ireland,,,
75,EasyGo - DCU St. Pats,0b9bc578-2bd0-11eb-bcde-42010a840003,IE,53.371953,-6.25609,Ireland,,,
