Unnamed: 0,Station_id,Station Name,Latitude,Longitude,NAME_1,NAME_2,Unnamed: 7
0,0,Los Angeles Convention Center,34.040539,-118.271387,California,Los Angeles,
1,1,California Air Resources Board,34.06872,-118.064,California,Los Angeles,
2,2,Galpin Motors,34.221665,-118.468371,California,Los Angeles,
3,3,Galleria at Tyler,33.909914,-117.459053,California,Riverside,
4,4,City of Pasadena - Holly Street Garage,34.14762,-118.147111,California,Los Angeles,
5,5,City of Pasadena - De Lacey Garage,34.145138,-118.152655,California,Los Angeles,
6,6,City of Pasadena - Schoolhouse Garage,34.145119,-118.150133,California,Los Angeles,
7,7,Pasadena Hilton,34.142973,-118.140553,California,Los Angeles,
8,8,Hyatt Regency Long Beach,33.7637,-118.192,California,Los Angeles,
9,9,Los Angeles International Airport (LAX) - Lot 6,33.94325,-118.403342,California,Los Angeles,
10,10,Northride Fashion Center,34.241116,-118.556708,California,Los Angeles,
11,11,Ontario Airport Hotel and Conference Center,34.07122,-117.575,California,San Bernardino,
12,12,Courtyard Marriott - Oxnard Ventura,34.228315,-119.170865,California,Ventura,
13,13,Hilton - Palm Springs,33.824004,-116.543589,California,Riverside,
14,14,East Bay Mini,37.700187,-121.876172,California,Alameda,
15,15,Inland Empire Foods,34.0189,-117.38,California,Riverside,
16,16,Sacramento International Airport - Daily A Lot,38.69005,-121.58889,California,Sacramento,
17,17,City of Santa Monica - Airport,34.017081,-118.44704,California,Los Angeles,
18,18,City of Santa Monica - Pier,34.010021,-118.49583,California,Los Angeles,
19,19,Westfield Fashion Square,34.156839,-118.434454,California,Los Angeles,
20,20,Van Nuys Amtrak/Metrolink Station,34.21108,-118.448704,California,Los Angeles,
21,21,Office Max - Home Depot,33.94756,-118.153806,California,Los Angeles,
22,22,Hyatt at Fisherman's Wharf,37.80619,-122.4152,California,San Francisco,
23,23,Arden Fair Mall,38.599693,-121.427045,California,Sacramento,
24,24,Palace Hotel,37.78881,-122.401,California,San Francisco,
25,25,Mark Hopkins InterContinental Hotel,37.791791,-122.411265,California,San Francisco,
26,26,Hotel Sofitel,34.076264,-118.377527,California,Los Angeles,
27,27,Music Center Parking - Level 2,34.057657,-118.24789,California,Los Angeles,
28,28,Balboa Golf Course,34.169242,-118.497212,California,Los Angeles,
29,29,California State University - Northridge,34.248959,-118.523887,California,Los Angeles,
30,30,California State University - Northridge,34.241687,-118.528543,California,Los Angeles,
31,31,California State University - Northridge,34.236853,-118.532588,California,Los Angeles,
32,32,Northridge Metrolink Station,34.229277,-118.544827,California,Los Angeles,
33,33,Los Angeles Harbor Department Headquarters,33.740758,-118.28192,California,Los Angeles,
34,34,Sylmar Metrolink Station,34.2924134,-118.4497914,California,Los Angeles,
35,35,Getty Center,34.077588,-118.474585,California,Los Angeles,
36,36,Los Angeles County - Arboretum,34.145528,-118.050548,California,Los Angeles,
37,37,City of Glendora - City Hall,34.13556,-117.864,California,Los Angeles,
38,38,DoubleTree Hotel - Los Angeles - Westside,33.9826,-118.3966,California,Los Angeles,
39,39,Helms Bakery Building,34.029971,-118.385231,California,Los Angeles,
40,40,Westfield MainPlace Mall,33.777054,-117.870566,California,Orange,
41,41,California State University - Channel Islands,34.16657602,-119.0458547,California,Ventura,
42,42,Brea Downtown Parking,33.919899,-117.898618,California,Orange,
43,43,Home Depot,34.192178,-118.934793,California,Ventura,
44,44,Lake Casitas Municipal Water District - Recreational Area,34.418322,-119.3368,California,Ventura,
45,45,San Dimas Park & Ride,34.105275,-117.809208,California,Los Angeles,
46,46,City of Pasadena - El Molino Lot,34.147709,-118.136621,California,Los Angeles,
47,47,Ventura County Government Center,34.267352,-119.2124,California,Ventura,
48,48,Ventura County Air Pollution Control District,34.268756,-119.2154,California,Ventura,
49,49,Pacific View Mall,34.268,-119.2492,California,Ventura,
50,50,University of California - Davis Extension - Lot 80,38.539336,-121.732405,California,Yolo,
51,51,Soquel & Front Garage,36.973393,-122.024849,California,Santa Cruz,
52,52,Fair Oaks - Orangevale - Community Library,38.66292,-121.2634,California,Sacramento,
53,53,Sutter Galleria Mall - University of California - Davis Extension,38.57277,-121.467902,California,Sacramento,
54,54,North Highlands Library,38.7042,-121.365,California,Sacramento,
55,55,University of California - Davis - Medical Center,38.552483,-121.4487,California,Sacramento,
56,56,City of Sacramento - Belle Cooledge Library,38.524403,-121.5112,California,Sacramento,
57,57,Mosquito Road Park and Ride,38.73323,-120.78962,California,El Dorado,
58,58,City of Vacaville - Cultural Center,38.356027,-121.9628,California,Solano,
59,59,City of Vacaville - Regional Transport Center,38.35172,-121.987,California,Solano,
60,60,Office of Housing & Redevelopment,38.356907,-122.001886,California,Solano,
61,61,KUIC Radio - Parking Lot,38.355867,-121.9862,California,Solano,
62,62,City of Vacaville - City Hall,38.351758,-121.994475,California,Solano,
63,63,Citrus Heights City Hall,38.682605,-121.297614,California,Sacramento,
64,64,El Dorado County Government Center,38.72799,-120.828,California,El Dorado,
65,65,El Dorado Transit Park & Ride,38.6476,-121.067,California,El Dorado,
66,66,CVS Pharmacy,38.74453,-121.17,California,Placer,
67,67,Carmichael Library,38.618066,-121.334337,California,Sacramento,
68,68,Fairfield City Hall,38.25281,-122.044229,California,Solano,
69,69,Solano Community College,38.23723,-122.123,California,Solano,
70,70,Los Angeles International Airport (LAX) - Lot 1,33.944761,-118.399767,California,Los Angeles,
71,71,Burlington International Airport,44.469281,-73.154972,Vermont,Chittenden,
72,72,City of Lacey - City Hall Parking,47.044011,-122.822404,Washington,Thurston,
73,73,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,45.508396,-122.664667,Oregon,Multnomah,
74,74,City of Ukiah - Public Parking Lot,39.15,-123.2091,California,Mendocino,
75,75,Nut Tree Village,38.368755,-121.961192,California,Solano,
76,76,Placer County Community Development Resource Center,38.9412492,-121.1054805,California,Placer,
77,77,4th and G Plaza Public Parking Garage,38.54643,-121.7388,California,Yolo,
78,78,Davis Amtrak Station,38.5443,-121.738,California,Yolo,
79,79,University of California - Davis - Quad Parking Structure,38.544538,-121.749713,California,Yolo,
80,80,University Covenant Church,38.55755,-121.6947,California,Yolo,
81,81,Lakewood Center Mall,33.84788,-118.13889,California,Los Angeles,
82,82,Golden Gate Ferry Terminal,37.94495,-122.5096,California,Marin,
83,83,Oakland International Airport - Daily Lot,37.7136,-122.2087,California,Alameda,
84,84,City of Champaign - Hill Street Parking Deck,40.119161,-88.244185,Illinois,Champaign,
85,85,Discovery Center of Idaho,43.608009,-116.197968,Idaho,Ada,
86,86,Fairfield Transportation Center,38.2482,-122.0678,California,Solano,
87,87,LINCOLN CITY TAFT DUAL 1,44.928439,-124.015824,Oregon,Lincoln,
88,88,OUC RELIABLE 01,28.535975,-81.379663,Florida,Orange,
89,89,LBCC  LBCC DUAL 2,44.586123,-123.115389,Oregon,Linn,
90,90,Home Depot,35.249929,-120.689683,California,San Luis Obispo,
91,91,San Luis Obispo Promenade - Bed Bath & Beyond,35.25982,-120.676,California,San Luis Obispo,
92,92,Avista Corp,47.673347,-117.388933,Washington,Spokane,
93,93,Steam Plant Grill,47.654998,-117.425025,Washington,Spokane,
94,94,Kum & Go #4110,41.615759,-93.57875,Iowa,Polk,
95,95,Kum & Go #570,41.682385,-93.698315,Iowa,Polk,
96,96,Element Hotels - Ewing,40.286518,-74.807516,New Jersey,Mercer,
97,97,Lane Community College,44.009797,-123.033213,Oregon,Lane,
98,98,BROOKFIELD PROP 300 CLAY STAT1,29.756604,-95.372854,Texas,Harris,
99,99,City of Spartanburg - Municipal Parking Garage,34.950136,-81.93279,South Carolina,Spartanburg,
100,100,City of Spartanburg - Municipal Parking Garage,34.951926,-81.931714,South Carolina,Spartanburg,
101,101,City of Union Town Hall,34.715982,-81.624616,South Carolina,Union,
102,102,Whole Foods Market,41.157925,-73.240315,Connecticut,Fairfield,
103,103,Propark America - Omni Hotel Chapel Square Garage,41.305794,-72.927405,Connecticut,New Haven,
104,104,City of New Haven - Air Rights Garage,41.305265,-72.934141,Connecticut,New Haven,
105,105,City of New Haven - Temple Street Garage,41.304245,-72.928369,Connecticut,New Haven,
106,106,New London Parking Authority - Water Street Public Parking Garage,41.355486,-72.093784,Connecticut,New London,
107,107,Park 'N Fly - Bradley International Airport,41.951328,-72.663078,Connecticut,Hartford,
108,108,GATEWAYKENOSHA  HORIZON MAINLOT,42.592469,-87.915847,Wisconsin,Kenosha,
109,109,MGE GREENWAY STAT,43.091229,-89.52884,Wisconsin,Dane,
110,110,Spinx #149,34.042116,-80.939041,South Carolina,Richland,
111,111,Baker Electric Building,41.503373,-81.639054,Ohio,Cuyahoga,
113,113,OUC OUC OCCC 03,28.429015,-81.458938,Florida,Orange,
114,114,OUC OC MED EXAM 01,28.512494,-81.351919,Florida,Orange,
115,115,French Gerleman,38.694036,-90.4218,Missouri,Saint Louis,
116,116,HILLSBORO OR MAIN ST 1,45.522609,-122.988535,Oregon,Washington,
117,117,HILLSBORO OR EV-8,45.520533,-122.978089,Oregon,Washington,
118,118,BELLEVUE BELLEVUE CH 1,47.614744,-122.193162,Washington,King,
