,code,lon,lat
15,2504,5.4388931066914035,52.52316117523345
45,2303,5.281434868000703,52.41479133676085
46,2541,5.258327919695429,52.35963807988375
47,2541,5.2503671012119835,52.35723446076502
54,2301,5.220661493756042,52.33223093070494
69,2541,5.519491995149098,52.53517914140075
74,2564,5.474274380115495,52.49783932656945
75,2541,5.487278937212777,52.49131424195124
76,2541,5.4866119337813615,52.49175604802575
77,2503,5.491748526296827,52.48851727632104
83,2302,5.489538610077158,52.49875621965159
97,2541,5.458112321037728,52.51844933354433
98,2503,5.4932013,52.48650765
104,2543,5.176178715654392,52.35244279482129
108,2301,5.1339988869638615,52.34567517509537
109,2547,5.175703430359532,52.37516602869324
112,2528,5.181844188458126,52.36245135778204
117,2301,5.205736157293531,52.36958387917452
121,2564,5.202728278236081,52.38713064832929
128,2547,5.263034107186413,52.36276080218927
268,2541,5.493035560661549,52.48382019314008
269,2541,5.489862808116694,52.483513297137875
270,2541,5.490870388456962,52.48400793663438
271,2541,5.492220722804617,52.48312043643279
276,2302,5.438833453751985,52.52213861969524
331,2301,5.882547853858228,52.68347982721505
352,2504,5.718113815512636,52.52470507285995
395,2301,5.197632733123193,52.37737328019687
476,2301,5.437097227527318,52.52075131923589
491,2501,5.243264053639792,52.359903883033276
501,2501,5.265820092785663,52.371944343987906
504,2543,5.220525687277327,52.38804153090346
534,2564,5.757463164339227,52.6946617560559
539,2501,5.6253048962785615,52.66283101414277
540,2501,5.6240935756250785,52.66278308949176
544,2501,5.623312525351397,52.662570146940986
545,2543,5.614408071198819,52.656409901247464
546,2541,5.843340799832515,52.785103460601675
561,2301,5.175948931066451,52.3501190720097
562,2301,5.1793476,52.39095149999999
571,2541,5.70824873441253,52.541990054115196
585,2513,5.190303149999999,52.380898550000005
592,2301,5.202145846342481,52.36256903348633
594,2601,5.216580124542193,52.371782390967184
595,2303,5.2241315932834045,52.38546869299026
599,2561,5.2237206348900065,52.386622001030716
600,2513,5.22368634302881,52.38666445683659
601,2501,5.223879463664738,52.38506226009339
603,2301,5.231667124699465,52.388670576178775
606,2543,5.234801673859693,52.39347808993299
613,2303,5.21401479068323,52.33209674971235
617,2504,5.243490282335324,52.375740303525376
620,2301,5.254892188219092,52.35980718302164
622,2301,5.2595075,52.3752213
