,code,lon,lat
73,2541,-71.12918303013147,42.349828701073996
76,2501,-71.1205016618434,42.341896844186294
80,2601,-71.12938760430137,42.39626887022676
83,2301,-71.10735860038285,42.39014641649212
85,2305,-71.13112757983521,42.385925339397964
86,2502,-71.13800959532027,42.38593238472402
94,2544,-71.1126598509895,42.370117042498016
95,2518,-71.131250111136,42.39855325774992
96,2301,-71.1124522946889,42.38301130297122
97,2301,-71.11132118625929,42.38206782983739
101,2601,-71.10123799647191,42.37430599761406
102,2301,-71.11847366814989,42.41678985264086
106,2601,-71.14289345816357,42.41151604684411
108,2601,-71.0461375615002,42.33616451165003
110,2302,-71.05241445415135,42.39576396460292
113,2601,-71.04042532333924,42.396174365081976
117,2302,-71.03884072198353,42.393733946579715
118,2511,-71.08416025729909,42.387586015884125
119,2301,-71.0869688102478,42.38079843467295
120,2541,-71.08858303527248,42.37859410021126
122,2601,-71.06505518014406,42.37627346549291
126,2301,-71.03796854558506,42.375083202134086
127,2302,-71.04027521715363,42.37444395472855
129,2301,-71.09388514955613,42.372664982311626
130,2513,-71.04535304656675,42.43589231651183
131,2302,-71.01376285,42.42768074999999
132,2301,-71.00988732365411,42.42420343203853
133,2301,-71.04392625480739,42.42092949007936
137,2601,-71.04661543054803,42.41408674767994
138,2302,-71.13205253680071,42.503466845184775
139,2302,-71.12574538140991,42.497635311528356
140,2511,-71.11238586347697,42.479945729560406
142,2601,-71.02625759729773,42.46820922354758
143,2301,-71.02598918118407,42.466983681859226
144,2301,-71.0093385,42.462870349999996
146,2302,-71.10289397112068,42.52056598494169
148,2302,-71.01928928924305,42.48566126475398
149,2601,-71.02226437433526,42.47978932875265
150,2601,-71.02198295259618,42.47810333909756
154,2601,-70.9999597225121,42.21146481343791
158,2544,-70.9554417746753,42.24289341048833
160,2501,-70.99113782062405,42.2418251809044
161,2522,-70.99428768575301,42.241935865917384
163,2301,-70.99671093490254,42.389885593571805
166,2302,-71.10673555000001,42.37891970000001
167,2518,-71.1061110056112,42.37852496932527
174,2501,-71.1131383998311,42.37380461174979
176,2561,-70.96166555,42.4686827
177,2561,-71.1076642791733,42.390246444882
178,2301,-71.10723254909769,42.39010413378999
180,2301,-70.96854060587742,42.46050334679642
182,2302,-70.99140098095145,42.453083299877456
183,2501,-70.96092648348778,42.448730883433484
184,2511,-71.09938674365566,42.376386094532954
185,2541,-70.95061097382428,42.204061779092946
188,2301,-71.14122544320038,42.42051332869546
190,2302,-71.13939778068855,42.409931665876975
191,2601,-71.13472547861683,42.40763245296149
193,2301,-71.08592035470065,42.38893916500607
196,2564,-71.0807062261887,42.37345591188495
198,2561,-71.1462390727089,42.46587178498232
201,2601,-71.10429696217894,42.51275719651455
