,code,lon,lat
0,2256,-71.09727183873134,42.34646141546041
2,2252,-71.09711785,42.27451925
3,2204,-71.11504949689716,42.68429460771675
4,2203,-69.99186959401881,41.87744798906833
5,2204,-71.05444960955683,42.36502602025832
6,2204,-71.05642258491126,42.3635942875556
7,2204,-71.12089758225987,42.37678680893642
8,2204,-68.574939286502,44.09878140005733
9,2204,-68.5775906209337,44.05887578350089
10,2204,-68.58268724057113,44.05946105897393
11,2204,-68.59007344370471,44.07238729061628
12,2204,-68.59133903508784,44.0692669671542
13,2204,-69.66423880736193,43.9071933232869
14,2252,-72.77041672197186,42.14453525891095
15,2204,-71.06570272994495,42.35509053461455
16,2204,-71.0700275180695,42.354053243934416
17,2252,-71.0659914632339,42.353784229886585
18,2204,-71.09653512012123,42.370586966948586
19,2204,-72.62435952433911,42.33976044034937
20,2204,-72.63318324539618,42.31713564978462
22,2204,-71.06256176088716,42.304293244552035
23,2256,-71.06215698870716,42.36632009656124
24,2722,-71.07095248167275,42.36739870548364
25,2252,-71.12166495,42.3770391
26,2205,-71.2413508303634,42.442966689210245
28,2251,-71.23546319262383,42.44686103304096
29,2204,-71.23568872300963,42.44583621457065
30,2252,-71.23833665977276,42.44576301924298
31,2205,-71.13164466359349,42.34628526537559
32,2204,-71.13139474835943,42.34624929170964
33,2204,-71.10012423454315,42.35653325015829
34,2255,-71.15568605027387,42.38617192753261
35,2252,-71.0967526738071,42.35745913355963
36,2204,-71.21213711273565,42.43813712882475
37,2252,-71.20520575950879,42.430250444124574
38,2204,-71.2049760451646,42.42990928883943
39,2252,-71.2045913,42.42992115
41,2255,-71.23303311894769,42.4248898988861
42,2204,-71.22783472138083,42.42843552549566
43,2252,-71.22750785,42.410428
44,2252,-72.63629055361694,42.31446271665703
45,2252,-71.10064432260297,42.36858887417966
46,2252,-71.1153982417029,42.36740724638907
47,2204,-73.19932198023508,42.70848744038358
48,2252,-73.20305689976361,42.70788192949961
49,2252,-73.24220426226226,42.66976871721034
50,2252,-73.24105420972167,42.67023867867519
51,2252,-73.24315248921985,42.668181019492096
52,2205,-71.09114168344692,42.34561479225871
53,2252,-71.09642584999999,42.3413183
54,2204,-71.06509920896256,42.300154708735704
56,2252,-73.19112741883754,42.71950918534192
57,2205,-71.10046082193853,42.368845783275304
61,2255,-73.24572553430227,42.65501903157826
62,2255,-73.20548371439028,42.703496329219405
65,2722,-71.13316715456867,42.64864201841099
67,2722,-71.1352270977876,42.647659568432566
69,2256,-71.12861195336592,42.6428711480537
70,2257,-71.12942329664702,42.642034532270095
71,2252,-72.64290460198784,42.31435504195589
72,2204,-72.64253142071082,42.31573845921186
74,2722,-71.1232486,42.34695725
81,2401,-71.1266943100413,42.393819732145175
88,2724,-71.12039076700583,42.37636549843706
91,2722,-71.11410500007351,42.375133699912475
93,2731,-71.11722372412791,42.37158753963121
103,2401,-71.02292974628288,42.367468538178166
105,2401,-71.0392126061278,42.34804967846683
107,2257,-71.02398483906617,42.33690360324829
111,2401,-71.03907261338773,42.398350692346604
116,2401,-71.04449910762037,42.394310232823976
123,2722,-71.06142540537675,42.375593244283145
125,2722,-71.05539619375865,42.37396403825611
141,2205,-71.11388881384526,42.537273849062245
145,2401,-71.13741937325341,42.52051306398907
151,2421,-71.07932955881934,42.253744389216266
152,2421,-70.99647027624235,42.22215200402761
156,2722,-71.05334894999999,42.2868938
171,2201,-71.12297781467174,42.3748549367618
175,2251,-71.13597992723122,42.37262094074237
187,2253,-71.15979611774009,42.26017832625144
189,2421,-71.15400127596497,42.285000089164726
195,2401,-71.08209735374014,42.381327380263805
200,2401,-71.13109433514181,42.503559670157614
204,2257,-71.09347002636895,42.243716518982936
209,2722,-71.09070939430042,42.33057637833819
211,2251,-71.0909295529907,42.32184214217646
215,2722,-71.07177868551865,42.32352083862167
234,2257,-71.04338144466787,42.41250702925202
235,2201,-71.08568132219601,42.342843235953495
242,2402,-71.02699301711262,42.449791096170266
254,2256,-71.08444189193608,42.34125867212076
255,2251,-71.08977146832956,42.339545928139316
258,2721,-71.05480348975038,42.36021732634206
264,2723,-71.06550508298493,42.35434338131696
266,2257,-71.18785108616267,42.260509996720074
267,2721,-71.00291667643393,42.251185324876694
276,2251,-71.12678252558437,42.368984817934866
284,2256,-71.1662624972123,42.335098229567265
289,2257,-71.1377352560856,42.249294442869676
290,2401,-71.14221588145402,42.38860787185841
314,2256,-71.0965626215971,42.30964567646136
316,2722,-71.05748478589027,42.35872971424483
351,2256,-71.0953132094978,42.30980221356492
352,2722,-71.05837578236795,42.35699003706158
354,2401,-71.08726448688998,42.362200023118085
358,2401,-71.0624116808332,42.363888419972724
361,2722,-71.09415352713211,42.33948496027109
368,2402,-71.03211762600706,42.439450295062215
371,2401,-71.00626504278269,42.40130827001454
374,2401,-71.05085213406711,42.36018615671142
380,2401,-71.07024616922503,42.36208408084299
386,2404,-71.110695923893,42.375521227606356
390,2421,-71.1156682597874,42.36131182340219
397,2722,-71.16262019717287,42.34074486376342
398,2257,-71.1441206124371,42.357296933334325
400,2251,-71.1195544484811,42.37699593348814
410,2257,-71.1084688136701,42.382914057658994
419,2251,-71.12585719477849,42.36755050881659
421,2421,-71.13032036170551,42.28748911722025
423,2401,-71.13602545539128,42.401951393271105
439,2201,-71.07118050000001,42.38292485
442,2401,-71.0534012,42.37638174999999
443,2257,-71.06644740494184,42.37408436022542
